,freq,redchi,norm,width
0,1.0471285480508996,3.883130081300813,0.0,0.104713
1,1.0587608285836607,3.883130081300813,0.0,0.105876
2,1.070522329115862,3.883130081300813,0.0,0.107052
3,1.0824144851190958,3.883130081300813,0.0,0.108241
4,1.0944387480112365,3.883130081300813,0.0,0.109444
5,1.1065965853335857,3.883130081300813,0.0,0.11066
6,1.1188894809299823,3.883130081300813,0.0,0.111889
7,1.1313189351279025,3.883130081300813,0.0,0.113132
8,1.1438864649215728,3.883130081300813,0.0,0.114389
9,1.1565936041571172,3.883130081300813,0.0,0.115659
10,1.1694419037197599,3.883130081300813,0.0,0.116944
11,1.1824329317231081,3.883130081300813,0.0,0.118243
12,1.1955682737005384,3.883130081300813,0.0,0.119557
13,1.2088495327987077,3.883130081300813,0.0,0.120885
14,1.2222783299732152,3.883130081300813,0.0,0.122228
15,1.2358563041864368,3.883130081300813,0.0,0.123586
16,1.2495851126075586,3.883130081300813,0.0,0.124959
17,1.2634664308148307,3.883130081300813,0.0,0.126347
18,1.2775019530000689,3.883130081300813,0.0,0.12775
19,1.2916933921754286,3.883130081300813,0.0,0.129169
20,1.3060424803824748,3.883130081300813,0.0,0.130604
21,1.3205509689035746,3.883130081300813,0.0,0.132055
22,1.3352206284756383,3.883130081300813,0.0,0.133522
23,1.3500532495062354,3.883130081300813,0.0,0.135005
24,1.3650506422921107,3.883130081300813,0.0,0.136505
25,1.3802146372401272,3.883130081300813,0.0,0.138021
26,1.3955470850906657,3.883130081300813,0.0,0.139555
27,1.4110498571435033,3.883130081300813,0.0,0.141105
28,1.4267248454862032,3.883130081300813,0.0,0.142672
29,1.4425739632250398,3.883130081300813,0.0,0.144257
30,1.4585991447184923,3.883130081300813,0.0,0.14586
31,1.474802345813327,3.883130081300813,0.0,0.14748
32,1.491185544083308,3.883130081300813,0.0,0.149119
33,1.5077507390705542,3.883130081300813,0.0,0.150775
34,1.5244999525295826,3.883130081300813,0.0,0.15245
35,1.5414352286740576,3.883130081300813,0.0,0.154144
36,1.5585586344262863,3.883130081300813,0.0,0.155856
37,1.5758722596694812,3.883130081300813,0.0,0.157587
38,1.593378217502827,3.883130081300813,0.0,0.159338
39,1.6110786444993823,3.883130081300813,0.0,0.161108
40,1.6289757009668435,3.883130081300813,0.0,0.162898
41,1.6470715712112072,3.883130081300813,0.0,0.164707
42,1.6653684638033603,3.883130081300813,0.0,0.166537
43,1.6838686118486341,3.883130081300813,0.0,0.168387
44,1.70257427325935,3.883130081300813,0.0,0.170257
45,1.7214877310303935,3.883130081300813,0.0,0.172149
46,1.7406112935178513,3.883130081300813,0.0,0.174061
47,1.7599472947207409,3.883130081300813,0.0,0.175995
48,1.779498094565872,3.883130081300813,0.0,0.17795
49,1.7992660791958721,3.883130081300813,0.0,0.179927
50,1.81925366126041,3.883130081300813,0.0,0.181925
51,1.839463280210657,3.883130081300813,0.0,0.183946
52,1.8598974025970172,3.883130081300813,0.0,0.18599
53,1.8805585223701655,3.883130081300813,0.0,0.188056
54,1.901449161185431,3.883130081300813,0.0,0.190145
55,1.9225718687105604,3.883130081300813,0.0,0.192257
56,1.9439292229369007,3.883130081300813,0.0,0.194393
57,1.9655238304940383,3.883130081300813,0.0,0.196552
58,1.9873583269679354,3.883130081300813,0.0,0.198736
59,2.0094353772225966,3.883130081300813,0.0,0.200944
60,2.031757675725313,3.883130081300813,0.0,0.203176
61,2.0543279468755165,3.883130081300813,0.0,0.205433
62,2.077148945337289,3.883130081300813,0.0,0.207715
63,2.100223456375563,3.883130081300813,0.0,0.210022
64,2.123554296196061,3.883130081300813,0.0,0.212355
65,2.147144312289006,3.883130081300813,0.0,0.214714
66,2.1709963837766555,3.883130081300813,0.0,0.2171
67,2.1951134217646913,3.883130081300813,0.0,0.219511
68,2.219498369697517,3.883130081300813,0.0,0.22195
69,2.244154203717499,3.883130081300813,0.0,0.224415
70,2.269083933028201,3.883130081300813,0.0,0.226908
71,2.2942906002616517,3.881788617886179,3.43796e-05,0.206502
72,2.3197772818496922,3.8719918699186993,0.000104496,0.208786
73,2.3455470883994516,3.852682926829268,0.000186728,0.211376
74,2.371603165072989,3.8242276422764228,0.000278211,0.213463
75,2.397948691971156,3.7805691056910566,0.000454769,0.215871
76,2.424586884521724,3.725813008130081,0.000683272,0.218213
77,2.45152099387182,3.6597967479674796,0.000958432,0.220643
78,2.478754307284725,3.576463414634146,0.0013112,0.22309
79,2.50629014854108,3.4734146341463417,0.00178958,0.225579
80,2.5341318783445423,3.365040650406504,0.00232468,0.228075
81,2.5622828947319634,3.2686991869918702,0.00264492,0.230608
82,2.5907466334881044,3.204512195121951,0.00264447,0.233169
83,2.6195265685649725,3.18979674796748,0.00240296,0.235758
84,2.648626212505812,3.2233739837398376,0.00202785,0.238383
85,2.678049116873801,3.2910569105691057,0.00161744,0.241044
86,2.7077988726855153,3.369756097560976,0.00129463,0.243727
87,2.737879110849208,3.440162601626016,0.00110951,0.246415
88,2.7682935026079525,3.5003658536585367,0.000978009,0.257942
89,2.7990457599877123,3.551951219512195,0.000855941,0.265446
90,2.8301396362503914,3.6022357723577234,0.000760905,0.280451
91,2.8615789263519074,3.650040650406504,0.000709042,0.314607
92,2.8933674674053647,3.691910569105691,0.000623099,0.31827
93,2.9255091391493653,3.725528455284553,0.000522037,0.321708
94,2.9580078644215257,3.753130081300813,0.000467918,0.325377
95,2.9908676096372515,3.7759349593495934,0.00040795,0.328978
96,3.024092385273832,3.7956097560975612,0.000357882,0.332627
97,3.057686246359914,3.8121138211382113,0.000318846,0.336345
