freq,redchi,fitstat,norm,width
1.0471285480508996,6.008821138211382,1478.17,0.000337757,0.115176
1.0587608285836607,6.020569105691057,1481.06,0.000332334,0.116463
1.070522329115862,6.029634146341463,1483.29,0.000328107,0.117757
1.0824144851190958,6.035894308943089,1484.83,0.000329356,0.119065
1.0944387480112365,6.042804878048781,1486.53,0.000347851,0.120388
1.1065965853335857,6.053577235772358,1489.18,0.000365132,0.121695
1.1188894809299823,6.063902439024391,1491.72,0.000340917,0.123024
1.1313189351279025,6.078536585365853,1495.32,0.000314853,0.124445
1.1438864649215728,6.094471544715447,1499.24,0.000276338,0.125828
1.1565936041571172,6.111666666666666,1503.47,0.000252089,0.127225
1.1694419037197599,6.125487804878048,1506.87,0.000203612,0.128634
1.1824329317231081,6.137235772357723,1509.76,0.000188838,0.13005
1.1955682737005384,6.145731707317073,1511.85,0.000170031,0.131499
1.2088495327987077,6.152479674796748,1513.51,0.000152484,0.132871
1.2222783299732152,6.159024390243902,1515.12,0.000141968,0.134437
1.2358563041864368,6.165569105691057,1516.73,0.000125197,0.135757
1.2495851126075586,6.172276422764228,1518.38,0.000104186,0.128025
1.2634664308148307,6.178983739837398,1520.03,8.6407e-05,0.11392
1.2775019530000689,6.185853658536585,1521.72,7.50137e-05,0.120913
1.2916933921754286,6.192113821138212,1523.26,6.82924e-05,0.136688
1.3060424803824748,6.196869918699187,1524.43,5.39157e-05,0.14298
1.3205509689035746,6.2004471544715445,1525.31,4.38864e-05,0.145214
1.3352206284756383,6.203008130081301,1525.94,3.48317e-05,0.145166
1.3500532495062354,6.20479674796748,1526.38,2.69463e-05,0.128806
1.3650506422921107,6.206056910569106,1526.69,2.00795e-05,0.125214
1.3802146372401272,6.207073170731707,1526.94,1.42141e-05,0.124916
1.3955470850906657,6.207967479674797,1527.16,9.66861e-06,0.129565
1.4110498571435033,6.208495934959349,1527.29,8.80925e-06,0.127822
1.4267248454862032,6.209065040650406,1527.43,1.46311e-06,0.135409
1.4425739632250398,6.2091463414634145,1527.45,0.0,0.144257
1.4585991447184923,6.2091463414634145,1527.45,0.0,0.14586
1.474802345813327,6.2091463414634145,1527.45,0.0,0.14748
1.491185544083308,6.2091463414634145,1527.45,0.0,0.149119
1.5077507390705542,6.2091463414634145,1527.45,0.0,0.150775
1.5244999525295826,6.2091463414634145,1527.45,0.0,0.15245
1.5414352286740576,6.2091463414634145,1527.45,0.0,0.154144
1.5585586344262863,6.2091463414634145,1527.45,0.0,0.155856
1.5758722596694812,6.2091463414634145,1527.45,0.0,0.157587
1.593378217502827,6.2091463414634145,1527.45,0.0,0.159338
1.6110786444993823,6.2091463414634145,1527.45,0.0,0.161108
1.6289757009668435,6.2091463414634145,1527.45,0.0,0.162898
1.6470715712112072,6.2091463414634145,1527.45,0.0,0.164707
1.6653684638033603,6.2091463414634145,1527.45,0.0,0.166537
1.6838686118486341,6.2091463414634145,1527.45,0.0,0.168387
1.70257427325935,6.2091463414634145,1527.45,0.0,0.170257
1.7214877310303935,6.2091463414634145,1527.45,0.0,0.172149
1.7406112935178513,6.2091463414634145,1527.45,0.0,0.174061
1.7599472947207409,6.2091463414634145,1527.45,0.0,0.175995
1.779498094565872,6.2091463414634145,1527.45,0.0,0.17795
1.7992660791958721,6.2091463414634145,1527.45,0.0,0.179927
1.81925366126041,6.2091463414634145,1527.45,0.0,0.181925
1.839463280210657,6.2091463414634145,1527.45,0.0,0.183946
1.8598974025970172,6.2091463414634145,1527.45,0.0,0.18599
1.8805585223701655,6.2091463414634145,1527.45,0.0,0.188056
1.901449161185431,6.2091463414634145,1527.45,0.0,0.190145
1.9225718687105604,6.2091463414634145,1527.45,0.0,0.192257
1.9439292229369007,6.2091463414634145,1527.45,0.0,0.194393
1.9655238304940383,6.2091463414634145,1527.45,0.0,0.196552
1.9873583269679354,6.2091463414634145,1527.45,0.0,0.198736
2.0094353772225966,6.2091463414634145,1527.45,0.0,0.200944
2.031757675725313,6.2091463414634145,1527.45,0.0,0.203176
2.0543279468755165,6.2091463414634145,1527.45,0.0,0.205433
2.077148945337289,6.2091463414634145,1527.45,0.0,0.207715
2.100223456375563,6.2091463414634145,1527.45,0.0,0.210022
2.123554296196061,6.2091463414634145,1527.45,0.0,0.212355
2.147144312289006,6.2091463414634145,1527.45,0.0,0.214714
2.1709963837766555,6.2091463414634145,1527.45,0.0,0.2171
2.1951134217646913,6.2091463414634145,1527.45,0.0,0.219511
2.219498369697517,6.2091463414634145,1527.45,0.0,0.22195
2.244154203717499,6.2091463414634145,1527.45,0.0,0.224415
2.269083933028201,6.2091463414634145,1527.45,0.0,0.226908
2.2942906002616517,6.2091463414634145,1527.45,0.0,0.229429
2.3197772818496922,6.2091463414634145,1527.45,0.0,0.231978
2.3455470883994516,6.2091463414634145,1527.45,0.0,0.234555
2.371603165072989,6.2091463414634145,1527.45,0.0,0.23716
2.397948691971156,6.2091463414634145,1527.45,0.0,0.239795
2.424586884521724,6.2091463414634145,1527.45,0.0,0.242459
2.45152099387182,6.2091463414634145,1527.45,0.0,0.245152
2.478754307284725,6.2091463414634145,1527.45,0.0,0.247875
2.50629014854108,6.2091463414634145,1527.45,0.0,0.250629
2.5341318783445423,6.2091463414634145,1527.45,0.0,0.253413
2.5622828947319634,6.2091463414634145,1527.45,0.0,0.256228
2.5907466334881044,6.2091463414634145,1527.45,0.0,0.259075
2.6195265685649725,6.2091463414634145,1527.45,0.0,0.261953
2.648626212505812,6.2091463414634145,1527.45,0.0,0.264863
2.678049116873801,6.2091463414634145,1527.45,0.0,0.267805
