Source,ObsID,QPO0_freq,QPO0_pos_err,QPO0_neg_err,QPO0_FWHM,QPO0_FWHM_pos_err,QPO0_FWHM_neg_err,QPO0_IP,QPO0_IP_pos_err,QPO0_IP_neg_err,Sig.,QPO1_freq,QPO1_pos_err,QPO1_neg_err,QPO1_FWHM,QPO1_FWHM_pos_err,QPO1_FWHM_neg_err,QPO1_IP,QPO1_IP_pos_err,QPO1_IP_neg_err,Sig.,QPO2_freq,QPO2_pos_err,QPO2_neg_err,QPO2_FWHM,QPO2_FWHM_pos_err,QPO2_FWHM_neg_err,QPO2_IP,QPO2_IP_pos_err,QPO2_IP_neg_err,Sig.,QPO3_freq,QPO3_pos_err,QPO3_neg_err,QPO3_FWHM,QPO3_FWHM_pos_err,QPO3_FWHM_neg_err,QPO3_IP,QPO3_IP_pos_err,QPO3_IP_neg_err,Sig.,Type,1st_time,last_time
H1743-322,80135-02-02-000-2,4.74921751E+00,2.08846908E-02,2.09108684E-02,8.47276092E-01,6.32704943E-02,5.81927337E-02,9.79749253E-04,4.48630235E-05,4.42817400E-05,22.1254,9.03866386E+00,5.85783646E-02,5.86352795E-02,1.99088681E+00,1.74919605E-01,1.59386158E-01,9.71412112E-04,5.42935413E-05,5.33372477E-05,18.2126,,,,,,,,,,,,,,,,,,,,,B,0.0,2462.0
H1743-322,80135-02-02-01,4.73049307E+00,2.19026506E-02,2.12391894E-02,7.92681694E-01,6.09459728E-02,5.61825037E-02,9.33605887E-04,4.37220478E-05,4.32699344E-05,21.5763,8.94526291E+00,6.72086328E-02,6.83921427E-02,2.75488329E+00,2.34250709E-01,2.16750845E-01,1.13687629E-03,5.62113419E-05,5.55035076E-05,20.483,,,,,,,,,,,,,,,,,,,,,B,0.0,1296.0
H1743-322,80144-01-01-00,5.24694729E+00,6.68469593E-02,6.33533150E-02,2.81774926E+00,3.02217841E-01,2.71920651E-01,3.52670182E-03,3.44561267E-04,3.29059840E-04,10.7175,8.83265114E+00,3.25487643E-01,3.35450083E-01,2.94105268E+00,4.95204955E-01,5.58732092E-01,8.99491075E-04,2.32286387E-04,2.16109242E-04,4.16221,,,,,,,,,,,,,,,,,,,,,B,0.0,2059.0
H1743-322,80144-01-01-01,5.43035746E+00,3.79251018E-02,3.81013826E-02,1.32020271E+00,1.30727142E-01,1.30776405E-01,1.84332894E-03,1.52087014E-04,1.77996786E-04,10.356,8.23387623E+00,4.10894185E-01,5.59287906E-01,4.79613400E+00,9.63207304E-01,8.58689725E-01,1.00967195E-03,2.45290750E-04,1.82292977E-04,5.53873,,,,,,,,,,,,,,,,,,,,,B,0.0,1328.0
H1743-322,80144-01-01-02,5.46266842E+00,4.78378497E-02,4.93857749E-02,1.88034129E+00,1.73146591E-01,1.65585935E-01,2.39977264E-03,2.44763389E-04,2.64993490E-04,9.05597,7.71374512E+00,3.25494170E-01,3.78627658E-01,4.71176624E+00,5.07950485E-01,5.02780616E-01,1.52669603E-03,3.03924899E-04,2.43769071E-04,6.26288,,,,,,,,,,,,,,,,,,,,,B,0.0,1549.0
H1743-322,80144-01-02-00,5.25214863E+00,2.86372565E-02,2.63473094E-02,1.37335992E+00,9.41338614E-02,9.43152010E-02,1.66856579E-03,8.33849335E-05,9.02148968E-05,18.4955,8.82473564E+00,2.40218177E-01,2.81851530E-01,4.64306784E+00,5.61685085E-01,5.38946152E-01,9.63795232E-04,1.07332977E-04,9.94694419E-05,9.68936,,,,,,,,,,,,,,,,,,,,,B,0.0,1904.0
H1743-322,80144-01-03-01,4.97659254E+00,2.62728930E-02,2.57629119E-02,9.48233962E-01,7.38203526E-02,6.83037266E-02,1.11291313E-03,5.50818149E-05,5.47644122E-05,20.3218,9.11448956E+00,9.52321365E-02,9.98258218E-02,2.61932611E+00,3.55188847E-01,3.05688411E-01,8.64061643E-04,6.90934976E-05,6.60680307E-05,13.0784,,,,,,,,,,,,,,,,,,,,,B,0.0,1456.0
H1743-322,80146-01-08-00,5.18832064E+00,4.23154384E-02,4.60655689E-02,2.92915940E+00,1.43363148E-01,1.29019186E-01,4.73217340E-03,2.18444344E-04,1.95617904E-04,24.1909,9.63467789E+00,7.68355802E-02,7.39642829E-02,2.03623986E+00,1.81387022E-01,1.66602388E-01,8.26462696E-04,7.07447762E-05,6.66719570E-05,12.396,,,,,,,,,,,,,,,,,,,,,,0.0,2960.0
H1743-322,80146-01-16-00-2,4.26425886E+00,1.10014088E-01,1.11605220E-01,1.39825749E+00,6.02344513E-01,4.02566284E-01,2.30851350E-04,9.90778426E-05,6.84094266E-05,3.37455,7.69207048E+00,7.35862553E-02,7.46316090E-02,2.27056670E+00,2.92282581E-01,2.79895216E-01,6.41052960E-04,6.72108363E-05,7.17730072E-05,8.93167,,,,,,,,,,,,,,,,,,,,,B,5680.0,8976.0
H1743-322,80146-01-18-00,4.84727335E+00,3.42050269E-02,3.24768908E-02,1.29366529E+00,1.46805003E-01,1.33685634E-01,8.13755207E-04,6.71905436E-05,6.74503826E-05,12.0645,8.85809135E+00,1.87309608E-01,2.08745345E-01,4.23870754E+00,4.65304792E-01,4.31280017E-01,9.46198474E-04,7.89366823E-05,7.55005021E-05,12.5323,,,,,,,,,,,,,,,,,,,,,,0.0,3040.0
