Source,ObsID,QPO0_freq,QPO0_pos_err,QPO0_neg_err,QPO0_FWHM,QPO0_FWHM_pos_err,QPO0_FWHM_neg_err,QPO0_IP,QPO0_IP_pos_err,QPO0_IP_neg_err,Sig.,QPO1_freq,QPO1_pos_err,QPO1_neg_err,QPO1_FWHM,QPO1_FWHM_pos_err,QPO1_FWHM_neg_err,QPO1_IP,QPO1_IP_pos_err,QPO1_IP_neg_err,Sig.,QPO2_freq,QPO2_pos_err,QPO2_neg_err,QPO2_FWHM,QPO2_FWHM_pos_err,QPO2_FWHM_neg_err,QPO2_IP,QPO2_IP_pos_err,QPO2_IP_neg_err,Sig.,QPO3_freq,QPO3_pos_err,QPO3_neg_err,QPO3_FWHM,QPO3_FWHM_pos_err,QPO3_FWHM_neg_err,QPO3_IP,QPO3_IP_pos_err,QPO3_IP_neg_err,Sig.,Type,1st_time,last_time
H1743-322,80146-01-01-00,3.53058600E+00,1.34226501E-01,1.28069058E-01,1.90335286E+00,3.58889580E-01,3.63424748E-01,1.26844179E-03,4.10064473E-04,3.61519516E-04,3.50864,8.51059628E+00,9.51487571E-03,9.66747943E-03,6.79991364E-01,2.77801808E-02,2.99869850E-02,2.13258481E-03,5.31837140E-05,6.03372828E-05,35.3444,,,,,,,,,,,,,,,,,,,,,C,0.0,2448.0
H1743-322,80146-01-03-01,2.77418780E+00,1.24909699E-01,1.58407971E-01,3.17038155E+00,3.59338731E-01,2.89631218E-01,4.91266139E-03,6.75084768E-04,5.62212255E-04,8.73809,7.01153660E+00,1.93352681E-02,1.91818699E-02,1.42073703E+00,6.15185350E-02,6.14087246E-02,4.82942257E-03,1.59611809E-04,1.69180581E-04,28.546,,,,,,,,,,,,,,,,,,,,,C,0.0,3008.0
H1743-322,80146-01-06-00,4.70558739E+00,7.11613372E-02,6.89730123E-02,3.46841478E+00,1.20195307E-01,1.24663547E-01,5.25848940E-03,2.52321886E-04,2.65792303E-04,19.7842,9.67978001E+00,2.77975108E-02,2.82286126E-02,1.28784847E+00,7.77579844E-02,7.36050904E-02,9.76125652E-04,4.59382063E-05,4.47037019E-05,21.8355,,,,,,,,,,,,,,,,,,,,,,21187.0,24563.0
H1743-322,80146-01-06-00-2,4.95520639E+00,8.59158039E-02,7.94679448E-02,3.26614881E+00,1.60185322E-01,1.76626310E-01,3.80190997E-03,2.59950000E-04,2.93358200E-04,12.96,9.61711502E+00,4.05914560E-02,4.25470285E-02,1.53412759E+00,1.17735639E-01,1.04055673E-01,8.14455503E-04,5.40634283E-05,4.86903737E-05,16.7272,,,,,,,,,,,,,,,,,,,,,,9779.0,13203.0
H1743-322,80146-01-06-00-3,4.91329479E+00,5.67754172E-02,6.55608326E-02,3.20126462E+00,1.44271776E-01,1.20679513E-01,5.06411120E-03,2.82835623E-04,2.48068536E-04,20.4142,9.75599003E+00,4.40597981E-02,4.13394645E-02,1.51430428E+00,9.78407413E-02,1.03119634E-01,9.52986768E-04,5.10573700E-05,5.74476253E-05,16.5888,,,,,,,,,,,,,,,,,,,,,,15555.0,18883.0
H1743-322,80146-01-07-00,4.45001364E+00,1.34131297E-01,1.51763320E-01,3.58502650E+00,3.41035247E-01,3.02042842E-01,1.79790705E-03,2.56051891E-04,2.18363115E-04,8.23357,9.57165337E+00,8.13654289E-02,7.33409822E-02,1.73652291E+00,2.80941606E-01,2.42709607E-01,3.85955354E-04,4.89839003E-05,4.64891928E-05,8.30204,,,,,,,,,,,,,,,,,,,,,,0.0,3421.0
H1743-322,80146-01-09-00,4.80712938E+00,9.52895135E-02,8.13228562E-02,3.12359667E+00,1.53647929E-01,1.72788829E-01,4.40927548E-03,3.12289834E-04,3.70463444E-04,11.9021,9.61347675E+00,3.52215506E-02,3.68461721E-02,1.38660443E+00,8.94507915E-02,8.40679780E-02,1.04861869E-03,5.30874022E-05,5.13004852E-05,20.4407,,,,,,,,,,,,,,,,,,,,,,0.0,3081.0
H1743-322,80146-01-13-00,4.74152422E+00,6.95651099E-02,6.61709756E-02,3.35105991E+00,1.28973439E-01,1.38204902E-01,4.65486059E-03,2.25375043E-04,2.48550845E-04,18.728,9.64863205E+00,3.36576849E-02,3.46681699E-02,1.46042526E+00,8.81552026E-02,8.53798240E-02,9.61524609E-04,4.64413424E-05,4.65671110E-05,20.6481,,,,,,,,,,,,,,,,,,,,,,2656.0,5999.0
H1743-322,80146-01-15-00,5.16719675E+00,6.39156923E-02,5.97392619E-02,3.29495573E+00,1.64770156E-01,1.73465520E-01,5.05166128E-03,2.44793249E-04,2.71572761E-04,18.6015,9.87706852E+00,9.70840603E-02,1.04366690E-01,1.88136804E+00,2.41502762E-01,2.28312716E-01,7.16398703E-04,8.50396100E-05,8.11623468E-05,8.82674,,,,,,,,,,,,,,,,,,,,,B,0.0,1664.0
H1743-322,80146-01-15-01,4.85728884E+00,8.01086575E-02,9.14681554E-02,3.12234259E+00,1.67198136E-01,1.53537527E-01,4.91975062E-03,3.41135717E-04,3.17186990E-04,15.5106,9.63679600E+00,4.70328182E-02,4.83619422E-02,1.58923614E+00,1.11005366E-01,1.15633272E-01,1.08930189E-03,6.30741633E-05,7.16154900E-05,15.2104,,,,,,,,,,,,,,,,,,,,,,0.0,1728.0
H1743-322,80146-01-47-00,3.14220023E+00,7.41873533E-02,7.00168312E-02,2.41856384E+00,1.72169954E-01,1.85373813E-01,4.15876554E-03,4.84815479E-04,5.38991764E-04,7.71582,7.02791309E+00,1.28618600E-02,1.28972530E-02,1.56750035E+00,3.81634831E-02,3.75657007E-02,5.63812628E-03,1.22180485E-04,1.25224236E-04,45.0242,,,,,,,,,,,,,,,,,,,,,C,0.0,8688.0
H1743-322,80146-01-50-00,3.94918680E+00,9.22944173E-02,9.22100320E-02,4.06554699E+00,1.63388163E-01,1.68433771E-01,4.70955484E-03,2.76835461E-04,2.81787507E-04,16.7131,9.45275497E+00,1.92138739E-02,1.93636697E-02,9.12542164E-01,4.35144939E-02,4.14521694E-02,1.30865700E-03,4.63696852E-05,4.58259856E-05,28.5571,,,,,,,,,,,,,,,,,,,,,C,5346.0,8210.0
