Source,ObsID,QPO0_freq,QPO0_pos_err,QPO0_neg_err,QPO0_FWHM,QPO0_FWHM_pos_err,QPO0_FWHM_neg_err,QPO0_IP,QPO0_IP_pos_err,QPO0_IP_neg_err,Sig.,QPO1_freq,QPO1_pos_err,QPO1_neg_err,QPO1_FWHM,QPO1_FWHM_pos_err,QPO1_FWHM_neg_err,QPO1_IP,QPO1_IP_pos_err,QPO1_IP_neg_err,Sig.,QPO2_freq,QPO2_pos_err,QPO2_neg_err,QPO2_FWHM,QPO2_FWHM_pos_err,QPO2_FWHM_neg_err,QPO2_IP,QPO2_IP_pos_err,QPO2_IP_neg_err,Sig.,QPO3_freq,QPO3_pos_err,QPO3_neg_err,QPO3_FWHM,QPO3_FWHM_pos_err,QPO3_FWHM_neg_err,QPO3_IP,QPO3_IP_pos_err,QPO3_IP_neg_err,Sig.,Type,1st_time,last_time
H1743-322,80146-01-32-00,2.44585395E+00,7.20893070E-02,6.85022175E-02,1.32732248E+00,2.22419068E-01,2.15028644E-01,2.31883419E-03,5.83224813E-04,5.53885358E-04,4.18649,4.89323616E+00,6.19798107E-03,5.79691213E-03,5.12545943E-01,1.89382024E-02,1.70615446E-02,1.22330729E-02,2.97401741E-04,2.76548002E-04,44.2349,9.63006020E+00,5.31881973E-02,4.89292480E-02,1.21823573E+00,2.07088038E-01,1.88456625E-01,6.39687642E-04,9.59792815E-05,9.16549980E-05,6.9793,,,,,,,,,,,C,0.0,3168.0
H1743-322,80146-01-34-00,1.37551785E+00,3.70833427E-02,4.23761047E-02,8.81060123E-01,1.30271181E-01,1.08844943E-01,3.69611662E-03,6.53840485E-04,5.88456460E-04,6.28104,2.81998229E+00,5.22413198E-03,5.14144497E-03,3.43485802E-01,1.45378811E-02,1.46619398E-02,1.81060955E-02,4.57291346E-04,4.93862783E-04,36.6622,5.54901695E+00,2.16002930E-02,2.12343782E-02,5.19108534E-01,6.92351386E-02,6.25861287E-02,1.23067573E-03,1.42571807E-04,1.33985784E-04,9.18512,,,,,,,,,,,C,0.0,3184.0
H1743-322,80146-01-34-00-2,1.36825764E+00,2.62626223E-02,2.35767607E-02,7.50077844E-01,8.51162821E-02,8.77561569E-02,3.97933973E-03,4.95128101E-04,5.63856331E-04,7.05736,2.78832340E+00,4.71812859E-03,4.61116852E-03,3.19374710E-01,1.42350011E-02,1.32463286E-02,1.82311106E-02,4.73639491E-04,4.68526181E-04,38.9116,5.46532536E+00,1.93265527E-02,1.84387676E-02,4.40055192E-01,4.85567860E-02,4.42402102E-02,1.27337070E-03,1.25262901E-04,1.19897042E-04,10.6205,,,,,,,,,,,C,5680.0,8864.0
H1743-322,80146-01-35-00,1.18300414E+00,3.19659039E-02,2.97261700E-02,3.63732070E-01,2.18822151E-01,9.18281078E-02,1.76038418E-03,1.48509443E-03,4.66837897E-04,3.77087,2.26002955E+00,5.89301949E-03,6.20936463E-03,2.09258988E-01,2.26211213E-02,2.08312012E-02,1.63586419E-02,1.16807537E-03,1.20265002E-03,13.6022,4.50505495E+00,3.18849981E-02,3.42204012E-02,6.67226255E-01,1.48156673E-01,1.23574890E-01,2.39670160E-03,5.65118447E-04,5.39010623E-04,4.44648,,,,,,,,,,,C,0.0,1392.0
H1743-322,80146-01-36-00,,,,,,,,,,,1.84013915E+00,3.24137718E-03,3.30340466E-03,2.32256353E-01,8.74136388E-03,8.86815973E-03,1.82263721E-02,4.85826953E-04,5.08944388E-04,35.8121,3.60606503E+00,1.48049174E-02,1.37484325E-02,6.74221098E-01,4.94802855E-02,4.84860018E-02,3.37968161E-03,2.12168976E-04,2.18760077E-04,15.4493,5.36989212E+00,9.77960005E-02,1.08586259E-01,2.43706131E+00,3.21042091E-01,3.37029755E-01,1.72310357E-03,2.75620114E-04,2.65141192E-04,6.49882,C,0.0,8768.0
H1743-322,80146-01-37-00,9.39408541E-01,1.77653376E-02,1.88155491E-02,1.51216865E-01,4.92949784E-02,3.87598537E-02,5.39611443E-04,1.46316946E-04,1.37449329E-04,3.92589,1.91020775E+00,3.22869979E-03,3.31864064E-03,2.42973596E-01,9.79676936E-03,1.03824157E-02,1.79750826E-02,5.03305520E-04,5.46343334E-04,32.9007,3.72728014E+00,1.78994387E-02,1.68830268E-02,7.77604699E-01,6.61278367E-02,6.45338893E-02,3.38007580E-03,2.60648783E-04,2.65155133E-04,12.7475,5.60027170E+00,8.68604779E-02,9.51278359E-02,2.20424747E+00,2.88100779E-01,2.82161206E-01,1.43843377E-03,2.17053879E-04,2.01994466E-04,7.12115,C,0.0,8864.0
H1743-322,80146-01-38-00,1.30713594E+00,2.61019915E-02,3.53204757E-02,7.29380906E-01,1.18654139E-01,8.93715248E-02,4.08593379E-03,8.15975596E-04,6.48242130E-04,6.3031,2.78885221E+00,5.51560894E-03,5.43473568E-03,3.89865577E-01,1.50092868E-02,1.47872102E-02,2.07199771E-02,5.31260041E-04,5.41294343E-04,38.2786,5.48075676E+00,3.20741944E-02,3.01506482E-02,5.95919967E-01,6.66158199E-02,6.21419437E-02,1.41309272E-03,1.66751808E-04,1.59524585E-04,8.85815,,,,,,,,,,,C,0.0,3168.0
H1743-322,80146-01-38-00-2,1.57195222E+00,2.22057793E-02,2.22581588E-02,7.39687443E-01,7.59011284E-02,7.00333863E-02,3.75128374E-03,4.07445652E-04,4.00215038E-04,9.37317,3.24563336E+00,4.93565714E-03,4.72959969E-03,3.58181119E-01,1.51172541E-02,1.37023097E-02,1.82272270E-02,4.48983279E-04,4.35264286E-04,41.8762,6.45259666E+00,2.14828625E-02,2.11158637E-02,6.32809699E-01,6.64321482E-02,6.16679601E-02,1.32933841E-03,1.19012671E-04,1.17339063E-04,11.329,,,,,,,,,,,C,5664.0,8848.0
H1743-322,80146-01-40-00,,,,,,,,,,,1.57592893E+00,6.46367390E-03,6.02226751E-03,1.44320399E-01,2.08511762E-02,1.68475974E-02,1.62427165E-02,1.21825607E-03,1.20331696E-03,13.4983,3.11961794E+00,3.59367803E-02,3.54571678E-02,5.47608614E-01,1.84026822E-01,1.72104865E-01,3.32750683E-03,9.08826711E-04,1.20561442E-03,2.76001,,,,,,,,,,,C,0.0,1008.0
H1743-322,80146-01-40-00-2,,,,,,,,,,,1.79288399E+00,7.26389745E-03,7.24823028E-03,2.11914316E-01,2.55972110E-02,2.30005160E-02,1.95811950E-02,1.29752443E-03,1.31443655E-03,14.897,3.48662519E+00,4.00875658E-02,4.18799110E-02,6.51245117E-01,2.54232913E-01,1.87167317E-01,2.95205764E-03,8.89052637E-04,6.99210621E-04,4.22199,,,,,,,,,,,C,5552.0,6656.0
