First Model Name,Second Model Name,t,p,% Chance First Better,% Chance Second Better
ExtraTreesRegressor,DecisionTreeRegressor,0.4,0.3467448274774382,65.45,34.55
ExtraTreesRegressor,RandomForestRegressor,0.6,0.27599761876537093,72.59,27.409999999999997
ExtraTreesRegressor,LinearRegression,11.21,9.354509737685185e-12,100.0,0.0
DecisionTreeRegressor,RandomForestRegressor,0.15,0.4403938252697267,56.0,44.0
DecisionTreeRegressor,LinearRegression,8.74,1.6245220714035816e-09,100.0,0.0
RandomForestRegressor,LinearRegression,9.73,1.8619054175274185e-10,100.0,0.0
