obsid,source,nH,gamma,kT_e,nthcomp_norm,diskbb_Tin,diskbb_norm,red_pgstat
91423-01-04-04,SWIFT_J1753.5-0127,1.63554,2.07551,12.2310,0.999741,1.21597,472.930,3512.479119983703
91423-01-04-05,SWIFT_J1753.5-0127,1.63554,2.27933,57.4502,1.39343,1.15276,592.424,3223.1417313238817
91423-01-04-06,SWIFT_J1753.5-0127,1.63554,2.10269,12.1994,1.05906,1.20135,492.576,3490.9421199724575
91423-01-05-01,SWIFT_J1753.5-0127,1.63554,2.22899,26.1959,1.30427,1.16212,540.581,3452.314123016033
91423-01-05-02,SWIFT_J1753.5-0127,1.63554,1.90254,10.0000,0.713383,1.25431,485.844,3229.153142995208
91423-01-06-00,SWIFT_J1753.5-0127,1.63554,2.16953,17.6268,1.18225,1.17954,516.816,3474.2082229181724
91428-01-02-01,H_1743-322,1.63554,2.27266,65.1020,1.35487,1.15672,595.463,3165.038834174073
91428-01-03-00,H_1743-322,1.63554,1.92163,10.7306,0.741483,1.24664,491.918,3238.74251497006
91702-01-01-00,GRO_J1655-40,1.63554,2.20958,1000.00,0.905505,1.33987,321.608,3211.229997611655
91702-01-01-01,GRO_J1655-40,1.63554,2.24571,1000.00,0.931158,1.34930,305.129,3219.4562197348573
91702-01-01-02,GRO_J1655-40,1.63554,2.24349,30.9828,1.31828,1.15792,538.333,3457.9752246012586
91702-01-01-03,GRO_J1655-40,1.63554,1.93728,10.7631,0.768872,1.23714,502.936,3230.271912861597
91702-01-01-04,GRO_J1655-40,1.63554,2.26826,56.6820,1.34057,1.15688,589.150,3165.5515328007555
91702-01-01-05,GRO_J1655-40,1.63554,2.27586,93.7252,1.34707,1.15598,590.450,3161.8737982184202
91702-01-02-00G,GRO_J1655-40,1.63554,2.24355,1000.00,0.918134,1.35532,297.861,3201.4189004108785
91702-01-58-00,GRO_J1655-40,1.63554,2.11241,12.6248,1.08944,1.20304,482.038,3344.681780934171
91702-01-71-03,GRO_J1655-40,1.63554,2.17774,17.6581,1.21959,1.18066,509.368,3317.1563095840306
91702-01-71-04,GRO_J1655-40,1.63554,1.89274,10.6366,0.706493,1.26389,470.085,3081.9541344922586
91702-01-76-00,GRO_J1655-40,1.63554,1.90338,10.0000,0.720282,1.26059,472.330,3084.1218124830707
91702-01-76-01,GRO_J1655-40,1.63554,2.16632,1000.00,1.07490,1.21701,500.984,3070.138529808991
91702-01-79-00,GRO_J1655-40,1.63554,2.16118,1000.00,1.06100,1.21973,496.148,3074.9005271866704
91702-01-79-01,GRO_J1655-40,1.63554,2.23291,25.5585,1.32448,1.16350,526.251,3297.980352277524
91702-01-80-00,GRO_J1655-40,1.63554,1.92338,10.7260,0.750252,1.25173,479.773,3089.412575102369
91702-01-80-01,GRO_J1655-40,1.63554,2.17675,1000.00,0.906066,1.32352,343.343,3060.2976758386444
91702-01-80-02,GRO_J1655-40,1.63554,1.90013,11.2181,0.565447,1.39974,295.765,3075.0041863297306
91702-01-81-00,GRO_J1655-40,1.63554,2.28195,67.6879,1.38251,1.15670,581.327,3027.607408531957
91702-01-81-01,GRO_J1655-40,1.63554,1.92020,10.7334,0.739501,1.25369,473.567,3095.9765329295988
91702-01-81-02,GRO_J1655-40,1.63554,2.13833,13.5436,1.12589,1.19158,487.331,3338.184735014344
91702-01-82-00,GRO_J1655-40,1.63554,2.11874,12.7767,1.08319,1.19970,475.948,3346.31945490137
91702-01-87-03,GRO_J1655-40,1.63554,2.04694,12.1444,0.926576,1.23710,425.952,3391.5159933924015
91704-01-01-01,GRO_J1655-40,1.63554,2.12363,12.9059,1.08674,1.19751,475.605,3365.0561629474314
92035-01-02-01,GX_339-4,1.63554,2.20043,20.7905,1.23426,1.17329,503.023,3339.3469006721434
92035-01-02-02,GX_339-4,1.63554,2.17823,1000.00,1.08719,1.20684,503.517,3097.5342618799345
92035-01-02-03,GX_339-4,1.63554,2.13566,13.8007,1.11120,1.19272,480.013,3345.1218243945923
92035-01-02-04,GX_339-4,1.63554,1.92889,10.8326,0.748858,1.24947,471.479,3102.5585271892132
92035-01-02-06,GX_339-4,1.63554,2.24734,32.0261,1.32933,1.15891,516.224,3313.0053938229644
92035-01-02-07,GX_339-4,1.63554,2.20946,22.2890,1.26806,1.16415,515.138,3308.30729550479
92035-01-03-00,GX_339-4,1.63554,1.92849,10.8258,0.750716,1.24846,471.112,3091.757312950169
92035-01-03-01,GX_339-4,1.63554,1.92117,13.8527,0.572645,1.40424,283.433,3068.71609734643
92035-01-03-02,GX_339-4,1.63554,2.17427,18.7337,1.18416,1.18087,488.565,3312.1549203099867
92035-01-03-03,GX_339-4,1.63554,2.21686,25.0147,1.26822,1.16758,503.444,3295.5764182587136
92035-01-03-05,GX_339-4,1.63554,1.88579,11.6050,0.545954,1.40141,288.847,3050.6992727272727
92035-01-04-00,GX_339-4,1.63554,1.87130,10.0000,0.653149,1.27557,437.767,3068.5800812418397
92082-01-02-03,XTE_J1817-330,1.63554,2.27518,94.3167,1.35148,1.15706,568.527,2994.9725075965853
92082-01-02-04,XTE_J1817-330,1.63554,2.21236,24.1720,1.25700,1.16839,503.041,3269.625487083273
92085-01-03-00,GX_339-4,1.63554,1.91471,14.3497,0.567703,1.39975,287.935,3026.917734273787
92085-01-03-01,GX_339-4,1.63554,2.22945,1000.00,0.937556,1.33498,311.471,3013.586862885858
92085-01-03-02,GX_339-4,1.63554,2.19444,21.2249,1.21973,1.17310,498.178,3256.6074752971504
92085-01-03-03,GX_339-4,1.63554,2.25060,34.3159,1.33222,1.15577,518.425,3237.6421225539207
92428-01-04-00,GX_339-4,1.63554,1.92500,10.7510,0.744165,1.24626,473.769,3025.0527140618324
92428-01-04-01,GX_339-4,1.63554,1.99507,663.610,0.618873,1.41184,270.325,3011.5823504334235
92428-01-04-02,GX_339-4,1.63554,2.26449,46.5275,1.33816,1.15791,560.247,2973.7746279234584
92428-01-04-03,GX_339-4,1.63554,2.00081,386.446,0.636666,1.39373,287.213,2981.249823271596
92704-03-10-11,GX_339-4,1.63554,2.27156,76.9861,1.33719,1.15675,569.708,2941.4000141023835
92704-03-11-01,GX_339-4,1.63554,2.12171,13.2745,1.07939,1.19505,472.398,3233.5437473624984
92704-03-12-01,GX_339-4,1.63554,2.19274,20.8722,1.21370,1.17256,497.932,3211.623403956784
93427-01-03-01,H_1743-322,1.63554,2.19005,1000.00,0.914953,1.31546,338.071,2960.931770468859
93427-01-04-00,H_1743-322,1.63554,1.89555,10.6366,0.689261,1.26022,453.137,3006.831285774117
93427-01-04-02,H_1743-322,1.63554,2.12725,13.5139,1.08338,1.19286,471.805,3237.164740286868
93427-01-04-03,H_1743-322,1.63554,1.90465,12.3247,0.558234,1.39397,289.984,2989.015835532713
93427-01-09-00,H_1743-322,1.63554,2.25013,33.6732,1.31562,1.15589,511.925,3207.3247194124983
93427-01-09-01,H_1743-322,1.63554,1.96345,32.3778,0.592065,1.40136,279.802,2981.2671043538357
93427-01-09-02,H_1743-322,1.63554,2.26612,95.6859,1.30746,1.15837,563.134,2934.2210119950364
93427-01-09-03,H_1743-322,1.63554,1.90927,12.5380,0.561138,1.39374,288.802,2974.447118690689
93427-01-10-00,H_1743-322,1.63554,1.93183,10.8371,0.744320,1.24422,468.830,2989.0224996570173
93427-01-10-01,H_1743-322,1.63554,2.27155,88.3503,1.32022,1.15709,561.040,2923.634186396606
93427-01-10-02,H_1743-322,1.63554,1.92569,10.6850,0.737148,1.24405,469.989,2979.019795221843
93427-01-11-00,H_1743-322,1.63554,2.05285,12.5464,0.964374,1.19312,534.549,2963.3868990875662
93427-01-11-01,H_1743-322,1.63554,1.92324,10.6669,0.731783,1.24520,467.519,2975.1864556446135
93427-01-11-03,H_1743-322,1.63554,1.97019,40.3449,0.595603,1.39962,279.407,2950.758910421466
93427-01-12-02,H_1743-322,1.63554,1.85694,10.0000,0.616051,1.28261,420.682,2975.9132080573204
93427-01-12-04,H_1743-322,1.63554,1.94084,18.8765,0.584355,1.38928,289.676,2942.5819285232637
93427-01-12-05,H_1743-322,1.63554,2.07064,12.0553,0.959676,1.21774,435.409,3208.5117045607426
93427-01-13-00,H_1743-322,1.63554,1.98081,45.7917,0.610466,1.39161,284.727,2933.9545027513086
93427-01-13-01,H_1743-322,1.63554,2.16237,1000.00,1.03254,1.21144,481.494,2945.909090909091
93427-01-13-02,H_1743-322,1.63554,2.26020,31.0393,1.32520,1.15751,531.146,2966.5777347402163
93427-01-13-03,H_1743-322,1.63554,2.23687,1000.00,0.926028,1.33403,303.414,2922.076282478348
93427-01-13-04,H_1743-322,1.63554,2.05860,11.9581,0.931845,1.22375,426.152,3198.092516283398
93427-01-13-05,H_1743-322,1.63554,1.91435,10.0000,0.713481,1.24779,461.743,2939.7351147062723
93427-01-13-06,H_1743-322,1.63554,1.92102,20.4224,0.540087,1.41604,266.931,2925.564889535653
93427-01-14-00,H_1743-322,1.63554,2.00206,38.7737,0.651036,1.36673,303.618,2909.136861554705
93427-01-14-01,H_1743-322,1.63554,2.09399,12.3460,1.00014,1.20661,445.834,3168.422317314022
93427-01-14-02,H_1743-322,1.63554,1.89805,10.6366,0.681374,1.25816,446.147,2935.7756469197425
93427-01-14-03,H_1743-322,1.63554,1.93350,10.7806,0.741012,1.24091,467.361,2925.4327742104574
93427-01-14-04,H_1743-322,1.63554,2.15737,16.9354,1.11653,1.18410,470.925,3138.8658648189307
93427-01-14-05,H_1743-322,1.63554,2.03276,11.9624,0.918518,1.19842,521.403,2909.6667536194077
93427-01-14-06,H_1743-322,1.63554,1.94207,11.0945,0.604717,1.37364,296.926,2896.3793103448274
93427-01-15-00,H_1743-322,1.63554,2.26593,54.1127,1.29701,1.15876,545.105,2860.8305205763986
93427-01-15-01,H_1743-322,1.63554,1.93451,10.8146,0.738907,1.24131,464.568,2911.3372620126925
93427-01-15-02,H_1743-322,1.63554,1.88884,10.6366,0.663627,1.26215,439.278,2915.6871042770385
93427-01-15-03,H_1743-322,1.63554,1.89965,11.5840,0.549286,1.38785,289.007,2885.6481242748487
93427-01-15-04,H_1743-322,1.63554,2.13847,14.9235,1.07646,1.19002,461.723,3120.8630225080387
93427-01-15-05,H_1743-322,1.63554,1.90310,10.0000,0.686217,1.25420,448.672,2899.319260875144
93427-01-15-06,H_1743-322,1.63554,2.26508,102.524,1.27677,1.15952,546.961,2839.4139674817566
94331-01-06-00,XTE_J1752-223,1.63554,2.26779,103.026,1.28263,1.15842,548.092,2835.399156980457
94331-01-06-01,XTE_J1752-223,1.63554,1.92986,10.6671,0.731665,1.24074,464.065,2888.60010194979
94331-01-06-02,XTE_J1752-223,1.63554,1.89128,10.6366,0.668641,1.25741,444.130,2892.6589319771138
94413-01-02-00,H_1743-322,1.63554,1.87926,10.6366,0.647722,1.26443,434.818,2893.1234935938096
94413-01-02-01,H_1743-322,1.63554,2.27722,76.3356,1.30496,1.15563,546.371,2826.00493608404
94413-01-02-02,H_1743-322,1.63554,2.26709,106.722,1.27720,1.15843,546.118,2821.628993559793
94413-01-02-03,H_1743-322,1.63554,1.99089,34.7216,0.626899,1.37345,293.559,2852.027844273655
94413-01-02-04,H_1743-322,1.63554,1.94215,11.0273,0.596512,1.37677,290.038,2857.5028284098053
94413-01-02-05,H_1743-322,1.63554,2.26516,86.2248,1.26997,1.15870,543.754,2821.1441740875453
94413-01-03-02,H_1743-322,1.63554,2.00355,42.1141,0.643539,1.36577,298.740,2845.315354774121
94413-01-03-03,H_1743-322,1.63554,1.94819,10.6366,0.763668,1.22856,477.274,2863.7985391434636
94413-01-07-00,H_1743-322,1.63554,1.94018,10.8094,0.743658,1.23645,465.153,2861.977700261617
94413-01-07-01,H_1743-322,1.63554,1.89257,10.6366,0.667171,1.25643,441.894,2863.699813548788
94413-01-07-02,H_1743-322,1.63554,2.26103,71.8260,1.26310,1.15972,539.685,2802.3158253751703
95105-01-11-00,SWIFT_J1753.5-0127,1.63554,1.86166,10.0000,0.610357,1.27790,414.416,2860.668543497092
95108-01-02-00,MAXI_J1659-152,1.63554,1.92706,10.7091,0.720408,1.24208,457.248,2850.033028768984
95108-01-03-00,MAXI_J1659-152,1.63554,2.12775,1000.00,0.816850,1.31326,336.046,2812.4045213748923
95108-01-04-00,MAXI_J1659-152,1.63554,2.22607,28.1914,1.22524,1.16297,483.509,3036.3524892440073
95108-01-05-00,MAXI_J1659-152,1.63554,2.21349,25.3184,1.20102,1.16679,479.179,3033.337728443518
95108-01-06-00,MAXI_J1659-152,1.63554,1.93308,10.8527,0.724747,1.24265,453.597,2838.310794272427
95108-01-07-00,MAXI_J1659-152,1.63554,1.84956,10.0000,0.588678,1.28587,403.286,2843.117902063744
95108-01-08-00,MAXI_J1659-152,1.63554,1.93148,10.7935,0.723064,1.24158,454.827,2834.856524917753
95108-01-09-00,MAXI_J1659-152,1.63554,1.95439,10.9517,0.761790,1.23100,467.668,2827.8531914893615
95108-01-10-00,MAXI_J1659-152,1.63554,1.95260,10.7589,0.763784,1.22805,473.115,2821.523110518015
95108-01-11-00,MAXI_J1659-152,1.63554,2.26698,79.7641,1.26934,1.15769,537.383,2768.5782592906426
95108-01-12-00,MAXI_J1659-152,1.63554,1.95009,10.8423,0.756239,1.23110,467.965,2814.07718323469
95108-01-13-00,MAXI_J1659-152,1.63554,1.91698,10.6826,0.699138,1.24723,447.571,2815.2603350608656
95108-01-14-00,MAXI_J1659-152,1.63554,1.87088,10.6366,0.625926,1.26901,422.226,2817.8409500901985
95108-01-15-00,MAXI_J1659-152,1.63554,2.01182,11.8951,0.816226,1.24954,381.766,3066.878675147006
95108-01-16-00,MAXI_J1659-152,1.63554,2.00351,39.6104,0.638361,1.36484,296.007,2775.836726140582
95108-01-17-00,MAXI_J1659-152,1.63554,2.14462,1000.00,0.836184,1.30793,336.467,2763.068466961405
95108-01-18-01,MAXI_J1659-152,1.63554,2.01085,11.3059,0.867222,1.20154,506.211,2783.2043638965065
95108-01-20-00,MAXI_J1659-152,1.63554,1.86451,10.0000,0.609807,1.27626,412.033,2796.03242117787
95108-01-21-00,MAXI_J1659-152,1.63554,2.24363,1000.00,0.916788,1.32712,297.844,2762.00284934109
95108-01-22-00,MAXI_J1659-152,1.63554,1.92448,15.4307,0.564958,1.37603,291.581,2760.091517592702
95108-01-23-00,MAXI_J1659-152,1.63554,1.89287,10.0000,0.655867,1.25970,430.600,2783.9948575481735
95108-01-24-00,MAXI_J1659-152,1.63554,1.88861,10.6366,0.651432,1.25942,431.432,2784.8690574495695
95108-01-25-00,MAXI_J1659-152,1.63554,1.88695,10.6366,0.647562,1.26115,428.781,2781.8622719246614
95108-01-26-00,MAXI_J1659-152,1.63554,1.95363,10.9706,0.753762,1.23154,462.646,2774.3236814284037
95108-01-27-00,MAXI_J1659-152,1.63554,2.08968,11.9991,0.965319,1.20579,431.438,2988.553510725589
95108-01-28-00,MAXI_J1659-152,1.63554,1.86542,10.0000,0.607787,1.27522,410.654,2779.9154871914843
95108-01-30-00,MAXI_J1659-152,1.63554,2.08064,11.7528,0.947183,1.20933,426.643,2987.8603945371774
95118-01-01-00,MAXI_J1659-152,1.63554,2.26432,98.1669,1.24613,1.15742,535.194,2716.5582411182295
95118-01-01-01,MAXI_J1659-152,1.63554,2.27067,105.589,1.25857,1.15567,536.222,2714.021562245728
95118-01-02-00,MAXI_J1659-152,1.63554,1.94691,10.8983,0.739440,1.23356,458.165,2766.162858137107
95118-01-07-00,MAXI_J1659-152,1.63554,1.86025,10.0000,0.597939,1.27710,407.149,2771.85380252344
95118-01-09-00,MAXI_J1659-152,1.63554,2.26386,80.7088,1.24370,1.15729,532.840,2709.937333949405
95118-01-10-00,MAXI_J1659-152,1.63554,1.91823,10.0000,0.694488,1.24386,446.527,2755.9406340057635
95118-01-12-00,MAXI_J1659-152,1.63554,2.26172,63.3721,1.24518,1.15748,530.240,2702.602381226274
95118-01-16-01,MAXI_J1659-152,1.63554,1.92454,10.7603,0.700623,1.24400,444.543,2750.4026518195387
95118-01-17-00,MAXI_J1659-152,1.63554,1.94632,10.6839,0.742279,1.22930,464.192,2744.314068049032
95118-01-17-01,MAXI_J1659-152,1.63554,2.01562,939.616,0.628383,1.37404,282.608,2722.876700583057
95118-01-18-00,MAXI_J1659-152,1.63554,1.87116,10.0000,0.613056,1.27102,412.651,2746.0453508271535
95118-01-19-00,MAXI_J1659-152,1.63554,2.17184,1000.00,1.01183,1.20270,468.776,2736.009336217693
95118-01-20-00,MAXI_J1659-152,1.63554,1.96187,10.9471,0.763295,1.22479,467.254,2733.800420406772
95118-01-21-00,MAXI_J1659-152,1.63554,1.88886,10.6366,0.644430,1.25788,427.880,2739.6484862229277
95358-01-02-00,MAXI_J1659-152,1.63554,1.88278,10.6366,0.634350,1.26011,423.669,2752.144675794953
95358-01-02-01,MAXI_J1659-152,1.63554,1.95522,10.9810,0.746523,1.23001,456.821,2742.0285149632978
95358-01-02-02,MAXI_J1659-152,1.63554,1.95965,10.9672,0.755854,1.22653,461.669,2736.7561704045984
95358-01-03-00,MAXI_J1659-152,1.63554,1.93838,10.8736,0.716891,1.23822,445.784,2741.0100101225958
95358-01-03-01,MAXI_J1659-152,1.63554,2.12000,1000.00,0.820248,1.28663,357.753,2699.5717813447077
95360-01-01-00,XTE_J1752-223,1.63554,1.94142,10.7703,0.725551,1.23330,452.883,2733.4460064971436
95360-01-01-02,XTE_J1752-223,1.63554,1.95047,10.8716,0.738973,1.22944,457.105,2732.3736724427054
95360-01-11-00,XTE_J1752-223,1.63554,2.14925,1000.00,0.816826,1.31062,323.073,2703.827122615196
95360-14-01-00,H_1743-322,1.63554,1.91389,10.7031,0.675695,1.24802,433.065,2737.3471773744573
95360-14-02-00,H_1743-322,1.63554,1.93740,10.7674,0.715692,1.23473,449.027,2735.510056672964
95360-14-02-01,H_1743-322,1.63554,1.94623,10.6366,0.735237,1.22697,460.093,2728.4102251303093
95360-14-02-02,H_1743-322,1.63554,2.25919,61.9801,1.22373,1.15718,521.006,2679.425567238517
95360-14-02-03,H_1743-322,1.63554,2.04146,11.7321,0.854681,1.22814,394.770,2949.1660223130452
95360-14-03-00,H_1743-322,1.63554,2.26342,70.5345,1.22859,1.15642,520.687,2675.807794069011
95360-14-03-01,H_1743-322,1.63554,1.95771,10.9812,0.745567,1.22740,455.666,2717.895808119705
95360-14-04-00,H_1743-322,1.63554,1.89619,10.0000,0.645919,1.25556,422.903,2719.4476776106294
95360-14-23-01,H_1743-322,1.63554,1.95524,10.8915,0.743083,1.22676,456.903,2710.867397260274
95360-14-24-00,H_1743-322,1.63554,2.26837,109.343,1.23196,1.15488,523.586,2661.0617412227934
95368-01-01-00,H1743-322,1.63554,1.93512,10.8165,0.706393,1.23765,442.014,2712.189444383801
95405-01-01-01,H_1743-322,1.63554,1.87948,10.6366,0.621015,1.26205,414.852,2714.6421178777646
95405-01-02-00,H_1743-322,1.63554,1.93066,10.6624,0.703315,1.23585,445.636,2704.3307600304447
95405-01-02-02,H_1743-322,1.63554,1.93721,10.7580,0.711773,1.23437,446.460,2700.836679327184
95405-01-02-04,H_1743-322,1.63554,2.07895,11.8322,0.921792,1.20875,414.947,2901.6191920285933
95405-01-02-05,H_1743-322,1.63554,1.93524,10.7775,0.706689,1.23623,443.366,2695.1351205275105
95405-01-02-06,H_1743-322,1.63554,1.87032,10.0000,0.601140,1.27039,403.647,2697.321717553134
95405-01-03-00,H_1743-322,1.63554,1.94310,10.7069,0.722265,1.23014,451.425,2686.4178421449337
95405-01-03-01,H_1743-322,1.63554,1.93558,10.7378,0.707428,1.23470,444.836,2688.7694787748524
95405-01-03-02,H_1743-322,1.63554,1.85678,10.0000,0.578277,1.27899,392.874,2693.532124852515
95405-01-03-04,H_1743-322,1.63554,1.91026,10.0000,0.665614,1.24684,430.015,2684.543946044321
95405-01-04-01,H_1743-322,1.63554,1.93300,10.0000,0.705085,1.23362,446.098,2680.013890372903
95409-01-13-01,GX_339-4,1.63554,1.95122,10.9121,0.729407,1.22939,449.188,2676.874266823078
95409-01-13-02,GX_339-4,1.63554,1.88686,10.6366,0.628590,1.25842,415.711,2682.1367748802554
95409-01-13-03,GX_339-4,1.63554,1.87737,10.6366,0.614747,1.26255,411.083,2679.958567937958
95409-01-13-04,GX_339-4,1.63554,2.26139,85.9304,1.20747,1.15677,516.479,2621.958434948574
95409-01-13-05,GX_339-4,1.63554,1.95067,10.7891,0.733258,1.22610,453.627,2662.429886760504
95409-01-13-06,GX_339-4,1.63554,1.92501,16.4158,0.544311,1.37730,277.733,2640.968627865216
95409-01-14-01,GX_339-4,1.63554,1.89856,10.0000,0.648064,1.25112,423.966,2657.735898787559
95409-01-14-02,GX_339-4,1.63554,1.91863,10.6804,0.679136,1.24255,432.647,2655.640324108176
95409-01-14-03,GX_339-4,1.63554,2.25715,87.5690,1.20253,1.15766,513.411,2603.4426530826595
95409-01-14-04,GX_339-4,1.63554,1.86872,10.6366,0.601729,1.26718,404.512,2654.46325610651
95409-01-14-05,GX_339-4,1.63554,1.94990,10.8572,0.730727,1.22739,450.605,2638.754316208015
95409-01-14-06,GX_339-4,1.63554,2.27193,1000.00,0.907368,1.33299,273.003,2619.9138381201046
95409-01-14-07,GX_339-4,1.63554,2.26038,73.5320,1.21254,1.15613,513.366,2588.5815177733766
95409-01-15-00,GX_339-4,1.63554,2.26358,80.3153,1.21588,1.15586,513.469,2584.157735927583
95409-01-15-01,GX_339-4,1.63554,1.93264,10.6509,0.704062,1.23364,443.372,2624.6598816076435
95409-01-15-02,GX_339-4,1.63554,1.87493,10.0000,0.607879,1.26580,405.345,2625.352441173422
95409-01-15-06,GX_339-4,1.63554,2.25669,55.2621,1.20937,1.15683,509.323,2579.349456802897
95409-01-16-05,GX_339-4,1.63554,1.92101,10.6474,0.683035,1.23922,436.678,2616.559950428586
95409-01-17-00,GX_339-4,1.63554,1.89221,10.0000,0.637169,1.25333,420.265,2613.9856715802493
95409-01-17-02,GX_339-4,1.63554,2.25763,111.166,1.19630,1.15632,517.510,2560.8768906266077
95409-01-17-05,GX_339-4,1.63554,1.93353,10.7955,0.699651,1.23542,440.000,2604.914244633871
95409-01-17-06,GX_339-4,1.63554,2.25849,81.5364,1.20016,1.15588,516.441,2555.3088159917993
95409-01-18-00,GX_339-4,1.63554,2.25608,76.4144,1.19779,1.15605,515.899,2552.420699887445
95409-01-18-05,GX_339-4,1.63554,1.86700,10.0000,0.592619,1.26989,400.384,2599.2390971300174
95409-01-19-00,GX_339-4,1.63554,2.23325,31.1532,1.19056,1.15375,470.843,2750.0484249158935
96371-02-01-00,MAXI_J1543-564,1.63554,1.94569,10.6366,0.724675,1.22477,454.821,2582.9602116617484
96371-02-01-01,MAXI_J1543-564,1.63554,2.25923,81.3304,1.20155,1.15565,514.956,2539.121381411884
96371-02-01-02,MAXI_J1543-564,1.63554,1.93533,10.8135,0.699361,1.23444,439.723,2587.9803305282367
96371-02-02-00,MAXI_J1543-564,1.63554,1.93970,10.6725,0.710679,1.22889,447.789,2583.139358364538
96371-02-02-01,MAXI_J1543-564,1.63554,1.92598,10.6366,0.688426,1.23477,440.745,2582.796242044651
96409-01-04-04,GX_339-4,1.63554,2.25664,55.9176,1.19926,1.15557,505.099,2563.360895432086
96409-01-05-02,GX_339-4,1.63554,1.90860,10.0000,0.656866,1.24551,426.638,2579.313034725717
