obsid,source,nH,gamma,kT_e,nthcomp_norm,diskbb_Tin,diskbb_norm,red_pgstat
70108-03-01-00,GX_339-4,1.63554,2.07545,12.9941,1.23009,1.21941,594.011,4609.005562687205
70108-03-02-00,GX339-4,1.63554,2.09517,13.3899,1.27636,1.20905,611.238,4601.531133038448
70109-01-06-00,GX_339-4,1.63554,2.07530,12.9586,1.22617,1.21779,594.192,4615.277754291029
70109-01-07-00,GX_339-4,1.63554,2.17224,19.4688,1.46206,1.18080,656.852,4533.461085896789
70109-02-01-00,GX_339-4,1.63554,2.04270,12.7380,1.13121,1.23620,558.225,4671.546495112374
70109-04-01-00,GX_339-4,1.63554,2.06957,12.8085,1.20312,1.21956,587.566,4619.514119601329
70109-04-01-02,GX_339-4,1.63554,2.02781,12.9085,1.08187,1.24895,533.315,4682.335067294195
70110-01-10-00,GX_339-4,1.63554,2.12997,14.7512,1.35636,1.19256,634.517,4521.857658840913
70110-01-11-00,GX_339-4,1.63554,2.08538,13.0481,1.24191,1.21148,600.662,4544.553615146075
70110-01-14-00,GX_339-4,1.63554,2.05297,12.6806,1.15643,1.22834,570.475,4564.649898580122
70110-01-15-00,GX_339-4,1.63554,2.01886,13.9378,1.01635,1.27528,481.208,4704.176010325079
70110-01-47-00,GX_339-4,1.63554,2.04357,12.6680,1.12901,1.23398,559.907,4541.069136990696
70110-01-89-00,GX_339-4,1.63554,2.12577,14.4439,1.34150,1.19347,631.860,4429.911476194274
70110-01-94-00,GX_339-4,1.63554,2.04613,12.6599,1.13389,1.23224,561.944,4505.4479860450365
70110-01-95-00,GX_339-4,1.63554,2.05518,12.6661,1.15763,1.22655,571.754,4474.670030749822
70124-02-01-00,4U1543-47,1.63554,2.13953,15.2459,1.36859,1.18784,638.228,4405.005096040768
70124-02-02-00,4U1543-47,1.63554,2.07799,12.8410,1.21161,1.21410,591.092,4447.752222048963
70124-02-03-00,4U1543-47,1.63554,2.06054,12.6537,1.16555,1.22312,574.567,4453.597735907575
70128-01-01-00,4U1543-47,1.63554,2.13061,14.9094,1.32061,1.19212,619.192,4517.59793337446
70128-01-01-01,4U1543-47,1.63554,2.04750,12.5577,1.11104,1.23023,551.477,4614.2856047242885
70128-02-02-00,GX_339-4,1.63554,2.12912,14.5453,1.30272,1.19174,611.980,4603.1411136537
70133-01-01-00,4U1543-47,1.63554,2.08117,12.7941,1.18713,1.20867,588.647,4600.504514073287
70133-01-06-00,4U1543-47,1.63554,2.02950,12.7032,1.04985,1.24004,533.135,4652.383036522789
70133-01-08-00,4U1543-47,1.63554,2.11624,13.6835,1.27409,1.19055,624.897,4511.725587330181
70133-01-11-00,4U1543-47,1.63554,2.17242,18.7779,1.40408,1.17142,658.296,4456.177392862476
70133-01-15-00,4U1543-47,1.63554,2.03265,12.7917,1.05492,1.23617,541.993,4576.852071884747
70133-01-16-00,4U1543-47,1.63554,2.02973,12.8532,1.04452,1.23874,537.221,4565.483823312158
70133-01-30-00,4U1543-47,1.63554,2.17228,18.7722,1.40130,1.17040,661.576,4396.670585641855
70133-01-31-00,4U1543-47,1.63554,2.04568,12.6139,1.09159,1.22446,563.388,4499.966374269005
70133-01-31-01,4U1543-47,1.63554,2.05545,12.5831,1.11498,1.21793,573.972,4489.216841186737
70417-01-09-00,4U_1630-47,1.63554,2.03369,12.7167,1.05384,1.23623,537.361,4513.952832236128
80117-01-02-01,4U_1630-47,1.63554,2.11645,13.3500,1.26853,1.19096,618.454,4389.656686339427
80117-01-02-04,4U_1630-47,1.63554,2.15555,16.4117,1.35756,1.17836,638.440,4349.304690297172
80117-01-04-00,4U_1630-47,1.63554,2.05582,12.5380,1.11371,1.22255,560.067,4415.974636648618
80117-01-05-00,4U_1630-47,1.63554,2.03447,12.8003,1.05172,1.24358,518.333,4441.911816828525
80117-01-06-01,4U_1630-47,1.63554,2.15418,15.3262,1.36562,1.17984,629.741,4285.2341325811
80117-01-07-00,4U_1630-47,1.63554,2.07716,12.6135,1.17482,1.21432,567.418,4336.437442986457
80117-01-07-01,4U_1630-47,1.63554,2.07173,12.5408,1.16127,1.21808,560.010,4320.208769724899
80117-01-07-02,4U_1630-47,1.63554,2.05425,12.5693,1.11327,1.23263,531.848,4323.609586662035
80117-01-08-00,4U_1630-47,1.63554,2.17343,17.2877,1.41238,1.17871,620.839,4202.694594220932
80117-01-08-01,4U_1630-47,1.63554,2.13825,13.9425,1.33198,1.19108,600.051,4196.486690969117
80117-01-10-00,4U_1630-47,1.63554,2.16345,14.9772,1.39950,1.18127,614.926,4156.9812482890775
80117-01-11-02,4U_1630-47,1.63554,2.04533,12.8329,1.08034,1.24773,501.150,4270.30102840019
80117-01-12-01,4U_1630-47,1.63554,2.28466,45.5494,1.65336,1.15500,697.084,3742.452216348109
80117-01-16-00,4U_1630-47,1.63554,2.12894,13.4823,1.30906,1.19777,584.722,4124.049915682968
80117-01-17-00,4U_1630-47,1.63554,2.05552,12.6397,1.11271,1.23890,515.854,4187.265037593985
80117-01-21-01,4U_1630-47,1.63554,2.06361,12.5473,1.13581,1.23235,526.374,4164.634195229505
80117-01-22-00,4U_1630-47,1.63554,2.13276,13.8643,1.31033,1.19772,581.241,4100.889080994813
80135-02-02-00,XTE_J1746-319,1.63554,2.26507,33.1944,1.62643,1.15560,644.233,4022.871136408763
80135-02-02-000,XTE_J1746-319,1.63554,2.04365,12.9864,1.05728,1.25429,488.255,4181.741765480896
80135-02-02-01,XTE_J1746-319,1.63554,2.09079,12.6569,1.19698,1.21763,550.968,4076.656612681136
80137-01-20-00,XTE_J1746-319,1.63554,2.07671,12.5582,1.15464,1.22536,535.731,4114.762464108588
