e,de,rate,rate_err,total,model0,model1,x,y,xerr,yerr
0.218434498,0.00799642038,0.0237818547,0.0239951126,0.000795343542,0.00039761333,0.000397730182,0.2184345,0.023781854379536168,0.007996420000000004,0.023995113543234654
0.235035047,0.00860412512,-4.16359762e-06,0.000215157968,0.000795027299,0.000397455296,0.000397572003,0.235035045,-4.163597719680193e-06,0.00860412499999999,0.00021515797493331697
0.251306713,0.00766754523,0.0119540598,0.0121673197,0.000794695457,0.000397289463,0.000397406024,0.251306715,0.011954060128511334,0.007667545000000012,0.012167319638085617
0.265454352,0.0064800852,0.00223797071,0.00245123031,0.000794389227,0.000397136377,0.000397252821,0.265454345,0.002237970712844882,0.0064800849999999965,0.00245123038761086
0.280492455,0.00855802,0.000801692135,0.00101495173,0.00079404487,0.000396964286,0.000397080585,0.28049245,0.0008016921471147387,0.00855802,0.001014951736928303
0.298147142,0.00909668487,0.00222395803,0.00243721716,0.000793617277,0.000396750576,0.000396866672,0.298147155,0.0022239580168091706,0.009096684999999993,0.0024372172644231815
0.31493172,0.00768788997,0.0228376146,0.0230508745,0.000793187413,0.000396535761,0.000396651682,0.31493172999999997,0.02283761379699072,0.007687890000000003,0.023050873954593706
0.330692232,0.00807262491,0.000474835513,0.000688095111,0.000792762439,0.000396323361,0.000396439107,0.330692245,0.0004748355216572067,0.008072625,0.0006880951225725584
0.345083356,0.00631849514,0.0106066968,0.0108199557,0.000792357139,0.000396120769,0.000396236341,0.34508336500000003,0.010606696388156247,0.006318495000000007,0.010819955755508174
0.357956052,0.00655419985,0.00903146155,0.00924472138,0.000791979954,0.000395932264,0.00039604769,0.35795606,0.009031461950740031,0.006554199999999982,0.00924472182036145
0.37363106,0.00912081543,0.00839820784,0.00861146767,0.000791502069,0.000395693438,0.000395808631,0.373631075,0.008398208092841973,0.009120815000000004,0.008611467936054723
0.38989082,0.00713892514,0.0137196518,0.0139329107,0.000790986349,0.000395435694,0.000395550655,0.389890815,0.01371965169398196,0.007138925000000018,0.01393291114117668
0.404434979,0.00740522984,0.00169514643,0.00190840592,0.000790506601,0.000395195908,0.000395310693,0.40443497,0.0016951464784032344,0.007405229999999985,0.0019084058608569046
0.41952166,0.00768146478,0.0201275703,0.0203408282,0.000789991056,0.000394938252,0.000395052775,0.419521665,0.0201275699895523,0.007681464999999998,0.020340828554303646
0.435171127,0.00796801038,0.000709428394,0.000922687876,0.000789437036,0.000394661358,0.000394775678,0.43517114,0.0007094283764353565,0.007968009999999998,0.0009226878943463657
0.451404393,0.00826524477,-0.000108374748,0.000215157837,0.000788841804,0.000394363888,0.000394477916,0.45140439499999996,-0.00010837474557658574,0.008265245000000004,0.00021515784007521862
0.468243212,0.00857356004,0.00694041746,0.00715367729,0.000788202335,0.000394044269,0.000394158065,0.46824319999999997,0.006940417679841717,0.008573560000000008,0.007153677233488299
0.485710144,0.00889337994,0.00517960778,0.00539286714,0.000787515426,0.00039370099,0.000393814465,0.48571014,0.005179607598307088,0.008893380000000006,0.005392867169520456
0.500715971,0.00611247495,0.00542651117,0.00563977053,0.000786906865,0.000393396796,0.000393510039,0.500715995,0.005426511135805429,0.006112474999999978,0.005639770474496069
0.513092041,0.00626355503,0.00474223448,0.00495549338,0.000786391203,0.000393139111,0.000393252121,0.513092025,0.004742234349800206,0.006263555000000032,0.004955493484042448
0.529042363,0.00968679506,0.00763698947,0.00785024837,0.000785708486,0.000392797898,0.000392910588,0.529042375,0.007636989303091964,0.00968679499999997,0.00785024840084066
0.548777342,0.0100481454,0.0106193367,0.0108325966,0.00078483735,0.000392362504,0.000392474845,0.5487773149999999,0.010619337163242325,0.010048145000000008,0.010832596110925543
0.565731585,0.00690614991,8.27449039e-05,0.000296004408,0.000784065865,0.000391976937,0.000392088958,0.56573161,8.274490255744613e-05,0.00690615,0.0002960043986221297
0.579714596,0.00707684504,0.000672139169,0.000885398709,0.000783412543,0.000391650392,0.000391762122,0.5797146049999999,0.0006721391451223181,0.007076844999999998,0.0008853987331072079
0.594043195,0.00725176511,5.02743887e-06,0.000218286877,0.000782727671,0.000391308102,0.00039141954,0.594043215,5.027438928771613e-06,0.007251765000000021,0.000218286883666741
0.608725965,0.00743100001,0.00515323784,0.00536649767,0.000782009796,0.000390949339,0.000391060457,0.60872598,0.005153237859162189,0.007430999999999965,0.0053664975378325715
0.623771667,0.00761466986,0.0129932696,0.0132065294,0.000781257404,0.000390573317,0.000390684116,0.6237716499999999,0.012993269723822816,0.00761466999999999,0.013206529018321035
0.639189184,0.0078028799,0.00974423531,0.00995749421,0.000780468981,0.000390179252,0.00039028973,0.6391891999999999,0.009744235747830468,0.007802880000000012,0.009957494613049027
0.654987812,0.00799573958,0.0120587554,0.0122720143,0.000779642724,0.000389766297,0.000389876426,0.65498782,0.01205875494609373,0.007995740000000029,0.012272014046893601
0.67117691,0.00819336995,0.000809206977,0.00102246657,0.000778777059,0.00038933364,0.000389443419,0.67117693,0.0008092069865836343,0.008193369999999978,0.0010224665366632584
0.687766194,0.00839588512,0.0100775715,0.0102908304,0.000777870126,0.000388880377,0.000388989749,0.687766185,0.010077571576417267,0.008395884999999992,0.01029083042328436
0.704765499,0.00860339962,0.00115070096,0.00136396044,0.00077692006,0.000388405548,0.000388514512,0.70476547,0.0011507009761569213,0.008603400000000039,0.0013639604321505731
0.722184896,0.00881604478,0.00360776926,0.00382102863,0.000775924942,0.000387908192,0.000388016779,0.722184915,0.003607769211688156,0.008816044999999995,0.0038210285371029187
