full_ids,mjd,net_source_count_rate,source_percent,source_exposure_time,tin_before_error,diskbb_norm_before_error,gamma_before_error,nthcomp_norm_before_error,fit_stat,reduced_fit_stat,tin_after_error,diskbb_norm_after_error,gamma_after_error,nthcomp_norm_after_error,hardness_ratio,counts_ratio,source_counts,net_source_counts,bg_net_count_rate,pds_exposure
1130360227_0,58322.0135995,12.77,97.1,543.675667200238,0.201031,59201.6,1.77697,0.0568622,192.6,1.035483870967742,0.2008,60195.0,1.7775,0.056989,0.4885906698272189,58.1616704333264,7498,7498,0.2412685023045782,
1130360199_0,58287.3230208,9.017,93.2,208.919723097002,0.2,52983.7,1.66328,0.0345495,153.85,1.0465986394557822,0.2,48432.0,1.6586,0.034267,0.5002133798245745,25.89923997228217,2095,2095,0.4027341848467643,
1130360178_8,58252.8227083,1.409,73.8,517.831339197175,0.216569,5004.37,2.05877,0.00890097,120.77,1.0501739130434782,0.21741,4937.0,2.058,0.0088849,0.3932720250740775,6.79362339795761,967,967,0.3223204659813977,
1130360239_0,58339.2249653,1.008,67.3,325.890790003352,0.2,7285.99,1.99289,0.00611387,81.03,1.0523376623376623,0.2,7134.3,1.9709,0.0059372,0.3929235795968158,5.396974072576685,482,482,0.3363729364025689,
1130360220_4,58314.5435995,0.6585,31.0,74.9531325011048,0.216596,0.11757,1.66939,0.00356357,28.51,1.055925925925926,0.2365,9.792,1.416,0.0020516,0.5873837948839272,3.0048267937161506,134,134,0.8917398043429416,
1130360275_0,58397.771088,2.45,87.4,846.292267818004,0.2,10074.0,1.75392,0.0108492,165.25,1.0592948717948718,0.2,9096.0,1.7499,0.010768,0.5163031859844404,14.261544521370649,2431,2431,0.2166059979181959,
1130360283_2,58502.8292245,1.992,81.7,1149.44907022174,0.205999,4416.82,1.91247,0.0114232,174.95,1.0603030303030303,0.206,4416.9,1.9125,0.011423,0.4533376933616893,10.338689939291712,2898,2898,0.2699744664234653,
1130360178_6,58252.5650694,2.966,85.2,537.825688003621,0.308708,1125.03,1.49839,0.00779257,160.6,1.0635761589403974,0.30871,1125.0,1.4984,0.0077926,0.5069409015287463,11.64317838901353,1878,1878,0.328082227644544,
1130360221_0,58315.5812153,1.838,76.0,926.665074912744,0.30568,586.299,1.56213,0.00543772,181.98,1.0642105263157895,0.31682,504.51,1.5181,0.0050553,0.4954854089875175,7.512152067429653,2142,2142,0.3549540517432262,
1130360199_2,58287.8375694,15.57,94.6,595.783473199117,0.2,112655.0,1.92351,0.0831431,203.64,1.0661780104712042,0.2,94178.0,1.9167,0.081975,0.4472422808176159,31.49329206271905,10181,10181,0.5603994135513557,
