obsid,object,instrument,resp_file,obs_date,obs_time,time_start,source_percent,spectral_file,bg_file,background_count_rate,bg_source_ratio,exposure_time,net_source_count
30188-06-04-00,XTE_J1550-564,PCA,xp30188060400.rsp,11/09/98,06:30:24,148112973.378431,99.01756461909912,xp30188060400_s2.pha,xp30188060400_b2.pha,112.40407274204924,101.78786507902517,3135.9999999996,35175139.82788098
30188-06-05-00,XTE_J1550-564,PCA,xp30188060500.rsp,12/09/98,08:17:52,148205821.378431,99.12512897757722,xp30188060500_s2.pha,xp30188060500_b2.pha,137.9209334838411,114.30256282013876,2431.9999999997,37668942.28976734
30188-06-06-00,XTE_J1550-564,PCA,xp30188060600.rsp,13/09/98,06:36:00,148286106.378431,99.2202061647335,xp30188060600_s2.pha,xp30188060600_b2.pha,138.97369990023358,128.2390235437339,2783.99999999962,48842229.2194778
30188-06-07-00,XTE_J1550-564,PCA,xp30188060700.rsp,14/09/98,03:09:36,148360122.378431,99.20572453594812,xp30188060700_s2.pha,xp30188060700_b2.pha,86.6738413753578,125.90090532302666,3567.9999999996,38316635.73397276
30188-06-08-00,XTE_J1550-564,PCA,xp30188060800.rsp,14/09/98,06:35:44,148372502.378431,99.22588676360974,xp30188060800_s2.pha,xp30188060800_b2.pha,138.33808156621598,129.18006733266324,2767.99999999962,48699767.19022477
30188-06-09-00,XTE_J1550-564,PCA,xp30188060900.rsp,15/09/98,04:49:20,148452504.378431,99.28463409727814,xp30188060900_s2.pha,xp30188060900_b2.pha,85.58857934898288,139.78860275491962,3391.99999999964,40002299.53884828
30188-06-10-00,XTE_J1550-564,PCA,xp30188061000.rsp,15/09/98,23:55:28,148521272.378431,99.09891876786665,xp30188061000_s2.pha,xp30188061000_b2.pha,150.14874982982596,110.97778583540769,1072.0,17541005.540182427
30188-06-11-00,XTE_J1550-564,PCA,xp30188061100.rsp,16/09/98,08:17:20,148551382.378431,99.2860772514958,xp30188061100_s2.pha,xp30188061100_b2.pha,145.736210653656,140.07117746215215,2431.9999999997,48936631.53569035
30191-01-01-00,XTE_J1550-564,PCA,xp30191010100.rsp,18/09/98,03:18:40,148706259.378431,99.46889032953258,xp30191010100_s2.pha,xp30191010100_b2.pha,138.27706765539335,188.28502955329648,2015.9999999998,51930038.431606755
30191-01-02-00,XTE_J1550-564,PCA,xp30191010200.rsp,19/09/98,23:59:28,148867110.378431,99.78174726207023,xp30191010200_s2.pha,xp30191010200_b2.pha,143.41667541829668,458.18440102307994,2943.99999999958,192609581.3075686
