Frequency,Norm,redchi,width
1.0471285480508996,0.0130075,5.8707843137254905,0.115184
1.0587608285836607,0.0134175,5.980686274509804,0.116463
1.070522329115862,0.0137194,6.0689215686274505,0.117757
1.0824144851190958,0.01387,6.139705882352941,0.119065
1.0944387480112365,0.0138375,6.213676470588235,0.120388
1.1065965853335857,0.013581,6.3196078431372555,0.121725
1.1188894809299823,0.0130821,6.475196078431373,0.123078
1.1313189351279025,0.0126242,6.675147058823529,0.124443
1.1438864649215728,0.0124541,6.898676470588235,0.125827
1.1565936041571172,0.0107966,7.051568627450981,0.127225
1.1694419037197599,0.00875427,7.171127450980393,0.128639
1.1824329317231081,0.00759059,7.276421568627452,0.130068
1.1955682737005384,0.00696028,7.356813725490196,0.131513
1.2088495327987077,0.00646381,7.417205882352941,0.132973
1.2222783299732152,0.0060771,7.46264705882353,0.134451
1.2358563041864368,0.00577834,7.4968627450980385,0.135944
1.2495851126075586,0.00554857,7.522647058823529,0.137454
1.2634664308148307,0.00563089,7.542794117647059,0.138979
1.2775019530000689,0.00619381,7.5673039215686275,0.140525
1.2916933921754286,0.00632859,7.586274509803921,0.142086
1.3060424803824748,0.0057375,7.587745098039216,0.143657
1.3205509689035746,0.00510939,7.595294117647059,0.145248
1.3352206284756383,0.004482,7.61078431372549,0.146849
1.3500532495062354,0.0044662,7.63921568627451,0.148489
1.3650506422921107,0.00330179,7.658333333333333,0.150155
1.3802146372401272,0.00287566,7.682549019607843,0.151799
1.3955470850906657,0.0024498,7.702598039215686,0.15351
1.4110498571435033,0.00239616,7.71921568627451,0.155215
1.4267248454862032,0.00217725,7.73014705882353,0.15694
1.4425739632250398,0.00202837,7.737892156862745,0.158683
1.4585991447184923,0.00193032,7.743235294117646,0.160446
1.474802345813327,0.00187348,7.746666666666666,0.162228
1.491185544083308,0.00184249,7.748578431372549,0.16403
1.5077507390705542,0.00184107,7.749117647058823,0.165853
1.5244999525295826,0.00186562,7.748333333333334,0.167695
1.5414352286740576,0.00190646,7.746225490196078,0.169557
1.5585586344262863,0.00197898,7.743039215686274,0.17144
1.5758722596694812,0.00208426,7.739362745098039,0.173331
1.593378217502827,0.00220047,7.736323529411765,0.175271
1.6110786444993823,0.00230173,7.736078431372549,0.177219
1.6289757009668435,0.00240894,7.7441176470588236,0.17185
1.6470715712112072,0.00220987,7.747941176470587,0.181178
1.6653684638033603,0.0020636,7.757696078431373,0.183183
1.6838686118486341,0.00194358,7.767107843137255,0.185217
1.70257427325935,0.00183945,7.774901960784313,0.187268
1.7214877310303935,0.00176013,7.780833333333333,0.18936
1.7406112935178513,0.00170565,7.785098039215686,0.191467
1.7599472947207409,0.0016639,7.7879901960784315,0.193585
1.779498094565872,0.00165417,7.790147058823529,0.195695
1.7992660791958721,0.00163913,7.791862745098039,0.197837
1.81925366126041,0.00167992,7.794460784313725,0.200118
1.839463280210657,0.00160897,7.798088235294117,0.202291
1.8598974025970172,0.00156409,7.804166666666666,0.204589
1.8805585223701655,0.00125909,7.81063725490196,0.206841
1.901449161185431,0.00128246,7.818137254901961,0.209156
1.9225718687105604,0.00114259,7.823676470588235,0.211469
1.9439292229369007,0.00104775,7.827843137254902,0.21383
1.9655238304940383,0.000982586,7.830588235294118,0.216204
1.9873583269679354,0.000945252,7.832156862745098,0.218583
2.0094353772225966,0.000934111,7.832843137254902,0.220964
2.031757675725313,0.000939214,7.832647058823529,0.223492
2.0543279468755165,0.000967754,7.831813725490196,0.225812
2.077148945337289,0.00101571,7.830539215686275,0.228357
2.100223456375563,0.00107746,7.829460784313726,0.230969
2.123554296196061,0.000962134,7.828627450980392,0.233563
2.147144312289006,0.00107009,7.829509803921569,0.236036
2.1709963837766555,0.00100345,7.830686274509804,0.238743
2.1951134217646913,0.000955142,7.832205882352941,0.241384
2.219498369697517,0.000918583,7.833431372549019,0.244006
2.244154203717499,0.000897927,7.834166666666667,0.246739
2.269083933028201,0.000895614,7.834411764705883,0.249563
2.2942906002616517,0.000908317,7.834166666666667,0.252248
2.3197772818496922,0.000935424,7.8335784313725485,0.255014
2.3455470883994516,0.000967076,7.832990196078431,0.257754
2.371603165072989,0.000986412,7.832990196078431,0.26082
2.397948691971156,0.000963784,7.833970588235295,0.263701
2.424586884521724,0.00097671,7.836127450980392,0.266675
2.45152099387182,0.000843281,7.838382352941176,0.269373
2.478754307284725,0.000818599,7.8409313725490195,0.272344
2.50629014854108,0.000848121,7.843872549019609,0.274054
2.5341318783445423,0.000760007,7.8459803921568625,0.273731
2.5622828947319634,0.000663902,7.848088235294117,0.280653
2.5907466334881044,0.000603125,7.85078431372549,0.284905
2.6195265685649725,0.000475056,7.853431372549019,0.288121
2.648626212505812,0.000406253,7.856029411764706,0.290699
2.678049116873801,0.000327982,7.858039215686274,0.29434
2.7077988726855153,0.000262357,7.859362745098039,0.297202
2.737879110849208,0.000213741,7.860245098039216,0.301061
2.7682935026079525,0.000181531,7.86093137254902,0.291692
2.7990457599877123,0.000159702,7.8612254901960785,0.296944
2.8301396362503914,0.000144372,7.861323529411765,0.311118
2.8615789263519074,9.31733e-05,7.861421568627451,0.314016
