Index,Frequency,Width,Norm
0,1.04713,9.42459E-02,7.58671E-04
1,1.05876,9.52895E-02,8.20446E-04
2,1.16944,0.128636,5.59507E-04
3,3.16072,0.347680,2.28020E-03
4,3.19584,0.351518,1.99948E-03
5,3.23134,0.355447,1.88672E-03
6,3.26723,0.359396,1.76309E-03
7,3.30353,0.363388,1.65460E-03
8,3.34023,0.367425,1.54012E-03
9,3.37733,0.371483,1.38420E-03
10,3.41485,0.375633,1.28337E-03
11,3.45278,0.379744,1.13456E-03
12,3.49114,0.384014,1.11045E-03
13,1.18243,0.130011,5.34099E-04
14,3.52992,0.388283,1.06876E-03
15,3.56914,0.392600,1.04881E-03
16,3.60878,0.396956,1.02325E-03
17,3.64887,0.401375,1.03923E-03
18,3.68941,0.405831,9.65152E-04
19,3.73039,0.410340,8.34426E-04
20,3.77183,0.414901,7.45016E-04
21,3.81373,0.419502,6.41790E-04
22,3.85610,0.424160,5.66181E-04
23,3.89893,0.428853,4.98429E-04
24,1.19557,0.131487,5.13261E-04
25,3.94225,0.433617,4.49952E-04
26,3.98604,0.438328,4.30809E-04
27,4.03032,0.443282,4.35647E-04
28,4.07509,0.448235,4.62325E-04
29,4.12036,0.453090,4.98718E-04
30,4.16613,0.458275,5.43537E-04
31,4.21241,0.463292,5.48135E-04
32,4.25921,0.468477,5.92449E-04
33,4.30652,0.473708,6.08966E-04
34,4.35436,0.478928,6.17223E-04
35,1.20885,0.132936,5.00657E-04
36,4.40273,0.484263,6.14420E-04
37,4.45164,0.489679,6.00285E-04
38,4.50110,0.491957,5.99354E-04
39,4.55110,0.500618,5.47694E-04
40,4.60165,0.506118,4.96379E-04
41,4.65277,0.511805,4.67423E-04
42,4.70446,0.517490,4.65924E-04
43,4.75672,0.523161,4.35195E-04
44,4.80956,0.528792,4.40922E-04
45,4.86299,0.534906,4.51847E-04
46,1.22228,0.134449,4.91933E-04
47,4.91701,0.540773,4.59643E-04
48,4.97163,0.546794,4.80237E-04
49,5.02686,0.552883,5.23394E-04
50,5.08270,0.558972,5.88414E-04
51,5.13917,0.565276,6.62911E-04
52,5.19625,0.571256,8.06186E-04
53,5.25398,0.577937,8.78128E-04
54,5.31234,0.581720,9.79382E-04
55,5.37136,0.590849,9.59055E-04
56,5.43103,0.597395,1.04532E-03
57,1.23586,0.135859,4.88140E-04
58,5.49136,0.604044,1.05620E-03
59,5.55236,0.610015,1.04920E-03
60,5.61404,0.549744,1.04473E-03
61,5.67640,0.511522,1.05623E-03
62,5.73946,0.517105,1.04440E-03
63,5.80322,0.522920,9.48196E-04
64,5.86769,0.545048,8.25729E-04
65,5.93287,0.578336,7.11003E-04
66,5.99878,0.569399,6.15000E-04
67,6.06542,0.546525,5.12606E-04
68,1.24959,0.137431,4.85946E-04
69,6.13279,0.552246,4.23866E-04
70,6.20092,0.558122,3.69942E-04
71,6.26981,0.564362,3.35779E-04
72,6.33946,0.570889,3.16307E-04
73,6.40988,0.577208,2.68780E-04
74,6.48109,0.583939,1.21017E-04
