Index,Frequency,Width,Norm
0,1.04713,0.104713,0.0
1,1.05876,0.105876,0.0
2,1.16944,0.116944,0.0
3,3.16072,0.347653,3.71230E-04
4,3.19584,0.351542,4.78453E-04
5,3.23134,0.355445,5.75682E-04
6,3.26723,0.359393,7.30865E-04
7,3.30353,0.363322,8.60886E-04
8,3.34023,0.367298,9.64528E-04
9,3.37733,0.371494,1.07002E-03
10,3.41485,0.375618,1.16313E-03
11,3.45278,0.379740,1.23930E-03
12,3.49114,0.383923,1.29579E-03
13,1.18243,0.118243,0.0
14,3.52992,0.388217,1.32829E-03
15,3.56914,0.392583,1.33340E-03
16,3.60878,0.396948,1.30916E-03
17,3.64887,0.401345,1.25857E-03
18,3.68941,0.405804,1.18844E-03
19,3.73039,0.410343,1.05448E-03
20,3.77183,0.414861,1.01549E-03
21,3.81373,0.419510,9.21967E-04
22,3.85610,0.424040,8.26613E-04
23,3.89893,0.428774,7.32201E-04
24,1.19557,0.119557,0.0
25,3.94225,0.433618,6.46146E-04
26,3.98604,0.438452,5.49143E-04
27,4.03032,0.443326,4.79811E-04
28,4.07509,0.448260,3.81940E-04
29,4.12036,0.453210,3.11447E-04
30,4.16613,0.458249,2.69246E-04
31,4.21241,0.463334,2.37174E-04
32,4.25921,0.468511,2.22785E-04
33,4.30652,0.473717,1.99848E-04
34,4.35436,0.478809,1.75127E-04
35,1.20885,0.120885,0.0
36,4.40273,0.484077,1.52224E-04
37,4.45164,0.489638,1.28628E-04
38,4.50110,0.494920,1.00590E-04
39,4.55110,0.500590,8.13012E-05
40,4.60165,0.506058,6.51789E-05
41,4.65277,0.511647,5.24910E-05
42,4.70446,0.517388,4.41106E-05
43,4.75672,0.523239,2.29950E-05
44,4.80956,0.528787,1.97002E-05
45,4.86299,0.534676,2.00731E-05
46,1.22228,0.122228,0.0
47,4.91701,0.540373,2.36255E-05
48,4.97163,0.546674,4.19424E-05
49,5.02686,0.552940,4.83045E-05
50,5.08270,0.558949,5.82606E-05
51,5.13917,0.564982,6.98376E-05
52,5.19625,0.571275,8.61799E-05
53,5.25398,0.562023,1.04540E-04
54,5.31234,0.584212,1.08326E-04
55,5.37136,0.590835,1.11822E-04
56,5.43103,0.597401,1.13668E-04
57,1.23586,0.123586,0.0
58,5.49136,0.603282,1.13840E-04
59,5.55236,0.609046,1.06464E-04
60,5.61404,0.617406,1.06340E-04
61,5.67640,0.624273,1.01392E-04
62,5.73946,0.630974,9.39203E-05
63,5.80322,0.637979,9.13670E-05
64,5.86769,0.645333,9.61632E-05
65,5.93287,0.652065,9.04731E-05
66,5.99878,0.659321,9.16350E-05
