Index,Frequency,Width,Norm
172,17.1340,1.71340,0.0
173,17.3244,1.73244,0.0
174,17.5168,1.75168,0.0
175,17.7114,1.77114,0.0
176,17.9082,1.79082,0.0
177,18.1071,1.81071,0.0
178,18.3083,1.83083,0.0
179,1.39555,0.153505,2.48382E-04
180,18.5116,1.85116,0.0
181,18.7173,1.87173,0.0
182,18.9252,1.89252,0.0
183,19.1354,1.91354,0.0
184,19.3480,1.93480,0.0
185,19.5629,1.95629,0.0
186,19.7803,1.97803,0.0
187,20.0000,2.00000,0.0
188,1.41105,0.155215,2.30733E-04
189,1.42672,0.155310,2.24296E-04
190,1.44257,0.158661,1.92703E-04
191,1.08241,0.119057,1.76157E-04
192,1.45860,0.159220,1.90666E-04
193,1.47480,0.162225,1.78048E-04
194,1.49119,0.164019,1.69061E-04
195,1.50775,0.165277,1.63075E-04
196,1.52450,0.167615,1.36387E-04
197,1.54144,0.168395,1.27931E-04
198,1.55856,0.171054,1.17401E-04
199,1.57587,0.172937,1.05484E-04
200,1.59338,0.171415,9.70517E-05
201,1.61108,0.145145,7.91269E-05
202,1.09444,0.120378,2.01462E-04
203,1.62898,0.147108,6.43343E-05
204,1.64707,0.148389,6.18515E-05
205,1.66537,0.149956,4.80650E-05
206,1.68387,0.151817,3.61108E-05
207,1.70257,0.153474,2.58225E-05
208,1.72149,0.163212,1.70236E-05
209,1.74061,0.161103,1.00182E-05
210,1.75995,0.166907,6.43849E-06
211,1.77950,0.166159,1.03233E-06
212,1.79927,0.179927,0.0
213,1.10660,0.121722,2.31705E-04
214,1.81925,0.181925,0.0
215,1.83946,0.183946,0.0
216,1.85990,0.185990,0.0
217,1.88056,0.188056,0.0
218,1.90145,0.190145,0.0
219,1.92257,0.192257,0.0
220,1.94393,0.194393,0.0
221,1.96552,0.196552,0.0
222,1.98736,0.198736,0.0
223,2.00944,0.200944,0.0
224,1.11889,0.122643,2.81125E-04
225,2.03176,0.203176,0.0
226,2.05433,0.205433,0.0
227,2.07715,0.207715,0.0
228,2.10022,0.210022,0.0
229,2.12355,0.212355,0.0
230,2.14714,0.214714,0.0
231,2.17100,0.217100,0.0
232,2.19511,0.219511,0.0
233,2.21950,0.221950,0.0
234,2.24415,0.224415,0.0
235,1.13132,0.124419,3.08463E-04
236,2.26908,0.226908,0.0
237,2.29429,0.229429,0.0
238,2.31978,0.231978,0.0
239,2.34555,0.234555,0.0
240,2.37160,0.237160,0.0
241,2.39795,0.239795,0.0
242,2.42459,0.242459,0.0
243,2.45152,0.245152,0.0
244,2.47875,0.247875,0.0
245,2.50629,0.250629,0.0
246,1.14389,0.121498,3.32685E-04
247,2.53413,0.253413,0.0
248,2.56228,0.256228,0.0
249,2.59075,0.259075,0.0
250,2.61953,0.261953,0.0
251,2.64863,0.264863,0.0
252,2.67805,0.267805,0.0
253,2.70780,0.270780,0.0
254,2.73788,0.273788,0.0
255,2.76829,0.276829,0.0
256,2.79905,0.279905,0.0
257,1.15659,0.126504,3.22788E-04
258,2.83014,0.283014,0.0
259,2.86158,0.286158,0.0
260,2.89337,0.289337,0.0
261,2.92551,0.292551,0.0
262,2.95801,0.295801,0.0
263,2.99087,0.299087,0.0
264,3.02409,0.302409,0.0
265,3.05769,0.305769,0.0
266,3.09165,0.309165,0.0
267,3.12600,0.312600,0.0
