Index,Frequency,Width,Norm
0,1.04713,0.115183,1.42301E-03
1,1.05876,0.116461,1.51370E-03
2,1.16944,0.128638,1.83337E-03
3,3.16072,0.347679,5.71785E-04
4,3.19584,0.351509,6.26036E-04
5,3.23134,0.355447,7.16585E-04
6,3.26723,0.359386,7.80843E-04
7,3.30353,0.363387,8.52276E-04
8,3.34023,0.367425,9.17389E-04
9,3.37733,0.371486,9.43135E-04
10,3.41485,0.375614,9.68355E-04
11,3.45278,0.379751,9.75169E-04
12,3.49114,0.383968,9.88151E-04
13,1.18243,0.130064,1.90796E-03
14,3.52992,0.388272,1.02172E-03
15,3.56914,0.392539,1.08117E-03
16,3.60878,0.396946,1.16172E-03
17,3.64887,0.401328,1.23845E-03
18,3.68941,0.405824,1.28186E-03
19,3.73039,0.410343,1.35111E-03
20,3.77183,0.414902,1.40484E-03
21,3.81373,0.419511,1.48012E-03
22,3.85610,0.424169,1.51102E-03
23,3.89893,0.428881,1.68866E-03
24,1.19557,0.131512,1.71727E-03
25,3.94225,0.433631,1.67023E-03
26,3.98604,0.438464,1.70294E-03
27,4.03032,0.443221,1.65188E-03
28,4.07509,0.448260,1.52479E-03
29,4.12036,0.453227,1.36322E-03
30,4.16613,0.458275,1.26028E-03
31,4.21241,0.463319,1.11628E-03
32,4.25921,0.468486,1.03734E-03
33,4.30652,0.473717,1.00582E-03
34,4.35436,0.478980,9.33787E-04
35,1.20885,0.132973,1.47460E-03
36,4.40273,0.484301,8.56668E-04
37,4.45164,0.489381,7.48366E-04
38,4.50110,0.495106,7.19379E-04
39,4.55110,0.500620,6.67715E-04
40,4.60165,0.505580,5.93720E-04
41,4.65277,0.510298,5.92129E-04
42,4.70446,0.517008,5.02086E-04
43,4.75672,0.523239,4.47881E-04
44,4.80956,0.528415,3.58611E-04
45,4.86299,0.534853,3.06065E-04
46,1.22228,0.134450,1.43823E-03
47,4.91701,0.540711,2.58489E-04
48,4.97163,0.546751,2.20396E-04
49,5.02686,0.552925,1.94061E-04
50,5.08270,0.558677,1.78918E-04
51,5.13917,0.565271,1.71882E-04
52,5.19625,0.571576,1.66165E-04
53,5.25398,0.577890,1.64253E-04
54,5.31234,0.584354,1.67997E-04
55,5.37136,0.590776,1.77695E-04
56,5.43103,0.597407,1.95948E-04
57,1.23586,0.135944,1.40891E-03
58,5.49136,0.603804,1.99224E-04
59,5.55236,0.597553,2.15417E-04
60,5.61404,0.614805,2.01131E-04
61,5.67640,0.555896,1.88601E-04
62,5.73946,0.517176,1.74352E-04
63,5.80322,0.525804,1.65692E-04
64,5.86769,0.528442,1.51310E-04
65,5.93287,0.534008,1.33966E-04
66,5.99878,0.540028,9.74401E-05
67,6.06542,0.554210,5.79298E-05
68,1.24959,0.137454,1.38734E-03
69,6.13279,0.573447,3.03688E-05
70,6.20092,0.620092,0.0
71,6.26981,0.626981,0.0
72,6.33946,0.633946,0.0
73,6.40988,0.640988,0.0
74,6.48109,0.648109,0.0
75,6.55308,0.655308,0.0
76,6.62588,0.662588,0.0
77,6.69948,0.669948,0.0
78,6.77391,0.677391,0.0
79,1.26347,0.138981,1.37588E-03
80,6.84916,0.737249,2.42947E-06
81,6.92524,0.650058,2.10643E-05
82,7.00217,0.633996,3.93824E-05
83,7.07996,0.638149,5.78698E-05
84,7.15861,0.645782,7.40242E-05
85,7.23813,0.662370,8.12771E-05
86,7.31854,0.659822,9.17602E-05
87,7.39984,0.667354,9.10314E-05
88,7.48204,0.686128,9.59541E-05
89,7.56516,0.732101,9.98911E-05
90,1.27750,0.140525,1.37472E-03
91,7.64919,0.712605,9.47697E-05
92,7.73417,0.743192,8.97074E-05
93,7.82008,0.810336,8.47798E-05
94,7.90696,0.837697,7.81224E-05
95,7.99479,0.754707,6.58976E-05
96,8.08360,0.739673,5.97199E-05
97,8.17340,0.740868,5.15879E-05
98,8.26420,0.894046,4.86308E-05
99,8.35600,0.900504,4.78510E-05
100,8.44883,0.926855,4.12935E-05
101,1.29169,0.142085,1.38361E-03
102,8.54268,0.925377,4.22496E-05
103,8.63758,0.787834,3.39669E-05
104,8.73354,0.789767,3.60917E-05
105,8.83055,0.797647,3.18055E-05
106,8.92865,0.806251,2.49114E-05
107,9.02784,0.825299,1.50449E-05
108,9.12812,0.845450,8.10445E-06
109,9.22953,0.922953,0.0
110,9.33206,0.933206,0.0
111,9.43572,0.943572,0.0
112,1.07052,0.117754,1.60432E-03
113,1.30604,0.143660,1.39385E-03
114,9.54054,0.954054,0.0
115,9.64653,0.964653,0.0
116,9.75369,0.975369,0.0
117,9.86204,0.986204,0.0
118,9.97159,0.997159,0.0
119,10.0824,1.00824,0.0
120,10.1944,1.01944,0.0
121,10.3076,1.03076,0.0
122,10.4221,1.04221,0.0
123,10.5379,1.05379,0.0
124,1.32055,0.145261,1.42766E-03
125,10.6550,1.06550,0.0
126,10.7733,1.07733,0.0
127,10.8930,1.08930,0.0
128,11.0140,1.10140,0.0
129,11.1364,1.11364,0.0
130,11.2601,1.12601,0.0
131,11.3852,1.13852,0.0
132,11.5116,1.15116,0.0
133,11.6395,1.16395,0.0
134,11.7688,1.17688,0.0
135,1.33522,0.146874,1.42944E-03
136,11.8995,1.18995,0.0
137,12.0317,1.20317,0.0
138,12.1654,1.21654,0.0
139,12.3005,1.23005,0.0
140,12.4372,1.24372,0.0
141,12.5753,1.25753,0.0
142,12.7150,1.27150,0.0
143,12.8563,1.28563,0.0
144,12.9991,1.29991,0.0
145,13.1435,1.31435,0.0
146,1.35005,0.148506,1.44386E-03
147,13.2895,1.32895,0.0
148,13.4371,1.34371,0.0
149,13.5864,1.35864,0.0
150,13.7373,1.37373,0.0
151,13.8899,1.38899,0.0
152,14.0442,1.40442,0.0
153,14.2003,1.42003,0.0
154,14.3580,1.43580,0.0
155,14.5175,1.45175,0.0
156,14.6788,1.46788,0.0
157,1.36505,0.150156,1.40991E-03
158,14.8418,1.48418,0.0
159,15.0067,1.50067,0.0
160,15.1734,1.51734,0.0
161,15.3420,1.53420,0.0
162,15.5124,1.55124,0.0
163,15.6847,1.56847,0.0
164,15.8590,1.58590,0.0
165,16.0351,1.60351,0.0
166,16.2133,1.62133,0.0
167,16.3934,1.63934,0.0
168,1.38021,0.151824,1.32636E-03
169,16.5755,1.65755,0.0
170,16.7596,1.67596,0.0
171,16.9458,1.69458,0.0
172,17.1340,1.71340,0.0
173,17.3244,1.73244,0.0
174,17.5168,1.75168,0.0
175,17.7114,1.77114,0.0
176,17.9082,1.79082,0.0
177,18.1071,1.81071,0.0
178,18.3083,1.83083,0.0
179,1.39555,0.153510,1.21040E-03
180,18.5116,1.85116,0.0
181,18.7173,1.87173,0.0
182,18.9252,1.89252,0.0
183,19.1354,1.91354,0.0
184,19.3480,1.93480,0.0
185,19.5629,1.95629,0.0
186,19.7803,1.97803,0.0
187,20.0000,2.00000,0.0
188,1.41105,0.155215,1.10339E-03
189,1.42672,0.156940,1.01807E-03
190,1.44257,0.158683,9.54900E-04
191,1.08241,0.119066,1.52300E-03
192,1.45860,0.160446,9.12122E-04
193,1.47480,0.162228,8.87796E-04
194,1.49119,0.164030,8.78510E-04
195,1.50775,0.165853,8.83836E-04
196,1.52450,0.167695,9.06405E-04
197,1.54144,0.169558,9.47664E-04
198,1.55856,0.171441,1.01044E-03
199,1.57587,0.173346,1.10147E-03
200,1.59338,0.175272,1.22150E-03
201,1.61108,0.177216,1.22831E-03
202,1.09444,0.120388,1.58846E-03
203,1.62898,0.179187,1.45941E-03
204,1.64707,0.181178,1.50092E-03
205,1.66537,0.183191,1.51544E-03
206,1.68387,0.185226,1.51517E-03
207,1.70257,0.187280,1.50158E-03
208,1.72149,0.189363,1.51774E-03
209,1.74061,0.191467,1.55475E-03
210,1.75995,0.193594,1.61812E-03
211,1.77950,0.195745,1.72119E-03
212,1.79927,0.197919,1.88417E-03
213,1.10660,0.121723,1.73988E-03
214,1.81925,0.200118,2.12063E-03
215,1.83946,0.202341,2.45365E-03
216,1.85990,0.204589,2.74375E-03
217,1.88056,0.206847,3.29767E-03
218,1.90145,0.209158,3.83352E-03
219,1.92257,0.211458,4.23627E-03
220,1.94393,0.213753,4.53791E-03
221,1.96552,0.216207,4.66851E-03
222,1.98736,0.218589,4.94218E-03
223,2.00944,0.221025,5.02248E-03
224,1.11889,0.123072,1.69413E-03
225,2.03176,0.223432,5.01269E-03
226,2.05433,0.225929,4.91428E-03
227,2.07715,0.228485,4.71719E-03
228,2.10022,0.230976,4.46102E-03
229,2.12355,0.233586,4.17085E-03
230,2.14714,0.236160,3.91130E-03
231,2.17100,0.238790,3.62394E-03
232,2.19511,0.241452,3.28397E-03
233,2.21950,0.244137,2.91801E-03
234,2.24415,0.246847,2.56166E-03
235,1.13132,0.124443,1.65377E-03
236,2.26908,0.249595,2.21251E-03
237,2.29429,0.252370,1.95268E-03
238,2.31978,0.255161,1.67920E-03
239,2.34555,0.258010,1.43953E-03
240,2.37160,0.260876,1.24951E-03
241,2.39795,0.263774,1.07389E-03
242,2.42459,0.266704,9.33882E-04
243,2.45152,0.269652,8.34378E-04
244,2.47875,0.272645,7.76868E-04
245,2.50629,0.275686,7.47650E-04
246,1.14389,0.125827,1.68723E-03
247,2.53413,0.278752,7.39488E-04
248,2.56228,0.281786,7.47423E-04
249,2.59075,0.284961,7.62672E-04
250,2.61953,0.288132,7.73204E-04
251,2.64863,0.291322,7.58328E-04
252,2.67805,0.294540,7.12499E-04
253,2.70780,0.297858,6.88110E-04
254,2.73788,0.301166,6.45626E-04
255,2.76829,0.304507,6.11147E-04
256,2.79905,0.307895,5.83534E-04
257,1.15659,0.127215,1.75982E-03
258,2.83014,0.311255,5.30574E-04
259,2.86158,0.314774,5.06135E-04
260,2.89337,0.318269,4.67965E-04
261,2.92551,0.321796,4.18634E-04
262,2.95801,0.325380,3.76690E-04
263,2.99087,0.328965,3.62188E-04
264,3.02409,0.332540,3.64733E-04
265,3.05769,0.336328,3.87008E-04
266,3.09165,0.340078,4.36566E-04
267,3.12600,0.343859,5.05698E-04
