Index,Frequency,Width,Norm
0,1.04713,0.104713,0.0
1,1.05876,0.105876,0.0
2,1.16944,0.105250,1.67204E-04
3,3.16072,0.347663,5.39483E-04
4,3.19584,0.351461,4.86281E-04
5,3.23134,0.355447,4.49453E-04
6,3.26723,0.359361,4.30245E-04
7,3.30353,0.363358,4.25611E-04
8,3.34023,0.367409,4.34213E-04
9,3.37733,0.371483,4.42794E-04
10,3.41485,0.375605,4.39752E-04
11,3.45278,0.379796,4.26828E-04
12,3.49114,0.383925,4.17174E-04
13,1.18243,0.106420,1.67863E-04
14,3.52992,0.388264,4.21051E-04
15,3.56914,0.392593,4.39106E-04
16,3.60878,0.396926,4.60983E-04
17,3.64887,0.401296,4.76562E-04
18,3.68941,0.405826,4.87331E-04
19,3.73039,0.410332,5.08683E-04
20,3.77183,0.414784,5.54654E-04
21,3.81373,0.419477,6.29971E-04
22,3.85610,0.424091,7.25696E-04
23,3.89893,0.428883,8.40332E-04
24,1.19557,0.107601,1.69366E-04
25,3.94225,0.433584,9.16002E-04
26,3.98604,0.438462,1.05499E-03
27,4.03032,0.443335,1.16950E-03
28,4.07509,0.448260,1.28888E-03
29,4.12036,0.453240,1.40338E-03
30,4.16613,0.458274,1.49302E-03
31,4.21241,0.463365,1.56505E-03
32,4.25921,0.468419,1.58040E-03
33,4.30652,0.473646,1.66751E-03
34,4.35436,0.478965,1.76417E-03
35,1.20885,0.108816,1.70770E-04
36,4.40273,0.484272,1.99119E-03
37,4.45164,0.489585,2.09586E-03
38,4.50110,0.495007,2.06378E-03
39,4.55110,0.500582,1.98078E-03
40,4.60165,0.506182,1.76522E-03
41,4.65277,0.511805,1.52524E-03
42,4.70446,0.517490,1.39463E-03
43,4.75672,0.523024,1.24699E-03
44,4.80956,0.529052,1.20101E-03
45,4.86299,0.534929,1.11882E-03
46,1.22228,0.110006,1.74433E-04
47,4.91701,0.540871,1.05030E-03
48,4.97163,0.546879,1.00465E-03
49,5.02686,0.552955,9.78583E-04
50,5.08270,0.559097,9.58008E-04
51,5.13917,0.565308,9.27575E-04
52,5.19625,0.571536,8.49567E-04
53,5.25398,0.577937,8.83737E-04
54,5.31234,0.584353,7.35027E-04
55,5.37136,0.590767,6.63051E-04
56,5.43103,0.597354,5.91721E-04
57,1.23586,0.111280,1.79361E-04
58,5.49136,0.604029,5.52742E-04
59,5.55236,0.610632,4.77880E-04
60,5.61404,0.617378,4.31059E-04
61,5.67640,0.624405,4.07718E-04
62,5.73946,0.631340,3.88821E-04
63,5.80322,0.638354,3.90104E-04
64,5.86769,0.645424,4.05051E-04
