Index,Frequency,Width,Norm
0,1.04713,0.104713,0.0
1,1.05876,0.105876,0.0
2,1.16944,0.116944,0.0
3,3.16072,0.284539,6.75639E-04
4,3.19584,0.287674,5.81390E-04
5,3.23134,0.290848,4.89087E-04
6,3.26723,0.357623,4.22051E-04
7,3.30353,0.363385,3.47722E-04
8,3.34023,0.367304,2.62921E-04
9,3.37733,0.371493,2.13202E-04
10,3.41485,0.375623,1.62252E-04
11,3.45278,0.379351,1.39980E-04
12,3.49114,0.382933,1.13078E-04
13,1.18243,0.118243,0.0
14,3.52992,0.386512,8.16394E-05
15,3.56914,0.392424,6.27228E-05
16,3.60878,0.396504,4.69020E-05
17,3.64887,0.401169,1.93960E-05
18,3.68941,0.405510,9.10644E-06
19,3.73039,0.392318,4.21529E-06
20,3.77183,0.414843,5.62994E-06
21,3.81373,0.418812,7.83014E-06
22,3.85610,0.415739,2.19192E-05
23,3.89893,0.421873,1.38894E-05
24,1.19557,0.119557,0.0
25,3.94225,0.431168,2.77815E-05
26,3.98604,0.438444,3.21938E-05
27,4.03032,0.443202,3.54664E-05
28,4.07509,0.448061,3.83889E-05
29,4.12036,0.451417,4.25498E-05
30,4.16613,0.457998,4.68184E-05
31,4.21241,0.462861,5.18698E-05
32,4.25921,0.468175,5.76191E-05
33,4.30652,0.473655,6.32385E-05
34,4.35436,0.478416,6.78936E-05
35,1.20885,0.120885,0.0
36,4.40273,0.484268,7.31099E-05
37,4.45164,0.489346,7.90344E-05
38,4.50110,0.495108,8.66570E-05
39,4.55110,0.500521,9.89886E-05
40,4.60165,0.506156,1.19589E-04
41,4.65277,0.511790,1.48280E-04
42,4.70446,0.517461,1.75420E-04
43,4.75672,0.523217,2.06714E-04
44,4.80956,0.529039,2.45357E-04
45,4.86299,0.534877,2.89615E-04
46,1.22228,0.122228,0.0
47,4.91701,0.540871,3.50246E-04
48,4.97163,0.546877,4.00757E-04
49,5.02686,0.552952,4.35357E-04
50,5.08270,0.559096,4.91136E-04
51,5.13917,0.565285,5.54665E-04
52,5.19625,0.571518,6.27530E-04
53,5.25398,0.577937,7.80767E-04
54,5.31234,0.584356,8.33844E-04
55,5.37136,0.587573,9.01954E-04
56,5.43103,0.597385,9.27975E-04
57,1.23586,0.123586,0.0
58,5.49136,0.604036,8.74533E-04
59,5.55236,0.610760,8.64755E-04
60,5.61404,0.617544,8.51177E-04
61,5.67640,0.624405,8.45232E-04
62,5.73946,0.631341,8.79204E-04
63,5.80322,0.638354,8.39834E-04
64,5.86769,0.644975,8.27577E-04
65,5.93287,0.652611,7.37647E-04
66,5.99878,0.659833,6.53637E-04
