observation_ID,A,B,C,D,E,F
1050360103_0,1982.0,0.497391058292425,1.77927,8.97673,0.200001,8080740.0
1050360103_1,2005.0,0.4929246341643871,1.7974599999999998,9.29172,0.2,8212800.0
1050360103_2,1971.0,0.4962107363217802,1.79236,9.25163,0.2,8186140.0
1050360104_0,4556.0,0.3576856764542074,2.31781,40.3658,0.2,16087300.0
1050360104_1,4569.0,0.3529490555382753,2.33623,41.426,0.2,15613600.0
1050360104_11,4667.0,0.352358179299852,2.33791,43.2486,0.2,16524000.0
1050360104_12,4609.0,0.3576821180768183,2.3122,40.5058,0.2,16708500.0
1050360104_13,4494.0,0.3611547739956793,2.2924,38.4852,0.2,17055200.0
1050360104_14,4694.0,0.3537134471242101,2.33413,42.375,0.2,16638000.0
1050360104_5,4829.0,0.3482123521091027,2.36006,45.0917,0.2,15950100.0
1050360104_6,4852.0,0.3477435099730364,2.36841,45.7808,0.2,15776300.0
1050360104_7,4735.0,0.3548907455272716,2.32723,42.4377,0.2,16523300.0
1050360104_8,4710.0,0.3528060252673949,2.33696,42.6586,0.2,16679700.0
1050360104_9,4742.0,0.3537294601264574,2.33442,42.8742,0.2,16412400.0
1050360105_1,4834.0,0.3493220535371164,2.35975,45.0951,0.2,16100500.0
1050360105_15,4809.0,0.3487011811861195,2.36023,45.8168,0.2,16409600.0
1050360105_16,4726.0,0.3591091603511961,2.30993,41.3992,0.2,17340300.0
1050360105_17,4710.0,0.3584022629811003,2.31105,41.3087,0.2,17305000.0
1050360105_18,4623.0,0.3652616597206601,2.27637,38.8286,0.2,17729100.0
1050360105_19,4682.0,0.3616003683824405,2.29559,40.2873,0.2,17492800.0
1050360105_2,4766.0,0.3502847335750467,2.35704,45.1946,0.2,16594000.0
1050360105_21,4880.0,0.3576015781633968,2.31402,43.048,0.2,17193200.0
1050360105_23,5034.0,0.3485421500331733,2.35843,46.9555,0.2,16359100.0
1050360105_26,4867.0,0.3604492047391685,2.30487,42.4566,0.2,17300200.0
1050360105_28,4561.0,0.3805812435720397,2.20626,35.1656,0.2,18340200.0
1050360105_29,4416.0,0.3878883641035065,2.17066,32.533,0.2,18537400.0
1050360105_4,4903.0,0.3485501113007045,2.36024,45.7445,0.2,16524200.0
1050360106_0,4410.0,0.3896083205446472,2.16756,32.3667,0.2,18555000.0
1050360106_1,4429.0,0.3886039323749065,2.17104,32.6394,0.2,18747100.0
1050360106_2,4498.0,0.3840705315608478,2.18986,33.9382,0.2,18633700.0
1050360106_3,4471.0,0.3891987098783376,2.1644,32.6759,0.2,18883700.0
1050360106_4,4480.0,0.3909724798872425,2.15798,32.5024,0.2,18833600.0
1050360106_5,4418.0,0.3936950618370756,2.1475,31.6265,0.2,18775000.0
1050360106_6,4489.0,0.3869022038496289,2.17834,33.3865,0.2,18746400.0
1050360106_7,4674.0,0.3785834717808305,2.21885,36.5891,0.2,18688800.0
1050360106_8,4699.0,0.3785994634228202,2.21688,36.7264,0.2,18565700.0
1050360106_9,4761.0,0.3778407191352816,2.22011,37.3526,0.2,18849400.0
1050360107_0,5139.0,0.3750828584484685,2.23006,40.8615,0.2,19825300.0
1050360107_1,5241.0,0.3745997539740281,2.23355,41.8748,0.2,19928200.0
1050360108_4,5936.0,0.3532215928332116,2.33704,54.0517,0.2,19021500.0
1050360108_8,5575.0,0.3681536402478104,2.2679,46.5128,0.2,20354600.0
1050360108_9,5521.0,0.3697643528951801,2.25923,45.5877,0.2,20137300.0
1050360109_10,6358.0,0.3576310581936205,2.32046,56.8406,0.2,20072600.0
1050360109_2,6914.0,0.3449564758709573,2.39519,68.0666,0.2,17327200.0
1050360109_3,6867.0,0.3444798581599744,2.3921900000000003,67.3008,0.2,17662100.0
1050360109_5,6773.0,0.3464588167545987,2.38153,65.4413,0.2,18314500.0
1050360109_8,6747.0,0.3530845349773792,2.35059,62.7202,0.2,19523400.0
1050360110_0,6522.0,0.3555786273270056,2.33421,59.3225,0.2,20025300.0
1050360110_3,7636.0,0.3384999001999504,2.42937,78.4809,0.2,17158000.0
1050360110_4,7768.0,0.3369979105965171,2.43733,80.6732,0.2,16756800.0
1050360110_5,8244.0,0.3288957177496613,2.48316,90.6693,0.2,14762400.0
1050360110_6,8386.0,0.3301605942863663,2.4796400000000003,91.9482,0.2,14584800.0
1050360111_2,10720.0,0.31514791206905,2.59049,135.69299999999998,0.2,4083820.0
1050360111_3,10100.0,0.3167044605845709,2.56902,124.022,0.2,8709270.0
1050360111_6,10640.0,0.3111518808501109,2.60279,136.246,0.2,5522010.0
1050360112_1,11120.0,0.3188224277827008,2.56732,137.043,0.2,5177500.0
1050360112_3,10520.0,0.3154806353150234,2.57348,129.916,0.2,8048730.0
1050360113_0,10490.0,0.3152431226179,2.57411,129.644,0.2,8162670.0
1050360113_1,10710.0,0.308784280272126,2.61436,138.952,0.2,5355820.0
1050360113_2,10820.0,0.3104343449398279,2.60546,138.945,0.2,5847970.0
1050360113_4,10950.0,0.3066468460971497,2.62896,144.53,0.2,4080230.0
1050360113_7,10720.0,0.2778169928210029,2.86036,132.042,0.3215949999999999,0.1
1050360114_1,10600.0,0.2760368424864449,2.86703,133.787,0.315118,0.1
1050360114_2,10540.0,0.2754146398942644,2.86732,133.52,0.313876,0.1
1050360115_10,10440.0,0.2745926858636126,2.87013,132.658,0.313433,0.1
1050360115_12,10520.0,0.281293315561794,2.80386,139.509,0.277811,0.1
1050360115_14,10460.0,0.2807092331571002,2.80602,140.18,0.274632,0.1
1050360115_15,10660.0,0.2989059975984777,2.67566,148.539,0.2,1777370.0
1050360115_16,10640.0,0.2977438874466526,2.68233,149.393,0.2,1283680.0
1050360115_17,10650.0,0.299322317535882,2.67391,148.144,0.2,1647090.0
1050360115_18,10600.0,0.3002825111948391,2.66696,146.335,0.2,1831110.0
1050360115_19,10790.0,0.2987193003147865,2.67734,150.61700000000002,0.2,1419460.0
1050360115_2,10530.0,0.2747444266608605,2.87549,132.717,0.317777,0.1
1050360115_20,10530.0,0.2821334805550156,2.79911,139.74200000000002,0.276043,0.1
1050360115_21,10450.0,0.2848715438886495,2.74403,157.018,0.2,0.1
1050360115_4,10610.0,0.2766376332233269,2.86053,133.605,0.313929,0.1
1050360115_6,10610.0,0.2795622509058815,2.82401,139.678,0.287079,0.1
1050360116_1,10500.0,0.2969717555087339,2.68623,147.974,0.2,1636070.0
1050360116_2,10590.0,0.3015784823563158,2.65956,144.798,0.2,2833730.0
1050360116_3,10300.0,0.2837921269420453,2.74913,155.56799999999998,0.2,0.1
1050360116_4,10330.0,0.2804495023151444,2.81049,139.003,0.274852,0.1
1050360116_6,10190.0,0.2791580214498015,2.81368,136.577,0.277255,0.1
1050360116_7,10290.0,0.2761938771235993,2.84888,134.183,0.298047,0.1
1050360116_8,10250.0,0.2732836944835249,2.8793900000000003,131.388,0.31311,0.1
1050360117_1,10170.0,0.2741913982598696,2.86651,131.945,0.305313,0.1
1050360117_2,10150.0,0.2738911693039397,2.86375,132.226,0.302882,0.1
1050360117_7,10000.0,0.2772076209244736,2.82333,137.549,0.270794,0.1
1050360117_8,10080.0,0.2791350232888711,2.77235,156.033,0.2,0.1
1050360118_0,9931.0,0.2725264386609,2.86769,132.5,0.295656,0.1
1050360118_1,10030.0,0.2926588828120823,2.70853,144.783,0.2,1335530.0
1050360118_3,10140.0,0.2997891826527228,2.6623900000000003,138.952,0.2,3289780.0
1050360118_4,10080.0,0.2994938591325971,2.66817,139.067,0.2,2905050.0
1050360118_5,10020.0,0.2990186190200416,2.67163,138.67700000000002,0.2,2808540.0
1050360119_0,9596.0,0.2625643173439451,2.9645900000000003,123.86,0.332842,0.1
1050360119_3,9267.0,0.251896179991106,3.09091,114.297,0.37527,0.1
1050360119_4,9209.0,0.2517420172849381,3.08766,114.316,0.372558,0.1
1050360120_0,10190.0,0.270332116716699,2.91125,128.197,0.327864,0.1
1050360120_2,10300.0,0.283479730273055,2.75255,156.144,0.2,0.1
1050360120_3,10130.0,0.2764828089091008,2.83608,136.291,0.2831889999999999,0.1
1050360120_4,10160.0,0.2771064869138529,2.82871,135.976,0.282524,0.1
1050360120_5,10280.0,0.2818369662481001,2.7823,142.36700000000002,0.2536719999999999,0.1
1050360120_6,10230.0,0.282237361666524,2.75566,155.585,0.200021,0.1
1050360120_7,10230.0,0.2794310359195259,2.81237,138.963,0.271565,0.1
1130360103_0,9077.0,0.2982748486822357,2.67024,125.272,0.2,3469010.0
1130360103_1,9152.0,0.3022128305489402,2.64699,123.028,0.2,4179030.0
1130360103_2,9137.0,0.3044213130021098,2.64247,122.287,0.2,3853660.0
1130360103_3,8476.0,0.3000873343352312,2.64554,113.082,0.2,7245070.0
1130360104_0,7466.0,0.3085422910891449,2.5884400000000003,92.6776,0.2,11147200.0
1130360104_1,7548.0,0.3071791046965783,2.59681,94.7004,0.2,10554100.0
1130360105_0,7603.0,0.3031368249734681,2.62078,98.1809,0.2,9288180.0
1130360105_1,7684.0,0.3026329550141997,2.62659,99.9817,0.2,8756560.0
1130360105_2,7354.0,0.3067032141249223,2.5988,92.4078,0.2,10616000.0
1130360105_3,7524.0,0.3043667771508593,2.61502,96.4504,0.2,9710270.0
1130360106_0,7630.0,0.2966512908416439,2.66031,103.308,0.2,7079890.0
1130360106_1,7650.0,0.2986463818562972,2.65002,102.335,0.2,7583570.0
1130360107_0,6488.0,0.3106667451100872,2.56683,78.1277,0.2,12464300.0
1130360107_11,6305.0,0.3124766989724806,2.55555,74.8334,0.2,12961500.0
1130360107_12,6379.0,0.3133341831719612,2.55697,75.8668,0.2,12897500.0
