ID,source,type,inclination,freq,qpo_rms,noise_rms,total_rms,freq_err,noise_err,total_err,number
60113-01-12-01,XTEJ1650-500,C,low,4.359,6.6,24.2,25.1,"(0.02, 0.02)","(0.9, 0.9)","(0.8, 0.9)",61
60113-01-12-02,XTEJ1650-500,C,low,4.848,6.9,23.6,24.6,"(0.026, 0.027)","(1.0, 1.0)","(1.0, 1.0)",62
60113-01-12-03,XTEJ1650-500,C,low,4.66,7.2,24.9,25.9,"(0.032, 0.032)","(0.5, 0.5)","(0.5, 0.5)",63
60113-01-12-04,XTEJ1650-500,C,low,5.138,6.0,22.2,23.0,"(0.026, 0.027)","(1.7, 1.8)","(1.6, 1.8)",64
60113-01-13-00,XTEJ1650-500,C,low,5.721,6.0,23.0,23.7,"(0.027, 0.027)","(0.3, 0.3)","(0.3, 0.3)",65
60113-01-13-01,XTEJ1650-500,C,low,6.35,5.8,21.4,22.2,"(0.037, 0.038)","(0.9, 0.9)","(0.8, 0.8)",66
60113-01-13-02,XTEJ1650-500,C,low,6.835,5.6,19.6,20.8,"(0.051, 0.05)","(0.3, 0.3)","(0.3, 0.3)",67
60113-01-14-00,XTEJ1650-500,C,low,5.954,2.9,14.3,15.4,"(0.097, 0.097)","(0.5, 0.4)","(0.5, 0.5)",68
60705-01-59-00,GX 339-4,C,low,2.851,5.0,32.1,32.5,"(0.026, 0.026)","(1.6, 1.7)","(1.6, 1.7)",69
70108-03-01-00,GX 339-4,C,low,0.643,9.6,24.5,26.3,"(0.006, 0.006)","(1.5, 1.5)","(1.4, 1.4)",70
70109-01-06-00,GX 339-4,C,low,1.233,7.7,24.4,25.6,"(0.01, 0.01)","(1.4, 1.7)","(1.4, 1.7)",71
70109-02-01-00,GX 339-4,C,low,8.043,4.1,13.6,14.2,"(0.064, 0.06)","(0.3, 0.3)","(0.3, 0.3)",72
70109-04-01-00,GX 339-4,C,low,5.389,9.2,14.6,17.3,"(0.01, 0.01)","(0.9, 1.0)","(0.8, 0.8)",73
70109-04-01-02,GX 339-4,C,low,5.318,8.3,16.0,18.0,"(0.021, 0.022)","(0.9, 1.1)","(0.8, 1.0)",74
70110-01-10-00,GX 339-4,C,low,2.063,7.4,23.9,25.0,"(0.013, 0.013)","(0.7, 0.8)","(0.6, 0.7)",75
70110-01-11-00,GX 339-4,C,low,5.797,6.7,16.5,17.8,"(0.022, 0.023)","(0.8, 0.8)","(0.7, 0.7)",76
70110-01-94-00,GX 339-4,C,low,6.134,4.9,18.4,19.1,"(0.03, 0.028)","(0.9, 0.9)","(0.9, 0.9)",77
70110-01-95-00,GX 339-4,C,low,4.712,5.4,24.0,24.6,"(0.042, 0.039)","(2.1, 2.4)","(2.1, 2.3)",78
70128-02-02-00,GX 339-4,C,low,8.041,2.2,16.1,16.2,"(0.032, 0.032)","(0.8, 0.7)","(0.8, 0.7)",79
60705-01-68-01,GX 339-4,C,low,1.062,6.9,32.4,33.1,"(0.015, 0.015)","(1.9, 2.3)","(1.8, 2.3)",80
60705-01-69-00,GX 339-4,C,low,1.304,6.8,33.5,34.2,"(0.018, 0.018)","(0.7, 0.7)","(0.7, 0.7)",81
60705-01-70-00,GX 339-4,C,low,4.307,4.9,24.3,24.8,"(0.019, 0.02)","(0.3, 0.3)","(0.3, 0.3)",82
90110-02-01-00,GX 339-4,C,low,5.706,11.0,21.6,24.2,"(0.027, 0.027)","(1.2, 0.7)","(1.1, 0.6)",83
90110-02-01-02,GX 339-4,C,low,5.187,11.0,17.1,20.3,"(0.023, 0.024)","(1.2, 2.1)","(1.0, 1.8)",84
90704-01-01-00,GX 339-4,C,low,0.741,10.0,29.4,31.0,"(0.012, 0.014)","(1.1, 1.1)","(1.0, 1.1)",85
90704-01-11-00,GX 339-4,C,low,2.675,5.7,30.6,31.1,"(0.037, 0.037)","(0.8, 0.8)","(0.8, 0.8)",86
92035-01-02-01,GX 339-4,C,low,0.261,10.0,38.8,40.1,"(0.002, 0.002)","(1.1, 1.2)","(1.1, 1.2)",87
92035-01-02-02,GX 339-4,C,low,0.293,10.5,36.1,37.6,"(0.003, 0.003)","(1.1, 1.2)","(1.1, 1.2)",88
92035-01-02-03,GX 339-4,C,low,0.359,10.0,37.8,39.1,"(0.002, 0.002)","(2.4, 2.1)","(2.3, 2.1)",89
92035-01-02-04,GX 339-4,C,low,0.425,12.6,37.3,39.4,"(0.002, 0.002)","(0.6, 0.6)","(0.7, 0.7)",90
92035-01-02-06,GX 339-4,C,low,1.99,10.1,26.3,28.1,"(0.003, 0.004)","(0.7, 0.8)","(0.7, 0.7)",91
92035-01-02-07,GX 339-4,C,low,0.894,11.6,31.3,33.4,"(0.003, 0.003)","(2.1, 1.1)","(2.0, 1.0)",92
92035-01-03-00,GX 339-4,C,low,2.266,9.5,27.9,29.4,"(0.004, 0.004)","(2.5, 2.4)","(2.3, 2.3)",93
92035-01-03-01,GX 339-4,C,low,1.679,8.6,26.0,27.4,"(0.004, 0.004)","(1.4, 0.6)","(1.3, 0.6)",94
92035-01-03-02,GX 339-4,C,low,2.451,8.6,23.4,25.0,"(0.004, 0.004)","(0.4, 0.4)","(0.4, 0.4)",95
92035-01-03-03,GX 339-4,C,low,3.513,7.9,22.2,24.6,"(0.006, 0.006)","(0.7, 0.6)","(0.6, 0.6)",96
92035-01-03-05,GX 339-4,C,low,5.684,7.8,14.9,18.6,"(0.023, 0.023)","(1.6, 1.8)","(1.4, 1.5)",97
92085-01-03-00,GX 339-4,C,low,7.854,4.0,16.1,16.6,"(0.117, 0.116)","(1.2, 1.2)","(1.1, 1.1)",98
92085-01-03-02,GX 339-4,C,low,7.417,6.1,14.9,16.1,"(0.064, 0.064)","(0.6, 0.7)","(0.5, 0.6)",99
92085-01-03-03,GX 339-4,C,low,7.869,3.7,15.6,16.1,"(0.19, 0.168)","(1.0, 1.1)","(0.9, 1.1)",100
92428-01-04-00,GX 339-4,C,low,4.325,9.4,17.9,22.2,"(0.007, 0.007)","(1.0, 1.1)","(0.9, 1.0)",101
92428-01-04-01,GX 339-4,C,low,4.229,8.1,20.6,22.1,"(0.009, 0.009)","(0.5, 0.5)","(0.5, 0.5)",102
