ID,source,type,inclination,freq,qpo_rms,noise_rms,total_rms,freq_err,noise_err,total_err,number
40401-01-48-00,XTE J1550-564,C,high,18.061,0.5,3.7,6.2,"(0.061, 0.059)","(0.2, 0.2)","(0.1, 0.1)",185
40401-01-57-00,XTE J1550-564,C,high,6.69,9.7,13.5,19.8,"(0.014, 0.014)","(0.3, 0.3)","(0.4, 0.3)",186
50134-01-04-00,XTE J1550-564,C,high,6.915,9.9,12.8,19.9,"(0.022, 0.022)","(0.5, 0.5)","(0.7, 0.7)",187
50134-01-05-00,XTE J1550-564,C,high,4.476,10.6,21.0,26.3,"(0.011, 0.011)","(0.7, 0.7)","(0.9, 1.0)",188
50134-02-01-00,XTE J1550-564,C,high,1.257,15.3,36.2,39.3,"(0.006, 0.006)","(0.4, 0.4)","(0.4, 0.4)",189
50135-01-02-00,XTE J1550-564,C,high,2.34,12.3,27.6,32.5,"(0.01, 0.01)","(1.4, 1.4)","(1.3, 1.3)",190
50135-01-03-00,XTE J1550-564,C,high,1.124,12.9,32.2,34.6,"(0.007, 0.007)","(2.1, 2.1)","(1.9, 1.9)",191
50135-01-04-00,XTE J1550-564,C,high,0.981,7.4,35.3,36.1,"(0.02, 0.02)","(0.6, 0.5)","(0.6, 0.5)",192
50135-01-05-00,XTE J1550-564,C,high,0.684,7.8,33.8,34.7,"(0.008, 0.008)","(0.9, 0.9)","(0.9, 0.9)",193
50135-01-06-00,XTE J1550-564,C,high,0.552,8.3,34.8,35.8,"(0.008, 0.009)","(1.4, 0.9)","(1.4, 0.9)",194
50137-02-01-00,XTE J1550-564,C,high,0.237,10.7,40.6,42.0,"(0.002, 0.002)","(2.3, 2.6)","(2.3, 2.5)",195
50137-02-02-00,XTE J1550-564,C,high,0.257,10.5,39.5,40.8,"(0.003, 0.003)","(1.6, 1.6)","(1.5, 1.6)",196
50137-02-02-01,XTE J1550-564,C,high,0.265,9.4,39.5,40.6,"(0.002, 0.002)","(1.3, 1.2)","(1.3, 1.2)",197
50137-02-03-00,XTE J1550-564,C,high,0.239,12.6,41.0,42.9,"(0.002, 0.002)","(1.0, 1.1)","(1.0, 1.1)",198
50137-02-03-01G,XTE J1550-564,C,high,0.24,11.3,40.4,42.0,"(0.002, 0.002)","(1.6, 1.6)","(1.6, 1.6)",199
50137-02-04-00,XTE J1550-564,C,high,0.233,15.6,36.5,39.7,"(0.003, 0.003)","(1.6, 1.8)","(1.5, 1.7)",200
50137-02-04-01,XTE J1550-564,C,high,0.249,11.9,40.6,42.4,"(0.002, 0.002)","(1.2, 1.4)","(1.2, 1.4)",201
50137-02-05-00,XTE J1550-564,C,high,0.279,9.7,37.7,39.2,"(0.003, 0.003)","(1.9, 1.9)","(1.8, 3.3)",202
50137-02-05-01,XTE J1550-564,C,high,0.314,12.4,41.4,43.2,"(0.002, 0.002)","(1.1, 1.1)","(1.1, 1.0)",203
50137-02-06-00,XTE J1550-564,C,high,0.32,14.5,41.4,43.8,"(0.002, 0.002)","(1.2, 0.8)","(1.2, 0.8)",204
50137-02-07-00,XTE J1550-564,C,high,0.42,13.7,36.6,39.1,"(0.003, 0.003)","(1.8, 1.5)","(1.7, 1.4)",205
70417-01-09-00,4U 1630-47,C,high,12.51,1.9,7.8,9.4,"(0.163, 0.168)","(0.4, 0.4)","(0.4, 0.4)",206
80117-01-02-01,4U 1630-47,C,high,12.416,2.2,6.2,9.7,"(0.108, 0.108)","(0.2, 0.2)","(0.3, 0.3)",207
80117-01-02-04,4U 1630-47,C,high,12.453,2.2,9.0,9.2,"(0.138, 0.138)","(0.4, 0.4)","(0.4, 0.4)",208
80117-01-04-00,4U 1630-47,C,high,11.543,2.9,9.0,11.1,"(0.032, 0.032)","(0.5, 0.4)","(0.5, 0.5)",209
80117-01-05-00,4U 1630-47,C,high,12.326,2.1,13.0,13.4,"(0.055, 0.056)","(0.4, 0.4)","(0.4, 0.4)",210
80117-01-06-01,4U 1630-47,C,high,7.795,2.2,25.3,26.8,"(0.031, 0.033)","(1.6, 1.5)","(1.6, 1.5)",211
80117-01-07-00,4U 1630-47,C,high,7.5,2.9,24.4,25.9,"(0.053, 0.051)","(1.7, 1.3)","(1.6, 1.2)",212
80117-01-07-01,4U 1630-47,C,high,14.8,2.2,4.4,9.5,"(0.287, 0.28)","(0.1, 0.1)","(0.4, 0.4)",213
80117-01-07-02,4U 1630-47,C,high,14.484,2.2,4.4,8.8,"(0.157, 0.162)","(0.1, 0.1)","(0.2, 0.2)",214
80117-01-08-00,4U 1630-47,C,high,11.467,2.4,8.3,11.2,"(0.041, 0.041)","(0.3, 0.3)","(0.5, 0.5)",215
80117-01-08-01,4U 1630-47,C,high,13.799,2.0,4.9,9.6,"(0.244, 0.245)","(0.2, 0.2)","(0.3, 0.3)",216
80117-01-10-00,4U 1630-47,C,high,14.048,2.5,9.2,9.6,"(0.355, 0.337)","(0.3, 0.3)","(0.3, 0.3)",217
80117-01-11-02,4U 1630-47,C,high,14.039,2.3,5.7,10.6,"(0.275, 0.265)","(0.2, 0.2)","(0.3, 0.3)",218
80117-01-12-01,4U 1630-47,C,high,11.661,2.4,8.0,11.8,"(0.075, 0.075)","(0.5, 0.6)","(0.5, 0.5)",219
80117-01-16-00,4U 1630-47,C,high,13.335,1.7,7.7,7.9,"(0.233, 0.249)","(0.4, 0.4)","(0.4, 0.4)",220
80117-01-17-00,4U 1630-47,C,high,13.14,1.7,7.7,9.7,"(0.199, 0.199)","(0.5, 0.5)","(0.5, 0.5)",221
80117-01-21-01,4U 1630-47,C,high,0.794,8.4,12.1,13.1,"(0.061, 0.061)","(0.8, 1.0)","(0.8, 0.9)",222
80117-01-22-00,4U 1630-47,C,high,4.024,6.7,13.2,14.8,"(0.009, 0.009)","(1.0, 1.0)","(0.9, 0.9)",223
80417-01-01-00,4U 1630-47,C,high,12.257,2.3,11.4,13.6,"(0.144, 0.144)","(0.2, 0.2)","(0.3, 0.3)",224
10255-01-03-00,GRO J1655-40,C,high,19.471,1.1,6.0,8.9,"(0.129, 0.129)","(0.1, 0.1)","(0.2, 0.2)",225
10255-01-06-00,GRO J1655-40,C,high,20.104,1.0,6.8,6.8,"(0.26, 0.258)","(0.4, 0.5)","(0.4, 0.5)",226
10255-01-07-00,GRO J1655-40,C,high,18.279,1.3,5.4,9.0,"(0.144, 0.147)","(0.1, 0.1)","(0.1, 0.1)",227
10255-01-09-00,GRO J1655-40,C,high,18.181,1.4,7.4,7.6,"(0.127, 0.127)","(0.1, 0.1)","(0.1, 0.1)",228
10255-01-10-00,GRO J1655-40,C,high,17.889,1.5,6.1,9.3,"(0.111, 0.111)","(0.1, 0.1)","(0.1, 0.1)",229
10255-01-11-00,GRO J1655-40,C,high,20.934,1.0,6.8,9.4,"(0.22, 0.22)","(0.2, 0.2)","(0.2, 0.2)",230
10255-01-16-00,GRO J1655-40,C,high,21.516,0.9,8.3,8.4,"(0.233, 0.218)","(0.3, 0.3)","(0.3, 0.3)",231
10255-01-17-00,GRO J1655-40,C,high,17.423,1.7,6.4,6.6,"(0.099, 0.1)","(0.6, 0.6)","(0.6, 0.5)",232
10255-01-18-00,GRO J1655-40,C,high,9.875,3.9,15.0,15.6,"(0.043, 0.042)","(0.5, 0.5)","(0.5, 0.5)",233
20187-01-01-00,GRO J1655-40,C,high,11.05,1.4,5.0,5.2,"(0.134, 0.134)","(0.1, 0.1)","(0.1, 0.1)",234
20402-02-25-00,GRO J1655-40,C,high,6.44,10.0,22.4,27.9,"(0.012, 0.012)","(1.3, 1.6)","(1.2, 1.5)",235
20402-02-26-00,GRO J1655-40,C,high,0.77,6.3,31.4,32.1,"(0.013, 0.013)","(2.7, 2.7)","(2.7, 2.7)",236
90058-16-05-00,GRO J1655-40,C,high,0.106,6.7,40.5,41.0,"(0.001, 0.001)","(1.5, 1.6)","(1.5, 1.6)",237
90058-16-07-00,GRO J1655-40,C,high,0.122,5.8,42.3,42.6,"(0.002, 0.002)","(1.1, 1.2)","(1.1, 1.2)",238
90428-01-01-01,GRO J1655-40,C,high,0.11,7.3,39.5,40.2,"(0.003, 0.003)","(1.3, 1.4)","(1.3, 1.4)",239
90428-01-01-02,GRO J1655-40,C,high,0.129,7.0,38.7,39.3,"(0.001, 0.001)","(1.7, 1.6)","(1.7, 1.6)",240
90428-01-01-03,GRO J1655-40,C,high,0.112,8.1,40.1,40.9,"(0.003, 0.003)","(2.1, 2.2)","(2.1, 2.1)",241
90428-01-01-04,GRO J1655-40,C,high,0.122,6.9,39.8,40.4,"(0.001, 0.001)","(1.0, 1.0)","(1.0, 1.0)",242
90428-01-01-09,GRO J1655-40,C,high,0.129,7.9,36.5,37.4,"(0.002, 0.002)","(3.3, 2.7)","(3.3, 2.6)",243
90428-01-01-10,GRO J1655-40,C,high,0.161,7.6,36.7,37.5,"(0.001, 0.001)","(2.6, 1.9)","(2.5, 1.9)",244
90704-04-01-00,GRO J1655-40,C,high,2.31,22.2,32.7,39.5,"(0.004, 0.004)","(1.4, 1.4)","(1.2, 1.2)",245
90704-04-01-01,GRO J1655-40,C,high,2.044,21.8,32.9,39.5,"(0.004, 0.004)","(1.0, 1.1)","(0.9, 0.9)",246
91404-01-01-00,GRO J1655-40,C,high,0.169,7.1,40.2,40.9,"(0.002, 0.002)","(0.8, 0.8)","(0.8, 0.8)",247
91404-01-01-01,GRO J1655-40,C,high,0.377,10.1,38.7,40.0,"(0.004, 0.004)","(2.2, 1.9)","(2.1, 1.9)",248
91404-01-01-02,GRO J1655-40,C,high,0.246,8.1,40.9,41.7,"(0.002, 0.002)","(0.6, 0.6)","(0.6, 0.6)",249
91404-01-01-03,GRO J1655-40,C,high,0.313,9.0,39.3,40.3,"(0.004, 0.004)","(1.5, 1.5)","(1.5, 1.4)",250
91404-01-01-04,GRO J1655-40,C,high,0.417,11.8,38.8,40.5,"(0.005, 0.005)","(1.5, 1.6)","(1.4, 1.6)",251
91404-01-01-05,GRO J1655-40,C,high,0.466,9.7,36.8,38.0,"(0.006, 0.006)","(1.9, 2.3)","(1.9, 2.2)",252
91702-01-01-00,GRO J1655-40,C,high,0.491,12.5,44.4,46.2,"(0.003, 0.003)","(0.6, 0.6)","(0.6, 0.6)",253
91702-01-01-01,GRO J1655-40,C,high,0.504,13.3,38.4,40.7,"(0.005, 0.005)","(0.8, 0.8)","(0.8, 0.8)",254
91702-01-01-02,GRO J1655-40,C,high,0.519,13.6,38.4,40.7,"(0.005, 0.005)","(1.8, 1.7)","(1.7, 1.6)",255
91702-01-01-03,GRO J1655-40,C,high,0.889,17.9,34.9,39.2,"(0.005, 0.005)","(1.2, 1.3)","(1.1, 1.2)",256
91702-01-01-04,GRO J1655-40,C,high,1.333,20.8,33.2,39.1,"(0.005, 0.005)","(3.2, 4.5)","(2.8, 3.8)",257
91702-01-01-05,GRO J1655-40,C,high,1.526,20.9,32.2,38.4,"(0.005, 0.005)","(2.5, 3.0)","(2.1, 2.5)",258
91702-01-71-03,GRO J1655-40,C,high,9.858,9.4,16.8,19.3,"(0.014, 0.015)","(1.7, 1.7)","(1.5, 1.5)",259
91702-01-71-04,GRO J1655-40,C,high,10.373,7.9,13.4,19.9,"(0.022, 0.022)","(0.6, 0.6)","(1.9, 1.9)",260
91702-01-76-00,GRO J1655-40,C,high,13.178,4.1,9.9,10.7,"(0.052, 0.053)","(0.3, 0.3)","(0.2, 0.3)",261
91702-01-76-01,GRO J1655-40,C,high,12.691,4.7,11.8,12.7,"(0.065, 0.065)","(0.9, 1.0)","(0.8, 0.9)",262
91702-01-79-00,GRO J1655-40,C,high,8.679,10.3,19.1,25.5,"(0.015, 0.015)","(0.5, 0.5)","(0.6, 0.6)",263
91702-01-79-01,GRO J1655-40,C,high,9.736,8.1,15.8,22.9,"(0.015, 0.015)","(0.5, 0.5)","(1.4, 1.4)",264
91702-01-80-00,GRO J1655-40,C,high,7.762,11.2,18.7,27.8,"(0.017, 0.017)","(1.8, 2.4)","(1.3, 1.7)",265
91702-01-80-01,GRO J1655-40,C,high,4.739,11.5,29.7,34.7,"(0.008, 0.008)","(0.8, 0.8)","(1.1, 1.4)",266
91702-01-80-02,GRO J1655-40,C,high,1.443,9.8,31.3,32.8,"(0.02, 0.02)","(0.5, 0.5)","(0.5, 0.5)",267
91702-01-81-00,GRO J1655-40,C,high,2.149,12.4,29.8,32.3,"(0.017, 0.017)","(1.3, 1.3)","(1.3, 1.3)",268
91702-01-81-01,GRO J1655-40,C,high,1.304,9.2,33.8,48.3,"(0.006, 0.006)","(2.7, 4.7)","(2.1, 3.5)",269
91702-01-81-02,GRO J1655-40,C,high,0.584,8.0,26.3,27.5,"(0.004, 0.004)","(1.6, 1.7)","(1.5, 1.6)",270
91702-01-82-00,GRO J1655-40,C,high,0.419,7.7,29.4,30.4,"(0.007, 0.007)","(1.8, 1.9)","(1.7, 1.9)",271
91702-01-87-03,GRO J1655-40,C,high,0.456,7.1,34.1,34.8,"(0.007, 0.007)","(2.8, 2.7)","(2.7, 2.7)",272
91704-01-01-01,GRO J1655-40,C,high,0.316,7.9,30.7,31.7,"(0.002, 0.002)","(1.3, 1.5)","(1.3, 1.5)",273
91702-01-58-00,GRO J1655-40,C,high,18.797,1.6,7.6,10.3,"(0.19, 0.192)","(0.5, 0.5)","(0.3, 0.4)",274
95360-14-01-00,H1743-322,C,high,1.006,17.1,33.4,37.5,"(0.001, 0.001)","(2.9, 2.1)","(2.6, 1.9)",275
95360-14-02-00,H1743-322,C,high,1.173,17.5,30.9,35.5,"(0.002, 0.002)","(2.4, 2.4)","(2.1, 2.1)",276
95360-14-02-01,H1743-322,C,high,1.038,17.5,28.6,33.5,"(0.003, 0.004)","(0.9, 0.9)","(1.0, 1.0)",277
95360-14-02-02,H1743-322,C,high,2.956,14.9,25.5,29.5,"(0.009, 0.009)","(0.5, 0.5)","(0.5, 0.5)",278
95360-14-02-03,H1743-322,C,high,1.766,17.9,26.1,31.7,"(0.004, 0.004)","(3.0, 3.3)","(2.5, 2.7)",279
95360-14-03-00,H1743-322,C,high,1.477,17.7,31.8,36.4,"(0.002, 0.002)","(2.6, 2.6)","(2.3, 2.2)",280
95360-14-03-01,H1743-322,C,high,4.792,9.4,22.5,24.3,"(0.017, 0.017)","(0.9, 1.1)","(0.9, 1.0)",281
95360-14-23-01,H1743-322,C,high,2.557,13.8,14.8,20.2,"(0.037, 0.036)","(2.4, 2.8)","(1.9, 2.2)",282
95360-14-24-00,H1743-322,C,high,1.565,9.1,25.8,27.3,"(0.022, 0.023)","(1.9, 1.3)","(1.8, 1.2)",283
95368-01-01-00,H1743-322,C,high,0.92,18.8,24.5,30.8,"(0.002, 0.002)","(2.3, 3.2)","(1.8, 2.6)",284
95405-01-02-02,H1743-322,C,high,3.061,10.9,19.9,22.7,"(0.017, 0.017)","(1.6, 1.6)","(1.4, 1.4)",285
95405-01-02-06,H1743-322,C,high,3.823,9.4,21.3,23.3,"(0.024, 0.024)","(1.5, 1.9)","(1.4, 1.8)",286
95405-01-03-00,H1743-322,C,high,2.04,13.5,19.3,23.5,"(0.015, 0.015)","(1.1, 1.2)","(1.0, 1.1)",287
95405-01-03-01,H1743-322,C,high,2.201,11.8,23.8,26.6,"(0.012, 0.012)","(1.5, 1.7)","(1.3, 1.6)",288
95405-01-03-02,H1743-322,C,high,1.339,9.8,26.4,28.2,"(0.017, 0.017)","(0.8, 0.8)","(0.8, 0.8)",289
95405-01-03-04,H1743-322,C,high,2.218,13.2,22.3,25.9,"(0.018, 0.018)","(1.8, 2.0)","(1.6, 1.8)",290
95405-01-04-01,H1743-322,C,high,0.893,7.6,23.2,24.4,"(0.016, 0.016)","(1.0, 1.0)","(1.0, 1.0)",291
93427-01-03-01,H1743-322,C,high,6.989,16.3,16.5,23.2,"(0.037, 0.036)","(0.6, 0.6)","(0.7, 0.7)",292
93427-01-04-00,H1743-322,C,high,3.789,10.4,15.8,18.9,"(0.03, 0.03)","(0.9, 1.1)","(0.9, 1.1)",293
93427-01-04-02,H1743-322,C,high,2.449,11.2,44.5,45.9,"(0.036, 0.037)","(1.8, 1.8)","(1.8, 1.7)",294
93427-01-04-03,H1743-322,C,high,2.307,8.7,19.9,26.4,"(0.03, 0.03)","(1.4, 1.8)","(2.0, 2.2)",295
93427-01-09-00,H1743-322,C,high,0.332,15.4,32.1,35.6,"(0.003, 0.003)","(0.9, 0.9)","(0.9, 0.9)",296
93427-01-09-01,H1743-322,C,high,0.376,16.0,36.2,39.6,"(0.002, 0.002)","(0.8, 0.8)","(0.7, 0.7)",297
93427-01-09-02,H1743-322,C,high,0.469,14.3,33.8,36.7,"(0.002, 0.002)","(1.9, 2.5)","(1.8, 2.3)",298
93427-01-09-03,H1743-322,C,high,0.432,15.6,31.6,35.3,"(0.002, 0.002)","(1.9, 2.1)","(1.7, 1.9)",299
93427-01-10-00,H1743-322,C,high,0.58,14.4,34.5,37.4,"(0.005, 0.005)","(0.9, 0.9)","(0.9, 0.9)",300
93427-01-10-01,H1743-322,C,high,0.676,16.8,32.5,64.1,"(0.004, 0.004)","(1.4, 1.5)","(1.5, 1.6)",301
93427-01-10-02,H1743-322,C,high,0.745,14.8,33.6,36.8,"(0.006, 0.006)","(1.4, 1.5)","(1.3, 1.4)",302
93427-01-11-00,H1743-322,C,high,0.858,15.2,35.7,38.8,"(0.003, 0.003)","(0.5, 0.5)","(0.5, 0.5)",303
93427-01-11-01,H1743-322,C,high,1.027,17.1,32.8,37.0,"(0.004, 0.004)","(2.4, 2.8)","(2.1, 2.5)",304
93427-01-11-03,H1743-322,C,high,5.582,5.9,21.5,25.9,"(0.026, 0.027)","(0.5, 0.5)","(1.1, 1.2)",305
93427-01-12-02,H1743-322,C,high,3.297,11.7,24.2,26.8,"(0.018, 0.018)","(1.8, 2.0)","(1.7, 1.8)",306
93427-01-12-04,H1743-322,C,high,3.845,11.1,18.1,23.4,"(0.012, 0.012)","(0.9, 1.0)","(1.2, 1.6)",307
93427-01-12-05,H1743-322,C,high,2.933,12.5,22.5,25.7,"(0.016, 0.016)","(1.1, 1.4)","(1.0, 1.3)",308
93427-01-13-00,H1743-322,C,high,2.595,12.9,23.1,26.4,"(0.009, 0.009)","(1.1, 1.3)","(1.0, 1.2)",309
93427-01-13-01,H1743-322,C,high,2.204,11.2,27.3,29.5,"(0.015, 0.015)","(0.8, 0.8)","(0.8, 0.8)",310
93427-01-13-02,H1743-322,C,high,2.242,12.5,23.5,26.6,"(0.012, 0.012)","(1.3, 1.4)","(1.1, 1.2)",311
93427-01-13-03,H1743-322,C,high,1.813,12.0,24.4,27.3,"(0.011, 0.011)","(1.4, 1.4)","(1.2, 1.3)",312
93427-01-13-04,H1743-322,C,high,2.377,12.4,23.6,26.6,"(0.009, 0.009)","(1.4, 1.4)","(1.3, 1.3)",313
93427-01-13-05,H1743-322,C,high,2.275,11.8,28.7,31.0,"(0.008, 0.008)","(0.4, 0.4)","(0.4, 0.4)",314
93427-01-13-06,H1743-322,C,high,2.106,12.6,26.7,29.5,"(0.01, 0.01)","(2.2, 2.4)","(2.0, 2.2)",315
93427-01-14-00,H1743-322,C,high,1.88,11.8,24.7,27.3,"(0.014, 0.014)","(1.6, 1.7)","(1.5, 1.5)",316
93427-01-14-01,H1743-322,C,high,1.79,11.1,24.2,26.6,"(0.024, 0.024)","(2.0, 2.7)","(1.9, 2.5)",317
93427-01-14-02,H1743-322,C,high,1.526,11.1,29.5,31.5,"(0.011, 0.011)","(0.5, 0.5)","(0.5, 0.5)",318
93427-01-14-03,H1743-322,C,high,1.47,10.3,31.1,32.8,"(0.015, 0.015)","(1.1, 1.1)","(1.1, 1.1)",319
93427-01-14-04,H1743-322,C,high,1.716,10.5,30.5,32.3,"(0.011, 0.01)","(0.7, 0.7)","(0.7, 0.7)",320
93427-01-14-05,H1743-322,C,high,2.191,11.6,23.9,26.6,"(0.016, 0.016)","(1.7, 1.9)","(1.5, 1.7)",321
93427-01-14-06,H1743-322,C,high,2.081,10.6,28.0,29.9,"(0.019, 0.019)","(0.6, 0.6)","(0.6, 0.6)",322
93427-01-15-00,H1743-322,C,high,1.796,9.7,28.6,30.2,"(0.014, 0.014)","(0.6, 0.6)","(0.6, 0.6)",323
93427-01-15-01,H1743-322,C,high,1.918,12.6,20.3,23.9,"(0.021, 0.021)","(1.4, 1.5)","(1.2, 1.3)",324
93427-01-15-02,H1743-322,C,high,1.758,9.1,28.6,30.0,"(0.013, 0.013)","(0.5, 0.5)","(0.5, 0.5)",325
93427-01-15-03,H1743-322,C,high,1.533,8.4,26.7,28.0,"(0.019, 0.019)","(1.4, 1.1)","(1.4, 1.0)",326
93427-01-15-04,H1743-322,C,high,1.009,6.5,21.7,22.7,"(0.013, 0.013)","(1.1, 1.2)","(1.1, 1.2)",327
93427-01-15-05,H1743-322,C,high,0.85,8.1,20.5,22.0,"(0.022, 0.022)","(1.4, 1.6)","(1.4, 1.5)",328
93427-01-15-06,H1743-322,C,high,1.026,9.5,26.4,28.1,"(0.022, 0.022)","(1.2, 1.1)","(1.1, 1.1)",329
94413-01-02-00,H1743-322,C,high,0.909,18.0,34.4,38.8,"(0.002, 0.002)","(0.7, 0.7)","(0.7, 0.7)",330
94413-01-02-01,H1743-322,C,high,1.193,17.8,31.6,36.3,"(0.002, 0.002)","(2.3, 2.5)","(2.0, 2.2)",331
94413-01-02-02,H1743-322,C,high,1.004,18.4,31.9,36.8,"(0.001, 0.001)","(1.3, 1.5)","(1.2, 1.3)",332
94413-01-02-03,H1743-322,C,high,3.579,14.1,23.6,34.3,"(0.005, 0.006)","(0.9, 0.9)","(0.7, 0.7)",333
94413-01-02-04,H1743-322,C,high,2.017,17.9,26.9,32.4,"(0.003, 0.003)","(1.7, 1.7)","(1.5, 1.5)",334
94413-01-02-05,H1743-322,C,high,1.277,18.1,32.9,37.6,"(0.002, 0.002)","(1.7, 1.8)","(1.5, 1.6)",335
94413-01-07-00,H1743-322,C,high,4.965,6.6,16.6,17.9,"(0.038, 0.035)","(2.3, 2.8)","(2.1, 2.6)",336
94413-01-07-01,H1743-322,C,high,3.431,8.8,18.7,20.6,"(0.032, 0.032)","(1.1, 1.2)","(1.0, 1.1)",337
94413-01-07-02,H1743-322,C,high,3.766,7.1,18.6,19.9,"(0.036, 0.036)","(1.3, 1.3)","(1.2, 1.2)",338
80137-01-20-00,H1743-322,C,high,7.846,3.7,9.7,10.4,"(0.073, 0.073)","(0.7, 0.7)","(0.6, 0.6)",339
80137-01-25-00,H1743-322,C,high,6.953,5.0,12.3,13.3,"(0.043, 0.043)","(0.6, 0.7)","(0.6, 0.7)",340
80137-01-26-00,H1743-322,C,high,5.82,7.4,19.8,21.1,"(0.086, 0.086)","(1.1, 1.1)","(1.1, 1.1)",341
80137-01-27-00,H1743-322,C,high,5.838,5.8,14.1,15.2,"(0.073, 0.073)","(1.0, 1.0)","(1.0, 1.0)",342
80137-01-28-00,H1743-322,C,high,2.973,9.0,17.7,19.9,"(0.057, 0.06)","(2.5, 2.7)","(2.3, 2.5)",343
80137-02-01-00,H1743-322,C,high,2.34,8.3,15.3,17.4,"(0.036, 0.037)","(0.6, 0.7)","(0.7, 0.8)",344
80138-01-02-00G,H1743-322,C,high,0.161,12.3,31.1,33.4,"(0.003, 0.003)","(1.5, 1.9)","(1.5, 1.8)",345
80138-01-03-00G,H1743-322,C,high,2.216,13.9,16.4,21.5,"(0.005, 0.005)","(0.8, 1.0)","(0.7, 0.8)",346
80138-01-04-00G,H1743-322,C,high,3.664,12.4,14.2,18.8,"(0.013, 0.013)","(0.7, 0.9)","(0.8, 0.9)",347
80138-01-05-00G,H1743-322,C,high,2.072,13.3,15.9,20.7,"(0.006, 0.006)","(1.0, 1.1)","(0.8, 0.8)",348
80138-01-06-00,H1743-322,C,high,3.136,14.1,13.1,19.3,"(0.017, 0.017)","(0.7, 1.0)","(1.3, 1.5)",349
80138-01-07-00,H1743-322,C,high,7.143,7.2,12.8,14.7,"(0.018, 0.018)","(0.8, 0.8)","(0.7, 0.7)",350
80146-01-01-00,H1743-322,C,high,8.517,4.6,14.6,15.3,"(0.01, 0.01)","(0.4, 0.4)","(0.4, 0.3)",351
80146-01-02-00,H1743-322,C,high,5.672,9.5,12.7,15.8,"(0.025, 0.029)","(1.3, 1.7)","(1.1, 1.4)",352
80146-01-03-00,H1743-322,C,high,4.756,11.8,14.6,18.8,"(0.008, 0.008)","(0.5, 0.5)","(0.4, 0.4)",353
80146-01-03-01,H1743-322,C,high,7.016,6.7,14.7,16.1,"(0.018, 0.018)","(0.4, 0.4)","(0.4, 0.4)",354
80146-01-29-00,H1743-322,C,high,5.527,10.0,16.0,18.8,"(0.02, 0.02)","(0.3, 0.3)","(0.5, 0.5)",355
80146-01-30-00,H1743-322,C,high,4.431,12.3,12.8,17.7,"(0.004, 0.004)","(0.3, 0.3)","(0.2, 0.2)",356
80146-01-31-00,H1743-322,C,high,5.301,12.2,13.9,18.5,"(0.018, 0.018)","(0.9, 0.8)","(0.9, 0.9)",357
80146-01-32-00,H1743-322,C,high,4.862,12.6,16.2,20.5,"(0.007, 0.007)","(0.3, 0.3)","(0.3, 0.3)",358
80146-01-33-00,H1743-322,C,high,6.22,8.4,17.4,19.3,"(0.013, 0.013)","(0.3, 0.3)","(0.3, 0.3)",359
80146-01-33-01,H1743-322,C,high,5.879,8.8,16.9,19.1,"(0.03, 0.03)","(0.4, 0.4)","(0.5, 0.5)",360
80146-01-34-00,H1743-322,C,high,2.774,17.4,10.4,20.3,"(0.005, 0.005)","(0.6, 0.7)","(0.5, 0.5)",361
80146-01-35-00,H1743-322,C,high,2.264,14.6,17.9,23.1,"(0.006, 0.006)","(1.2, 1.1)","(1.0, 0.9)",362
80146-01-36-00,H1743-322,C,high,1.827,15.6,17.5,23.4,"(0.003, 0.003)","(0.6, 0.7)","(0.5, 0.6)",363
80146-01-37-00,H1743-322,C,high,1.899,15.8,16.7,23.0,"(0.003, 0.003)","(0.6, 0.7)","(0.5, 0.5)",364
80146-01-38-00,H1743-322,C,high,3.202,16.7,12.6,21.6,"(0.007, 0.007)","(0.8, 1.0)","(0.6, 0.7)",365
80146-01-39-00,H1743-322,C,high,2.134,16.9,15.9,23.2,"(0.003, 0.003)","(0.6, 0.7)","(0.5, 0.5)",366
80146-01-40-00,H1743-322,C,high,1.701,20.3,14.9,25.2,"(0.004, 0.004)","(0.7, 0.8)","(0.5, 0.6)",367
80146-01-41-00,H1743-322,C,high,2.498,17.7,14.2,22.7,"(0.003, 0.003)","(0.6, 0.7)","(0.4, 0.5)",368
80146-01-42-00,H1743-322,C,high,3.2,17.5,11.7,21.0,"(0.004, 0.004)","(0.4, 0.5)","(0.3, 0.3)",369
80146-01-43-00,H1743-322,C,high,3.769,14.4,15.5,21.1,"(0.007, 0.007)","(0.5, 0.5)","(0.5, 0.5)",370
80146-01-43-01,H1743-322,C,high,3.811,13.7,14.6,20.0,"(0.009, 0.009)","(0.7, 0.8)","(0.5, 0.6)",371
80146-01-44-00,H1743-322,C,high,3.778,14.1,15.4,20.9,"(0.008, 0.008)","(0.9, 1.2)","(0.9, 1.0)",372
80146-01-45-00,H1743-322,C,high,3.606,17.3,11.7,20.9,"(0.004, 0.004)","(0.5, 0.6)","(0.3, 0.4)",373
80146-01-46-00,H1743-322,C,high,4.63,12.5,16.0,20.3,"(0.009, 0.009)","(0.6, 0.7)","(0.6, 0.7)",374
80146-01-47-00,H1743-322,C,high,6.665,7.0,14.5,16.1,"(0.047, 0.047)","(0.6, 0.7)","(0.6, 0.7)",375
80146-01-50-00,H1743-322,C,high,9.44,2.5,9.6,9.9,"(0.017, 0.017)","(0.5, 0.4)","(0.5, 0.4)",376
