observation_ID,A,B,C,D,E,F
10258-01-02-00,1761.0,0.8816079745077211,0.944171,2.27493,7.98857,3.74932
10408-01-42-00,3197.0,0.9204573496750843,1.01387,2.42326,12.2701,4.45424
10408-01-45-00,1756.0,0.9013463147486118,0.65993,2.43785,19.8685,7.12755
20186-03-02-05,2611.0,0.9454402206027182,0.731863,2.56586,50.8018,7.22535
20402-01-01-00,2953.0,0.9304297380516756,0.732321,2.599,99.2503,7.7694
20402-01-02-01,2249.0,0.9183131819522264,0.67577,2.61414,999.523,8.81938
20402-01-04-00,2184.0,0.9194353170256784,0.828082,2.60496,998.365,6.32076
20402-01-05-00,1409.0,0.8848203711014607,0.662655,2.54416,999.442,7.62327
20402-01-07-00,1313.0,0.8872559311358388,0.690745,2.49231,998.726,6.25598
20402-01-08-00,1318.0,0.9023662593485635,0.780938,2.45754,1000.0,4.74116
20402-01-08-01,1233.0,0.8931412409404278,0.794038,2.4223,1000.0,4.24554
20402-01-09-00,1096.0,0.8774557084115945,0.759222,2.3928,987.683,4.14591
20402-01-10-00,986.2,0.877696833847016,0.796592,2.3526,999.998,3.45917
20402-01-11-00,907.4,0.8766659550458995,0.774532,2.32163,1000.0,3.26042
20402-01-12-00,884.7,0.8708453387495474,0.785516,2.29503,999.818,2.94369
20402-01-13-00,936.5,0.8919372576257453,0.615666,2.32436,1000.0,4.01847
20402-01-14-00,908.5,0.8901164526724396,0.856116,2.26867,1000.0,2.34172
20402-01-15-00,811.8,0.8537780422076785,0.64849,2.29405,1000.0,3.38478
20402-01-16-00,796.2,0.8726267473398707,0.867623,2.22881,997.914,2.06385
20402-01-18-00,840.5,0.879889870368246,0.694183,2.26099,1000.0,2.83053
20402-01-19-00,755.2,0.8516085311447018,0.644939,2.2531,1000.0,2.98813
20402-01-20-00,803.9,0.878252390646116,0.695834,2.24039,1000.0,2.62427
20402-01-21-00,787.8,0.8869111027112472,0.885634,2.18613,1000.0,1.75491
20402-01-21-01,795.1,0.889742630809506,0.76976,2.21173,1000.0,2.14765
20402-01-24-00,947.0,0.868922713166839,0.764665,2.21241,1000.0,2.16514
20402-01-27-01,1260.0,0.9054859299785822,0.777342,2.21484,1000.0,2.13388
20402-01-47-01,3024.0,0.9509357612544259,0.906126,2.18191,999.991,1.67719
20402-01-48-00,3863.0,0.9500551968688321,0.739878,2.23,1000.0,2.36179
20402-01-49-01,1818.0,0.9230883665575721,0.864181,2.20521,1000.0,1.8818
20402-01-50-00,1514.0,0.8755706653715396,0.699203,2.25246,1000.0,2.65917
20402-01-50-01,1514.0,0.8818094321462946,0.862348,2.21447,999.991,1.94388
20402-01-51-00,1504.0,0.8881032011466794,0.837411,2.22478,999.998,2.06943
30182-01-01-00,1445.0,0.8863747673621315,0.841887,2.22485,999.078,2.07206
30182-01-01-01,1380.0,0.8792160907684373,0.838547,2.22884,1000.0,2.10055
30182-01-02-01,1598.0,0.8954834218083718,0.841311,2.23176,999.806,2.10683
30182-01-04-02,1734.0,0.9011512504962287,0.636813,2.28203,1000.0,3.2314
30402-01-09-00,2005.0,0.9186715662483533,0.592556,2.29376,1000.0,3.60411
30402-01-09-01,2016.0,0.9204475255679868,0.813338,2.25774,991.62,2.32742
30402-01-10-00,1996.0,0.9140883783212347,0.805798,2.26219,999.509,2.39117
30402-01-12-00,1776.0,0.9101682863237733,0.780514,2.27434,1000.0,2.55161
30402-01-12-01,1771.0,0.9043575776994552,0.773437,2.28072,1000.0,2.61861
30402-01-12-02,1769.0,0.9033866945539378,0.76188,2.28727,999.603,2.70819
30402-01-12-03,1762.0,0.9049955755771861,0.453977,2.33447,1000.0,5.28161
30402-01-16-00,1307.0,0.866543196426626,0.774865,2.29091,1000.0,2.68209
30402-01-17-00,1563.0,0.8932480952797968,0.775259,2.29225,1000.0,2.69774
30402-01-18-00,1098.0,0.8696097248880359,0.447347,2.33662,1000.0,5.41456
30703-01-14-00,1965.0,0.912925364598227,0.766758,2.29656,999.895,2.76966
30703-01-15-00,1948.0,0.9098805646036916,0.415226,2.34412,1000.0,5.94888
30703-01-16-00,1839.0,0.9033059133943816,0.402817,2.34696,1000.0,6.17577
30703-01-17-00,1765.0,0.8889256745571925,0.393158,2.34859,1000.0,6.36084
30703-01-18-00,1953.0,0.9168354165211927,0.682545,2.32235,999.969,3.41565
30703-01-19-00,1613.0,0.8885596264367817,0.371459,2.35423,1000.0,6.7993
30703-01-20-00,1536.0,0.8672686668608602,0.362048,2.35426,1000.0,6.97466
30703-01-21-00,1623.0,0.8979413053000438,0.681435,2.32867,999.999,3.50169
30703-01-22-00,1551.0,0.8959202175883954,0.628341,2.33765,1000.0,3.93512
30703-01-22-01,1551.0,0.8955914368650219,0.668337,2.33611,1000.0,3.65034
30703-01-23-00,1755.0,0.8983507770377418,0.335524,2.36427,1000.0,7.62143
30703-01-23-01,1416.0,0.8851068077460571,0.33255,2.36567,1000.0,7.70638
30703-01-24-00,1210.0,0.8637541215261422,0.333776,2.36382,1000.0,7.66495
30703-01-24-01,1208.0,0.8720065101139269,0.688357,2.33513,1000.0,3.53592
30703-01-24-02,1178.0,0.8714677477047813,0.334562,2.36336,1000.0,7.64539
30703-01-31-00,1670.0,0.8984821282846417,0.333855,2.36534,1000.0,7.70725
30703-01-33-00,1405.0,0.8880267164325705,0.336146,2.36597,1000.0,7.69388
30703-01-34-00,1023.0,0.842501776830135,0.686517,2.3335,999.82,3.55016
30703-01-35-00,1216.0,0.861829727187206,0.673869,2.33501,1000.0,3.64603
30703-01-36-00,1311.0,0.8780279585956675,0.328315,2.36073,1000.0,7.74614
30703-01-41-00,1234.0,0.8585445625511038,0.692391,2.33082,1000.0,3.51174
40115-01-10-00G,1635.0,0.9042599529575747,0.662846,2.33658,1000.0,3.75135
40115-01-10-01,1664.0,0.9088596863077575,0.671444,2.33723,999.731,3.70103
40115-01-10-02,1760.0,0.9136490250696379,0.663189,2.34073,999.86,3.78685
40116-01-01-00,1373.0,0.882546070747723,0.306627,2.36604,1000.0,8.2632
40116-01-01-01,1458.0,0.8924773532886963,0.632324,2.34732,1000.0,4.06653
40116-01-01-02,1431.0,0.8890231621349446,0.299147,2.36821,1000.0,8.45134
40116-01-01-03,1400.0,0.8848422141748578,0.293695,2.36894,1000.0,8.56851
40116-01-01-04,1268.0,0.8688639551192145,0.286902,2.36886,1000.0,8.69033
40116-01-01-05,1230.0,0.8648452611218569,0.656362,2.34459,997.559,3.88355
40116-01-01-06,1247.0,0.8666745956232159,0.634298,2.34695,1000.0,4.06802
40116-01-01-07,1268.0,0.8704608938547487,0.265016,2.3677,1000.0,9.05831
40116-01-02-00,1475.0,0.8904082828677475,0.574623,2.35237,1000.0,4.61906
40116-01-02-01,1408.0,0.8864174647307178,0.261014,2.36935,1000.0,9.17943
40116-01-02-02,1431.0,0.8865499443376176,0.255823,2.37015,1000.0,9.29365
40116-01-02-03,1442.0,0.886826527540885,0.254265,2.3707,1000.0,9.34404
40116-01-02-04,2086.0,0.9089072914562715,0.522904,2.35871,1000.0,5.21573
40116-01-02-05,1843.0,0.9045611345343043,0.251276,2.37312,1000.0,9.48595
40116-01-02-06,1709.0,0.8997172792283387,0.247078,2.37428,1000.0,9.59743
40116-01-02-07,1698.0,0.8994399398144278,0.584808,2.3599,1000.0,4.63727
40403-01-01-00,1341.0,0.8690021231422506,0.244898,2.3749,1000.0,9.67686
40403-01-09-00,1356.0,0.8809116199443613,0.2445,2.37427,1000.0,9.68318
40403-01-10-00,3373.0,0.9198520345252774,0.570913,2.359,999.999,4.78535
40403-01-11-00,2482.0,0.9100112485939258,0.244496,2.37454,1000.0,9.74297
40703-01-01-00,1285.0,0.8647714604236344,0.245855,2.37306,1000.0,9.69932
40703-01-02-00,1881.0,0.8940397350993378,0.516621,2.35987,1000.0,5.39271
40703-01-05-00,1604.0,0.9027191352812025,0.244959,2.37385,1000.0,9.78104
40703-01-09-00,1432.0,0.8789494868182733,0.244354,2.37354,1000.0,9.79834
40703-01-15-01,1386.0,0.8894285419034825,0.505553,2.3622,1000.0,5.56117
