observation_ID,gamma,kTe,nthcomp_norm,diskbb_tin,diskbb_norm,red_stat
70702-01-07-00,0.841904,4.70936E-11,2.36336,10.7286,4.59278,50.013921465968586
70702-01-08-00,0.837572,1.21061E-13,2.34990,10.1781,4.55981,49.16287901990812
70702-01-08-01,0.860625,5.40980E-05,2.36391,10.8105,4.44594,48.10546812749004
70702-01-09-00,0.843419,1.28435E-10,2.34972,10.6496,4.44280,48.68298492950899
70702-01-10-00,0.824599,8.60340E-04,2.33891,10.4768,4.49395,48.44245014245014
70702-01-11-00,0.813356,6.11595E-11,2.32316,10.1858,4.45060,48.79921113689095
70702-01-11-01,0.799979,1.20351E-11,2.31104,10.0753,4.43586,49.12059891107078
70702-01-12-00,0.774439,3.71391E-12,2.30817,10.2252,4.56706,48.91828672880603
70702-01-12-01,0.748390,3.27945E-12,2.30350,10.2913,4.70496,48.655994787141616
70702-01-14-00,0.723867,2.76173E-02,2.30165,10.5617,4.83538,48.776903445342406
70702-01-18-00,0.709030,7.94560E-11,2.29834,10.5484,4.91899,48.20308333333333
70702-01-18-01,0.701408,5.74834E-13,2.29999,10.7587,4.97553,47.50387913434055
70702-01-19-00,0.693065,6.99919E-11,2.29791,10.8302,5.02540,46.685068054443555
70702-01-20-00,0.685024,5.11615E-02,2.30185,11.0101,5.13223,45.39544562230075
70702-01-20-01,0.683584,0.174208,2.30484,11.1913,5.17242,44.23613251155624
70702-01-21-00,0.690814,4.15165E-10,2.30861,11.4072,5.14326,43.05126654064272
70702-01-21-01,0.678205,6.79164E-11,2.30539,11.2877,5.24328,42.13173719376392
70702-01-22-00,0.688892,3.45983E-11,2.31346,11.8307,5.21492,40.743456069996355
70702-01-23-00,0.671013,3.32271E-11,2.30747,11.5211,5.36102,39.715293696275076
70702-01-24-00,0.663713,2.11446E-12,2.31801,12.3415,5.45050,39.69475536782823
70702-01-25-00,0.664615,1.61664E-05,2.31907,12.3769,5.46539,38.68840830449827
70702-01-25-01,0.665338,3.04339E-11,2.32253,12.4974,5.50411,37.59680163320857
70702-01-32-00,0.679723,2.02244E-12,2.32972,12.6952,5.41184,37.0024765729585
70702-01-32-01,0.679456,2.99925E-11,2.33276,12.6155,5.44058,36.3937108989134
70702-01-32-02,0.692684,8.62759E-03,2.34005,12.9606,5.35910,35.81173039533377
70702-01-44-00,0.698607,1.82057E-03,2.34376,12.6333,5.34688,35.124848484848485
70702-01-44-01,0.703872,6.35392E-05,2.34618,12.0765,5.33120,34.629899497487436
70702-01-45-00,0.720525,8.84947E-13,2.35463,11.7406,5.25328,34.05827404887101
70702-01-46-00,0.735170,9.29214E-12,2.36289,11.7728,5.17718,33.54564290067032
70702-01-47-00,0.728450,2.36863E-04,2.36310,11.6682,5.25755,32.79816871810267
70702-01-47-01,0.741373,6.11962E-11,2.36642,11.7209,5.17133,32.1492899408284
70702-01-48-00,0.750211,1.49958E-11,2.36858,11.6259,5.11844,31.569728783902015
70702-01-48-01,0.747410,2.77100E-10,2.36839,11.5033,5.15383,30.99332949971248
70702-01-50-00,0.747791,4.55190E-05,2.36670,11.4109,5.15414,30.36495605330309
