observation_ID,A,B,C,D,E,F
80127-05-05-02,2205.0,0.807513,2.25025e-14,2.40965,10.6159,5.05696
80188-01-01-00,1658.0,0.80271,3.97988e-11,2.40735,10.5242,5.09109
80188-01-01-01,1659.0,0.81482,3.90837e-12,2.40965,10.6252,4.99764
80188-01-01-02,1672.0,0.810707,1.32361e-12,2.40903,10.6247,5.03083
80188-01-01-03,1665.0,0.819831,8.68468e-11,2.4096,10.6065,4.96003
80188-01-01-04,1651.0,0.825631,2.21786e-11,2.41082,10.6684,4.91724
80188-02-01-00,1534.0,0.830422,0.00310354,2.40956,10.7129,4.86847
80188-03-01-01,1511.0,0.818242,6.53534e-14,2.39702,10.2555,4.90806
80701-01-01-00,1438.0,0.842726,2.09722e-10,2.40972,10.8159,4.75956
80701-01-01-01,1434.0,0.839706,8.25548e-12,2.40783,10.806,4.76756
80701-01-01-02,1468.0,0.842763,1.56126e-12,2.40811,10.8394,4.74017
80701-01-02-00,1459.0,0.849338,2.83551e-09,2.40828,10.8454,4.68379
80701-01-02-01,1461.0,0.828477,1.3707e-13,2.39525,10.335,4.78493
80701-01-02-02,1488.0,0.840012,2.71013e-12,2.40782,10.9002,4.74015
80701-01-08-01,2584.0,0.846305,2.5889e-12,2.41044,10.966,4.7127
80701-01-11-00,1497.0,0.834507,1.49953e-12,2.40776,10.9935,4.78208
80701-01-11-01,1416.0,0.834998,8.27308e-11,2.40697,10.9901,4.76786
80701-01-11-02,1472.0,0.830233,1.77023e-11,2.40597,11.0455,4.79054
80701-01-12-00,1578.0,0.824789,0.0133159,2.4054,11.121,4.82533
80701-01-19-00,1849.0,0.82257,9.47631e-11,2.40686,11.2159,4.85253
80701-01-19-01,1869.0,0.813211,6.3584e-11,2.40709,11.29,4.93178
80701-01-19-02,1764.0,0.797376,5.56674e-14,2.39536,10.7577,5.01342
80701-01-19-03,1609.0,0.808046,3.5295e-12,2.40848,11.4376,4.97895
80701-01-23-00,1343.0,0.807685,3.29285e-11,2.40628,11.4703,4.95646
80701-01-23-01,1313.0,0.796252,1.80483e-11,2.40321,11.4689,5.02518
80701-01-23-02,1383.0,0.797124,1.05192e-11,2.4024,11.5446,5.0015
80701-01-26-00,1307.0,0.791843,9.4649e-12,2.40231,11.7589,5.0261
80701-01-32-00,1189.0,0.791318,8.2137e-09,2.40103,11.9641,4.99658
80701-01-40-01,2090.0,0.792316,0.00992372,2.40176,11.8077,5.0003
80701-01-51-00,1232.0,0.790359,0.00222704,2.40125,12.0554,4.98925
80701-01-52-01,1933.0,0.789903,1.63203e-12,2.40301,12.1317,5.00596
80701-01-53-00,1358.0,0.783232,3.0167e-13,2.40195,12.2134,5.04533
80701-01-53-01,1294.0,0.720182,6.55157e-13,2.38828,11.6851,5.5516
80701-01-54-00,1278.0,0.770326,2.38113e-10,2.3969,12.1808,5.10817
80701-01-54-01,1434.0,0.764352,4.16093e-11,2.39571,12.2173,5.14787
80701-01-54-02,1278.0,0.757977,3.23689e-11,2.39377,12.2576,5.18219
80701-01-55-00,1227.0,0.728841,1.95881e-13,2.37707,11.4866,5.34713
80701-01-55-01,1209.0,0.743431,8.84595e-11,2.38747,12.2821,5.24156
80701-01-55-02,1104.0,0.741287,1.61059e-10,2.38791,12.5527,5.23113
80701-01-56-00,1047.0,0.739862,6.04566e-08,2.38745,12.8682,5.19754
