CHANNEL,COUNTS
50.0,6.986124947673936
51.0,16.966303444350988
52.0,5.988107098006231
53.0,7.984142797341642
54.0,7.984142797341642
55.0,14.970267745015578
56.0,6.986124947673936
57.0,13.972249895347872
58.0,10.978196346344758
59.0,12.974232045680168
60.0,6.986124947673936
61.0,8.982160647009346
62.0,4.990089248338526
63.0,15.968285594683284
64.0,10.978196346344758
65.0,9.980178496677052
66.0,10.978196346344758
67.0,6.986124947673936
68.0,4.990089248338526
69.0,6.986124947673936
70.0,5.988107098006231
71.0,8.982160647009346
72.0,12.974232045680168
73.0,9.980178496677052
74.0,8.982160647009346
75.0,4.990089248338526
76.0,5.988107098006231
77.0,8.982160647009346
78.0,10.978196346344758
79.0,10.978196346344758
80.0,8.982160647009346
81.0,8.982160647009346
82.0,15.968285594683284
83.0,13.972249895347872
84.0,6.986124947673936
85.0,7.984142797341642
86.0,14.970267745015578
87.0,12.974232045680168
88.0,17.964321294018692
89.0,20.958374843021808
90.0,11.976214196012462
91.0,28.94251764036345
92.0,24.95044624169263
93.0,21.956392692689516
94.0,25.948464091360336
95.0,34.93062473836968
96.0,28.94251764036345
97.0,31.936571189366568
98.0,28.94251764036345
99.0,38.922696137040504
100.0,43.91278538537903
101.0,47.90485678404985
102.0,62.875124529065424
103.0,60.879088829730016
104.0,73.85332087541019
105.0,60.879088829730016
106.0,90.81962431976118
107.0,106.78790991444446
108.0,110.77998131311527
109.0,109.78196346344757
110.0,126.74826690779857
111.0,114.7720527117861
112.0,147.70664175082038
113.0,158.6848380971651
114.0,151.6987131494912
115.0,168.66501659384218
116.0,180.64123078985463
117.0,175.65114154151613
118.0,199.60356993354105
119.0,214.57383767855663
120.0,216.56987337789204
121.0,236.53023037124612
122.0,249.5044624169263
123.0,272.4588729592835
124.0,299.4053549003116
125.0,315.37364049499485
126.0,301.40139059964696
127.0,320.36372974333335
128.0,328.347872540675
129.0,347.31021168436143
130.0,349.3062473836968
131.0,372.260657926054
132.0,346.3121938346937
133.0,362.280479429377
134.0,344.3161581353583
135.0,394.21705061874354
136.0,380.24480072339566
137.0,386.2329078214019
138.0,428.1496575074455
139.0,437.1318181544549
140.0,454.09812159880585
141.0,484.038657088837
142.0,457.092175147809
143.0,514.9772104285358
144.0,507.99108548086195
145.0,518.9692818272067
146.0,521.9633353762098
147.0,568.870174310592
148.0,541.9236923695639
149.0,535.9355852715577
150.0,577.8523349576013
151.0,597.8126919509555
152.0,562.8820672125858
153.0,588.830531303946
154.0,615.7770132449741
155.0,591.8245848529492
156.0,640.7274594866667
157.0,634.7393523886604
158.0,594.8186384019523
