observation_ID,MJD
70702-01-06-00,52430.99685185185
70702-01-06-01,52431.064259259256
70702-01-07-00,52438.04203703704
70702-01-08-00,52766.057962962965
70702-01-08-01,52766.13
70702-01-09-00,52452.1562962963
70702-01-10-00,52458.97796296296
70702-01-11-00,52465.0462962963
70702-01-11-01,52464.97759259259
70702-01-12-00,52472.88444444445
70702-01-12-01,52473.02185185185
70702-01-14-00,52486.85611111111
70702-01-18-00,52513.77314814815
70702-01-18-01,52513.84240740741
70702-01-19-00,52520.75796296296
70702-01-20-00,52527.74259259259
70702-01-20-01,52527.8112962963
70702-01-21-00,52535.71296296296
70702-01-21-01,52535.778703703705
70702-01-22-00,52542.69203703704
70702-01-23-00,52550.727222222224
70702-01-24-00,52556.65703703704
70702-01-25-00,52564.65592592592
70702-01-25-01,52564.72537037037
70702-01-32-00,52772.043333333335
70702-01-32-01,52772.11277777778
70702-01-32-02,52772.18111111111
70702-01-44-00,53045.35055555555
70702-01-44-01,53045.47777777778
70702-01-45-00,53054.39833333333
70702-01-46-00,52717.23055555556
70702-01-47-00,52725.21277777778
70702-01-47-01,52725.28092592592
70702-01-48-00,52732.18148148148
70702-01-48-01,52732.24962962963
70702-01-50-00,52745.188888888886
70702-01-50-01,52745.262407407405
70702-01-51-00,52752.22666666667
70702-01-52-00,52760.11814814815
70702-01-54-00,53077.27259259259
70702-01-54-01,53077.34111111111
70703-01-01-02,52365.14814814815
70703-01-01-03,52365.21685185185
70703-01-01-04,52365.28481481481
70703-01-01-05,52365.3537037037
70703-01-01-07,52365.65925925926
70703-01-01-08,52365.722962962966
70703-01-01-10,52366.13703703704
70703-01-01-11,52366.20574074074
70703-01-01-12,52366.27444444445
70703-01-01-13,52366.34333333333
70703-01-01-14,52362.80018518519
80127-02-01-01,52739.53277777778
80127-02-02-00,52739.21703703704
80127-02-02-01,52739.08185185185
80127-02-02-02,52739.013333333336
80127-02-03-00,52739.28333333333
80127-05-05-00,53140.01981481481
80127-05-05-01,53140.15666666667
80127-05-05-02,53140.08777777778
80188-01-01-00,53084.36351851852
80188-01-01-01,53084.22740740741
80188-01-01-02,53084.43185185185
80188-01-01-03,53084.29592592592
80188-01-01-04,53084.49962962963
80188-02-01-00,53094.58055555556
80188-03-01-01,53103.12
80701-01-01-00,52780.06518518519
80701-01-01-01,52780.13351851852
80701-01-01-02,52780.20111111111
80701-01-02-00,52786.04555555555
80701-01-02-01,52786.11407407408
80701-01-02-02,52786.18037037037
80701-01-08-01,54033.74314814815
80701-01-11-00,52835.88518518519
80701-01-11-01,52836.02166666667
80701-01-11-02,52835.95333333333
80701-01-12-00,52843.96240740741
80701-01-19-00,54051.57425925926
80701-01-19-01,54051.64222222223
80701-01-19-02,54051.709444444445
80701-01-19-03,54051.77740740741
80701-01-23-00,54060.53925925926
80701-01-23-01,54060.60666666667
80701-01-23-02,54060.73314814815
80701-01-26-00,54067.53444444444
80701-01-32-00,54073.62222222222
80701-01-40-01,53001.60574074074
80701-01-51-00,54078.47592592592
80701-01-52-01,54090.61074074074
80701-01-53-00,54097.47740740741
80701-01-53-01,54097.54555555555
80701-01-54-00,54100.42074074074
80701-01-54-01,54100.55592592592
80701-01-54-02,54100.48907407408
80701-01-55-00,54111.414814814816
80701-01-55-01,54111.48092592593
80701-01-55-02,54111.542962962965
80701-01-56-00,54118.407222222224
80701-01-57-00,54124.36388888889
80701-01-58-00,54131.36851851852
80701-01-58-01,54131.56592592593
80701-01-58-02,54131.43518518518
80701-01-58-03,54131.50092592592
80701-01-59-00,54137.35240740741
80701-01-59-01,54137.42333333333
80701-01-59-02,54137.5237037037
80701-01-60-00,54144.35796296296
80701-01-60-02,54144.49444444444
80701-01-61-00,54151.29203703704
80701-01-61-01,54151.36055555556
80701-01-61-02,54151.49611111111
80701-01-62-00,54159.27462962963
80701-01-62-01,54159.34296296296
80701-01-62-02,54159.41
90105-01-03-00,53140.22388888889
90105-01-03-01,53140.29055555556
90105-02-01-00,53139.03648148148
90105-02-01-01,53139.17259259259
90105-02-01-02,53139.24111111112
90105-02-02-00,53139.30722222223
90105-02-03-00,53139.10444444444
90105-02-04-00,53852.152962962966
90105-02-05-00,53996.154444444444
90105-05-03-00,53442.96759259259
90105-05-03-01,53443.03722222222
90105-05-03-02,53443.10518518519
90105-05-03-03,53443.24185185185
90105-05-03-04,53444.01907407407
90105-05-03-05,53444.0887037037
90105-07-01-00,53472.92018518518
90105-07-02-00,53473.054444444446
90105-07-03-00,53473.97240740741
90105-09-02-00,54025.427407407406
90105-09-05-00,54058.95574074074
90105-09-06-00,54166.93907407407
90105-09-07-00,54173.15796296296
90105-09-08-01,54177.39425925926
90105-10-01-00,54187.8662962963
90105-10-05-00,54214.57944444445
90105-10-06-00,54226.62185185185
90105-10-07-00,54232.44888888889
90108-01-02-00,53124.07462962963
90108-01-03-00,53125.12944444444
90108-01-04-00,53126.11351851852
90108-01-05-00,53127.09685185185
90108-01-06-00,53128.14962962963
90412-01-01-00,53132.52203703704
90701-01-01-00,53089.21518518519
90701-01-01-02,53089.35037037037
90701-01-02-00,53094.20037037037
90701-01-02-01,53094.26833333333
90701-01-02-02,53094.333703703705
90701-01-02-03,53094.40277777778
90701-01-03-00,53100.23166666667
90701-01-04-00,53109.30370370371
90701-01-05-00,53117.11407407408
90701-01-06-00,53122.10648148148
90701-01-07-00,53131.09962962963
90701-01-07-01,53131.168333333335
90701-01-08-00,53137.07037037037
90701-01-18-00,53204.91944444445
90701-01-19-00,53214.88851851852
90701-01-26-00,53264.88925925926
90701-01-48-00,53416.47777777778
90701-01-50-00,53431.38462962963
90701-01-50-01,53431.31555555556
91701-01-01-00,53439.31240740741
91701-01-01-01,53439.447592592594
91701-01-02-00,53446.25666666667
91701-01-02-01,53446.39296296296
91701-01-02-02,53446.45814814815
91701-01-03-00,53448.22111111111
91701-01-03-01,53448.28944444445
91701-01-04-00,53456.28092592592
91701-01-06-00,53472.264814814815
91701-01-07-00,53479.246666666666
91701-01-14-01,53740.53443287037
91701-01-15-00,54173.41203703704
91701-01-22-00,53794.31518518519
91701-01-30-00,53788.42648148148
91701-01-30-01,53788.28925925926
91701-01-31-00,53646.76703703704
91701-01-32-00,53653.77407407408
91701-01-32-01,53653.70722222222
91701-01-33-01,53659.982777777775
91701-01-34-00,53669.691666666666
91701-01-34-01,53669.75722222222
91701-01-42-00,53723.472962962966
91701-01-42-01,53723.542962962965
91701-01-43-00,53730.41722222222
91701-01-43-01,53730.51185185185
91701-01-44-00,53740.466840277775
91701-01-44-01,53740.60239583333
91701-01-45-00,53744.46072916667
91701-01-48-00,54183.22037037037
91701-01-49-00,53771.51055555556
91701-01-50-00,53778.30777777778
91701-01-51-00,54193.19611111111
91701-01-51-01,54193.26425925926
91701-01-51-02,54193.33277777778
91701-01-54-00,54213.997407407405
91701-01-54-01,54214.06555555556
91701-01-55-00,54222.10722222222
91701-01-56-00,54229.11111111111
91701-01-57-00,54235.13222222222
91701-01-57-01,54235.19814814815
91701-01-57-02,54235.26407407408
91701-01-58-00,54243.14851851852
91701-01-58-02,54243.25092592592
91701-01-59-00,54251.19814814815
91701-01-59-01,54251.13074074074
91701-01-60-02,54256.16925925926
91701-01-64-00,54615.07518518518
91701-01-64-01,54615.203888888886
91701-01-65-00,54619.06296296296
91701-01-65-01,54619.13351851852
91701-01-66-00,54628.14537037037
91701-01-67-00,54633.054444444446
91701-01-68-00,54642.956666666665
91701-01-68-01,54643.02740740741
91701-01-68-02,54643.1287037037
91701-01-69-00,54644.98777777778
91701-01-69-01,54645.05666666666
91701-01-71-00,54660.945555555554
91701-01-71-01,54661.01351851852
91701-01-73-00,54673.03648148148
91701-01-74-00,54679.054814814815
91701-01-76-00,54697.85666666667
91701-01-76-01,54697.924629629626
91701-01-78-00,54711.71648148148
91701-01-79-00,54717.73370370371
91701-01-79-01,54717.8012962963
91701-01-80-00,54723.81222222222
92082-03-01-00,53834.84092592593
92437-01-01-00,54228.98074074074
92702-01-01-00,53803.28444444444
92702-01-01-01,53803.35259259259
92702-01-02-00,53809.2412962963
92702-01-02-01,53809.30685185185
92702-01-03-00,53815.195
92702-01-05-00,53829.20814814815
92702-01-05-01,54011.69092592593
92702-01-06-00,53837.15796296296
92702-01-08-00,53851.10351851852
92702-01-08-01,53851.17074074074
92702-01-08-02,53851.2387037037
92702-01-08-03,53851.30722222223
92702-01-09-00,53859.22407407408
92702-01-20-01,53934.00277777778
92702-01-20-02,53934.06888888889
92702-01-21-00,53939.85592592593
92702-01-21-01,53939.96407407407
92702-01-21-02,53940.06148148148
92702-01-22-00,53947.9112962963
92702-01-22-01,53947.84333333333
92702-01-28-00,54005.86777777778
92702-01-28-01,54005.80111111111
92702-01-29-00,54011.75314814815
92702-01-30-00,54019.66537037037
92702-01-31-00,54589.09425925926
92702-01-31-01,54589.27722222222
92702-01-32-00,54597.08851851852
92702-01-32-01,54597.15777777778
92702-01-32-02,54597.22537037037
92702-01-33-00,54605.06851851852
94701-01-10-00,54895.1675925926
94701-01-11-00,54900.71055555555
94701-01-12-00,54909.234444444446
94701-01-12-01,54909.302407407406
94701-01-13-00,54914.46759259259
94701-01-34-00,55063.804444444446
94701-01-34-01,55063.872407407405
94701-01-35-00,55068.97055555556
94701-01-46-00,55144.527962962966
96701-01-52-00,55921.44203703704
