observation_ID,frequency,width,norm
80701-01-61-00,3.535,0.366,11.74
80701-01-61-00,0,0,0
80701-01-61-01,3.654,0.387,10.851
80701-01-61-01,0,0,0
80701-01-61-02,3.353,0.367,12.38
80701-01-61-02,0,0,0
80701-01-62-00,2.459,0.275,12.957
80701-01-62-00,0,0,0
80701-01-62-01,2.391,0.251,12.385
80701-01-62-01,0,0,0
80701-01-62-02,2.458,0.289,12.842
80701-01-62-02,0,0,0
90105-01-03-00,4.809,0.685,7.016
90105-01-03-00,0,0,0
90105-01-03-01,4.968,0.806,6.728
90105-01-03-01,0,0,0
90105-02-01-00,5.186,0.549,5.462
90105-02-01-00,0,0,0
90105-02-01-01,5.707,0.924,4.825
90105-02-01-01,0,0,0
90105-02-01-02,5.086,0.655,6.193
90105-02-01-02,0,0,0
90105-02-02-00,5.085,0.721,6.447
90105-02-02-00,0,0,0
90105-02-03-00,5.316,0.804,5.471
90105-02-03-00,0,0,0
90105-02-04-00,4.176,0.504,10.071
90105-02-04-00,0,0,0
90105-02-05-00,3.974,0.615,10.324
90105-02-05-00,0,0,0
90105-05-03-00,0.897,0.115,11.943
90105-05-03-00,0,0,0
90105-05-03-01,0.968,0.098,11.61
90105-05-03-01,0,0,0
90105-05-03-02,0.974,0.069,10.821
90105-05-03-02,0,0,0
90105-05-03-03,0.97,0.074,10.374
90105-05-03-03,0,0,0
90105-05-03-04,1.391,0.146,12.548
90105-05-03-04,0,0,0
90105-05-03-05,1.307,0.155,12.75
90105-05-03-05,0,0,0
90105-07-01-00,4.014,0.521,10.583
90105-07-01-00,0,0,0
90105-07-02-00,3.885,0.631,11.135
90105-07-02-00,0,0,0
90105-07-03-00,4.093,0.576,10.677
90105-07-03-00,0,0,0
90105-09-02-00,2.87,0.264,13.678
90105-09-02-00,0,0,0
90105-09-05-00,3.882,0.439,10.319
90105-09-05-00,0,0,0
90105-09-06-00,2.975,0.121,12.677
90105-09-06-00,0,0,0
90105-09-07-00,2.27,0.201,13.156
90105-09-07-00,0,0,0
90105-09-08-01,2.996,0.263,12.409
90105-09-08-01,0,0,0
90105-10-01-00,2.152,0.088,13.708
90105-10-01-00,0,0,0
90105-10-05-00,3.748,0.447,11.151
90105-10-05-00,0,0,0
90105-10-06-00,2.047,0.056,15.393
90105-10-06-00,0,0,0
90105-10-07-00,2.144,0.066,15.342
90105-10-07-00,0,0,0
90108-01-02-00,2.321,0.17,11.976
90108-01-02-00,0,0,0
90108-01-03-00,1.738,0.151,11.043
90108-01-03-00,0,0,0
90108-01-04-00,1.418,0.125,11.022
90108-01-04-00,0,0,0
90108-01-05-00,1.496,0.126,10.932
90108-01-05-00,0,0,0
90108-01-06-00,1.109,0.083,9.845
90108-01-06-00,0,0,0
90412-01-01-00,2.424,0.247,12.521
90412-01-01-00,0,0,0
90701-01-01-00,0.891,0.126,10.856
90701-01-01-00,0,0,0
90701-01-01-02,0.912,0.136,11.011
90701-01-01-02,0,0,0
90701-01-02-00,0.799,0.074,9.513
90701-01-02-00,0,0,0
90701-01-02-01,0.821,0.084,10.02
90701-01-02-01,0,0,0
90701-01-02-02,0.805,0.076,9.839
90701-01-02-02,0,0,0
90701-01-02-03,0.777,0.117,10.93
90701-01-02-03,0,0,0
90701-01-03-00,0.552,0.065,8.522
90701-01-03-00,0,0,0
90701-01-04-00,0.828,0.058,9.745
90701-01-04-00,0,0,0
90701-01-05-00,0.691,0.076,9.089
90701-01-05-00,0,0,0
90701-01-06-00,2.372,0.206,12.221
90701-01-06-00,0,0,0
90701-01-07-00,2.21,0.181,12.056
90701-01-07-00,0,0,0
90701-01-07-01,2.159,0.189,11.959
90701-01-07-01,0,0,0
90701-01-08-00,3.624,0.305,9.937
90701-01-08-00,0,0,0
90701-01-18-00,3.502,0.612,12.111
90701-01-18-00,0,0,0
90701-01-19-00,2.12,0.147,14.266
90701-01-19-00,0,0,0
90701-01-26-00,2.747,0.186,14.139
90701-01-26-00,0,0,0
90701-01-48-00,1.822,0.19,12.917
90701-01-48-00,0,0,0
90701-01-50-00,1.691,0.209,13.371
90701-01-50-00,0,0,0
90701-01-50-01,1.707,0.215,13.224
90701-01-50-01,0,0,0
91701-01-01-00,1.002,0.141,12.308
91701-01-01-00,0,0,0
91701-01-01-01,1.011,0.115,10.928
91701-01-01-01,0,0,0
91701-01-02-00,1.25,0.16,12.168
91701-01-02-00,0,0,0
91701-01-02-01,1.338,0.161,13.562
91701-01-02-01,0,0,0
91701-01-02-02,1.254,0.196,13.398
91701-01-02-02,0,0,0
91701-01-03-00,0.749,0.067,10.073
91701-01-03-00,0,0,0
91701-01-03-01,0.708,0.064,10.511
91701-01-03-01,0,0,0
91701-01-04-00,1.195,0.148,12.466
91701-01-04-00,0,0,0
91701-01-06-00,3.277,0.424,11.406
91701-01-06-00,0,0,0
91701-01-07-00,1.798,0.212,12.186
91701-01-07-00,0,0,0
91701-01-14-01,1.882,0.208,12.221
91701-01-14-01,0,0,0
91701-01-15-00,2.949,0.145,12.256
91701-01-15-00,0,0,0
91701-01-22-00,2.469,0.274,13.393
91701-01-22-00,0,0,0
91701-01-30-00,4.153,0.787,9.077
91701-01-30-00,0,0,0
91701-01-30-01,4.17,0.668,8.44
91701-01-30-01,0,0,0
91701-01-31-00,3.08,0.35,11.882
91701-01-31-00,0,0,0
91701-01-32-00,1.605,0.157,12.69
91701-01-32-00,0,0,0
91701-01-32-01,1.648,0.161,12.779
91701-01-32-01,0,0,0
91701-01-33-01,5.69,0.661,3.888
91701-01-33-01,0,0,0
91701-01-34-00,2.785,0.392,12.222
91701-01-34-00,0,0,0
91701-01-34-01,2.949,0.325,11.856
91701-01-34-01,0,0,0
91701-01-42-00,2.779,0.21,11.897
91701-01-42-00,0,0,0
91701-01-42-01,2.539,0.207,12.121
91701-01-42-01,0,0,0
91701-01-43-00,2.417,0.217,12.513
91701-01-43-00,0,0,0
91701-01-43-01,2.166,0.24,12.504
91701-01-43-01,0,0,0
91701-01-44-00,1.647,0.219,12.614
91701-01-44-00,0,0,0
91701-01-44-01,1.864,0.163,11.957
91701-01-44-01,0,0,0
91701-01-45-00,1.714,0.138,11.293
91701-01-45-00,0,0,0
91701-01-48-00,4.2,0.33,9.796
91701-01-48-00,0,0,0
91701-01-49-00,1.274,0.11,12.247
91701-01-49-00,0,0,0
91701-01-50-00,2.126,0.247,13.905
91701-01-50-00,0,0,0
91701-01-51-00,2.896,0.251,12.115
91701-01-51-00,0,0,0
91701-01-51-01,2.959,0.237,12.011
91701-01-51-01,0,0,0
91701-01-51-02,2.998,0.218,12.41
91701-01-51-02,0,0,0
91701-01-54-00,4.228,0.407,9.405
91701-01-54-00,0,0,0
91701-01-54-01,3.898,0.452,10.841
91701-01-54-01,0,0,0
91701-01-55-00,1.988,0.071,15.7
91701-01-55-00,0,0,0
91701-01-56-00,2.109,0.072,14.593
91701-01-56-00,0,0,0
91701-01-57-00,2.853,0.24,13.993
91701-01-57-00,0,0,0
91701-01-57-01,2.859,0.239,14.478
91701-01-57-01,0,0,0
91701-01-57-02,2.916,0.232,14.633
91701-01-57-02,0,0,0
91701-01-58-00,3.64,0.398,10.246
91701-01-58-00,0,0,0
91701-01-58-02,4.207,0.595,8.824
91701-01-58-02,0,0,0
91701-01-59-00,2.984,0.368,11.934
91701-01-59-00,0,0,0
91701-01-59-01,2.829,0.396,12.567
91701-01-59-01,0,0,0
91701-01-60-02,4.332,0.465,8.391
91701-01-60-02,0,0,0
91701-01-64-00,0.959,0.075,10.365
91701-01-64-00,0,0,0
91701-01-64-01,1.04,0.088,10.775
91701-01-64-01,0,0,0
91701-01-65-00,0.706,0.045,9.755
91701-01-65-00,0,0,0
91701-01-65-01,0.648,0.058,9.158
91701-01-65-01,0,0,0
91701-01-66-00,0.92,0.077,10.302
91701-01-66-00,0,0,0
91701-01-67-00,0.642,0.052,9.134
91701-01-67-00,0,0,0
91701-01-68-00,4.086,0.426,9.387
91701-01-68-00,0,0,0
91701-01-68-01,3.075,0.244,10.231
91701-01-68-01,0,0,0
91701-01-68-02,2.829,0.249,10.996
91701-01-68-02,0,0,0
91701-01-69-00,2.751,0.269,11.041
91701-01-69-00,0,0,0
91701-01-69-01,2.454,0.187,11.167
91701-01-69-01,0,0,0
91701-01-71-00,5.943,0.773,3.637
91701-01-71-00,0,0,0
91701-01-71-01,5.872,0.802,3.949
91701-01-71-01,0,0,0
91701-01-73-00,1.284,0.092,11.462
91701-01-73-00,0,0,0
91701-01-74-00,2.609,0.271,13.059
91701-01-74-00,0,0,0
91701-01-76-00,3.136,0.368,11.703
91701-01-76-00,0,0,0
91701-01-76-01,2.727,0.234,12.475
91701-01-76-01,0,0,0
91701-01-78-00,2.371,0.279,14.033
91701-01-78-00,0,0,0
91701-01-79-00,2.642,0.302,13.441
91701-01-79-00,0,0,0
91701-01-79-01,3.053,0.4,12.464
91701-01-79-01,0,0,0
91701-01-80-00,3.345,0.472,11.427
91701-01-80-00,0,0,0
92082-03-01-00,3.982,0.831,10.73
92082-03-01-00,0,0,0
92437-01-01-00,2.402,0.169,15.643
92437-01-01-00,0,0,0
92702-01-01-00,2.94,0.484,12.565
92702-01-01-00,0,0,0
92702-01-01-01,2.913,0.361,12.312
92702-01-01-01,0,0,0
92702-01-02-00,1.976,0.247,14.962
92702-01-02-00,0,0,0
92702-01-02-01,2.058,0.276,14.471
92702-01-02-01,0,0,0
92702-01-03-00,2.638,0.39,12.963
92702-01-03-00,0,0,0
92702-01-05-00,2.778,0.541,12.529
92702-01-05-00,0,0,0
92702-01-05-01,2.963,0.19,12.05
92702-01-05-01,0,0,0
92702-01-06-00,2.358,0.334,12.249
92702-01-06-00,0,0,0
92702-01-08-00,3.988,0.557,10.636
92702-01-08-00,0,0,0
92702-01-08-01,4.406,0.822,10.144
92702-01-08-01,0,0,0
92702-01-08-02,4.319,0.546,9.641
92702-01-08-02,0,0,0
92702-01-08-03,3.76,0.539,11.127
92702-01-08-03,0,0,0
92702-01-09-00,3.819,0.472,11.182
92702-01-09-00,0,0,0
92702-01-20-01,3.598,0.353,14.108
92702-01-20-01,0,0,0
92702-01-20-02,3.609,0.281,13.023
92702-01-20-02,0,0,0
92702-01-21-00,2.699,0.085,14.411
92702-01-21-00,0,0,0
92702-01-21-01,2.615,0.15,13.763
92702-01-21-01,0,0,0
92702-01-21-02,2.623,0.129,13.682
92702-01-21-02,0,0,0
92702-01-22-00,4.706,0.59,7.035
92702-01-22-00,0,0,0
92702-01-22-01,4.834,0.697,7.331
92702-01-22-01,0,0,0
92702-01-28-00,5.115,0.725,6.628
92702-01-28-00,0,0,0
92702-01-28-01,4.987,0.624,7.02
92702-01-28-01,0,0,0
92702-01-29-00,3.302,0.424,12.107
92702-01-29-00,0,0,0
92702-01-30-00,4.097,0.694,10.358
92702-01-30-00,0,0,0
92702-01-31-00,1.069,0.071,11.841
92702-01-31-00,0,0,0
92702-01-31-01,1.111,0.091,12.017
92702-01-31-01,0,0,0
92702-01-32-00,0.988,0.082,11.941
92702-01-32-00,0,0,0
92702-01-32-01,0.942,0.086,11.488
92702-01-32-01,0,0,0
92702-01-32-02,1.042,0.1,12.026
92702-01-32-02,0,0,0
92702-01-33-00,0.985,0.089,11.312
92702-01-33-00,0,0,0
94701-01-10-00,2.977,0.346,13.816
94701-01-10-00,0,0,0
94701-01-11-00,2.139,0.154,13.62
94701-01-11-00,0,0,0
94701-01-12-00,1.316,0.058,12.672
94701-01-12-00,0,0,0
94701-01-12-01,1.265,0.062,12.743
94701-01-12-01,0,0,0
94701-01-13-00,2.584,0.307,14.093
94701-01-13-00,0,0,0
94701-01-34-00,3.856,0.221,10.399
94701-01-34-00,0,0,0
94701-01-34-01,3.839,0.195,9.684
94701-01-34-01,0,0,0
94701-01-35-00,4.317,0.403,10.019
94701-01-35-00,0,0,0
94701-01-46-00,4.099,0.588,9.237
94701-01-46-00,0,0,0
96701-01-52-00,3.456,0.559,11.606
96701-01-52-00,0,0,0
1050360103_0,0,0,0
1050360103_0,0,0,0
1050360103_1,0,0,0
1050360103_1,0,0,0
1050360103_2,0,0,0
1050360103_2,0,0,0
1050360104_0,2.562282894731964,0.230605,0.00205078
1050360104_0,5.082702808891011,0.559012,0.00108073
1050360104_1,2.50629014854108,0.240978,0.00337472
1050360104_1,5.082702808891011,0.460128,0.00112195
1050360104_11,2.648626212505812,0.238384,0.00271215
1050360104_11,5.196254900418639,0.46767,0.000906836
1050360104_12,2.478754307284725,0.2230889999999999,0.00276731
1050360104_12,4.917010337183983,0.449641,0.00101921
1050360104_13,2.371603165072989,0.213481,0.00296896
1050360104_13,4.652772259887851,0.511656,0.00094656
1050360104_14,2.5907466334881044,0.233168,0.00290181
1050360104_14,5.082702808891011,0.543941,0.0010672
1050360104_5,2.7682935026079525,0.249155,0.00225595
1050360104_5,5.5523602705048924,0.510836,0.000917437
1050360104_6,2.8301396362503914,0.254781,0.00199935
1050360104_6,5.614040006393758,0.505264,0.00109313
1050360104_7,2.6195265685649725,0.235785,0.00204285
1050360104_7,5.2539787537448746,0.577857,0.000787194
1050360104_8,2.562282894731964,0.273658,0.00331784
1050360104_8,5.082702808891011,0.558775,0.00103829
1050360104_9,2.6195265685649725,0.235758,0.00240296
1050360104_9,5.139165241366684,0.519293,0.000939848
1050360105_1,2.7682935026079525,0.249203,0.00265506
1050360105_1,5.614040006393758,0.605662,0.000943995
1050360105_15,2.7378791108492084,0.246423,0.00285431
1050360105_15,5.5523602705048924,0.499746,0.000976088
1050360105_16,2.397948691971156,0.2158219999999999,0.00304889
1050360105_16,4.862988652512174,0.462521,0.00103687
1050360105_17,2.45152099387182,0.22073,0.00292712
1050360105_17,4.971632134795246,0.516159,0.000954846
1050360105_18,2.269083933028201,0.204228,0.0031053
1050360105_18,4.501095216193277,0.405122,0.000999354
1050360105_19,2.345547088399452,0.211101,0.00274364
1050360105_19,4.652772259887851,0.419105,0.000944798
1050360105_2,2.7682935026079525,0.2491519999999999,0.00226922
1050360105_2,5.491358190958871,0.494493,0.000905277
1050360105_21,2.5907466334881044,0.284944,0.0044122
1050360105_21,5.026860711845576,0.550002,0.00101799
1050360105_23,2.7682935026079525,0.304511,0.00557228
1050360105_23,5.491358190958871,0.604049,0.00295505
1050360105_26,2.478754307284725,0.223097,0.00254692
1050360105_26,4.862988652512174,0.444946,0.00092836
1050360105_28,1.987358326967936,0.178887,0.00294297
1050360105_28,3.898934623781784,0.4288119999999999,0.00109463
1050360105_29,1.799266079195872,0.161938,0.00331498
1050360105_29,3.608784070324455,0.396863,0.00108125
1050360105_4,2.7990457599877123,0.258304,0.00391685
1050360105_4,5.431026322553276,0.591571,0.00178556
1050360106_0,1.799266079195872,0.16199,0.00318888
1050360106_0,3.5691354664520105,0.39254,0.00135423
1050360106_1,1.81925366126041,0.163764,0.00360915
1050360106_1,3.648873120294788,0.401244,0.00117447
1050360106_2,1.901449161185431,0.1711339999999999,0.00323753
1050360106_2,3.813732456115946,0.343277,0.00105578
1050360106_3,1.81925366126041,0.178993,0.00324199
1050360106_3,3.608784070324455,0.396965,0.00120212
1050360106_4,1.799266079195872,0.161965,0.00343245
1050360106_4,3.52992246963125,0.388217,0.00132829
1050360106_5,1.7406112935178513,0.156666,0.00350847
1050360106_5,3.452784206201428,0.310888,0.00111724
1050360106_6,1.8805585223701653,0.169251,0.00313682
1050360106_6,3.7303921840896703,0.335936,0.00105543
1050360106_7,2.009435377222597,0.221025,0.00502248
1050360106_7,3.942246881295101,0.433631,0.00167023
1050360106_8,2.077148945337289,0.186959,0.00331089
1050360106_8,4.21241362860418,0.379278,0.000924534
1050360106_9,2.0543279468755165,0.184955,0.00443618
1050360106_9,4.075091960936565,0.44825,0.00138927
1050360107_0,2.1709963837766555,0.19539,0.00370671
1050360107_0,4.259208243400194,0.425309,0.00107189
1050360107_1,2.1709963837766555,0.19539,0.00356502
1050360107_1,4.259208243400194,0.383345,0.00112146
1050360108_4,2.7990457599877123,0.3078889999999999,0.00502118
1050360108_4,5.676404926534723,0.511522,0.00105623
1050360108_8,2.371603165072989,0.213446,0.00275796
1050360108_8,4.704458704959767,0.509991,0.00103326
1050360108_9,2.2441542037175,0.2468119999999999,0.00469888
1050360108_9,4.4516430634068245,0.4895850000000001,0.00209586
1050360109_10,2.7378791108492084,0.24645,0.00283905
1050360109_10,5.431026322553276,0.597391,0.00101084
1050360109_2,3.4911402939810827,0.314685,0.00300064
1050360109_2,6.773906701840013,0.6096550000000001,0.000572466
1050360109_3,3.4911402939810827,0.314203,0.00190635
1050360109_3,6.925241789239067,0.6232880000000001,0.000790191
1050360109_5,3.2672330282700783,0.294053,0.00242513
1050360109_5,6.553082194340317,0.5904010000000001,0.000894562
1050360109_8,3.0916532929704084,0.280871,0.00318233
1050360109_8,5.932869954281387,0.65178,0.00116186
1050360110_0,2.861578926351908,0.2575469999999999,0.00288161
1050360110_0,5.676404926534723,0.5919770000000001,0.000946298
1050360110_3,3.942246881295101,0.354824,0.00228098
1050360110_3,7.820084713556388,0.7039489999999999,0.000636084
1050360110_4,3.986040283488161,0.358761,0.00202823
1050360110_4,7.906956014455752,0.711657,0.000624263
1050360110_5,4.756719321397685,0.428131,0.00184514
1050360110_5,9.54054162002339,0.858658,0.00044645
1050360110_6,4.756719321397685,0.4281140000000001,0.00213836
1050360110_6,9.54054162002339,0.8586540000000001,0.000418465
1050360111_2,0,0,0
1050360111_2,0,0,0
1050360111_3,7.238130378163924,0.796194,0.00106616
1050360111_3,0,0,0
1050360111_6,8.830554482909648,0.7947770000000001,0.000319242
1050360111_6,0,0,0
1050360112_1,0,0,0
1050360112_1,0,0,0
1050360112_3,7.482039508032168,0.823023,0.000668043
1050360112_3,0,0,0
1050360113_0,7.399836634479451,0.813951,0.000691796
1050360113_0,0,0,0
1050360113_1,8.830554482909648,0.8774360000000001,0.000401689
1050360113_1,0,0,0
1050360113_2,8.637583208386094,0.884466,0.000440108
1050360113_2,0,0,0
1050360113_4,9.332055224336226,0.83991,0.000312581
1050360113_4,0,0,0
1050360113_7,0,0,0
1050360113_7,0,0,0
1050360114_1,0,0,0
1050360114_1,0,0,0
1050360114_2,0,0,0
1050360114_2,0,0,0
1050360115_10,0,0,0
1050360115_10,0,0,0
1050360115_12,0,0,0
1050360115_12,0,0,0
1050360115_14,0,0,0
1050360115_14,0,0,0
1050360115_15,0,0,0
1050360115_15,0,0,0
1050360115_16,0,0,0
1050360115_16,0,0,0
1050360115_17,0,0,0
1050360115_17,0,0,0
1050360115_18,0,0,0
1050360115_18,0,0,0
1050360115_19,0,0,0
1050360115_19,0,0,0
1050360115_2,0,0,0
1050360115_2,0,0,0
1050360115_20,0,0,0
1050360115_20,0,0,0
1050360115_21,0,0,0
1050360115_21,0,0,0
1050360115_4,0,0,0
1050360115_4,0,0,0
1050360115_6,0,0,0
1050360115_6,0,0,0
1050360116_1,0,0,0
1050360116_1,0,0,0
1050360116_2,0,0,0
1050360116_2,0,0,0
1050360116_3,0,0,0
1050360116_3,0,0,0
1050360116_4,0,0,0
1050360116_4,0,0,0
1050360116_6,0,0,0
1050360116_6,0,0,0
1050360116_7,0,0,0
1050360116_7,0,0,0
1050360116_8,0,0,0
1050360116_8,0,0,0
1050360117_1,0,0,0
1050360117_1,0,0,0
1050360117_2,0,0,0
1050360117_2,0,0,0
1050360117_7,0,0,0
1050360117_7,0,0,0
1050360117_8,0,0,0
1050360117_8,0,0,0
1050360118_0,0,0,0
1050360118_0,0,0,0
1050360118_1,0,0,0
1050360118_1,0,0,0
1050360118_3,0,0,0
1050360118_3,0,0,0
1050360118_4,0,0,0
1050360118_4,0,0,0
1050360118_5,0,0,0
1050360118_5,0,0,0
1050360119_0,6.409879791190343,0.5770029999999999,3.5058e-05
1050360119_0,0,0,0
1050360119_3,4.501095216193277,0.422083,4.32332e-05
1050360119_3,0,0,0
1050360119_4,5.026860711845576,0.552955,7.04218e-05
1050360119_4,0,0,0
1050360120_0,0,0,0
1050360120_0,0,0,0
1050360120_2,0,0,0
1050360120_2,0,0,0
1050360120_3,0,0,0
1050360120_3,0,0,0
1050360120_4,0,0,0
1050360120_4,0,0,0
1050360120_5,0,0,0
1050360120_5,0,0,0
1050360120_6,0,0,0
1050360120_6,0,0,0
1050360120_7,0,0,0
1050360120_7,0,0,0
1130360103_0,0,0,0
1130360103_0,0,0,0
1130360103_1,0,0,0
1130360103_1,0,0,0
1130360103_2,0,0,0
1130360103_2,0,0,0
1130360103_3,7.079957836796884,0.7787930000000001,0.000778907
1130360103_3,14.67877357520968,1.61453,3.6681e-05
1130360104_0,5.371357301883837,0.483429,0.00154103
1130360104_0,10.773319683613696,0.969603,0.00024729
1130360104_1,5.614040006393758,0.505267,0.00137277
1130360104_1,11.385153042369849,1.02467,0.000204679
1130360105_0,6.065415534340013,0.620618,0.00119821
1130360105_0,12.300532957617325,1.10714,0.000110072
1130360105_1,6.269806744221129,0.6779069999999999,0.00093757
1130360105_1,13.289510512362488,1.46184,8.02093e-05
1130360105_2,5.5523602705048924,0.499724,0.0014643
1130360105_2,11.136356944969188,1.0023,0.000206303
1130360105_3,5.867687331530871,0.645426,0.00127719
1130360105_3,11.899544391947856,1.14213,0.000127801
1130360106_0,6.849156281469202,0.753396,0.000750408
1130360106_0,0,0,0
1130360106_1,6.6994838662653695,0.736919,0.000858822
1130360106_1,13.4371402515293,1.20938,3.96906e-05
1130360107_0,4.704458704959767,0.4234189999999999,0.00181055
1130360107_0,9.435722615048434,0.8716020000000001,0.000490468
1130360107_11,4.4516430634068245,0.400651,0.00186007
1130360107_11,8.928650831439386,0.803611,0.000487708
1130360107_12,4.601653677937229,0.414274,0.00203017
1130360107_12,9.027836906963444,0.813571,0.000513192
1130360107_13,4.4516430634068245,0.438084,0.00226871
1130360107_13,8.733535888877936,0.786349,0.000453601
1130360107_14,4.601653677937229,0.414149,0.00191167
1130360107_14,9.128124814977491,0.821542,0.000426935
1130360107_15,5.614040006393758,0.505352,0.0013905999999999
1130360107_15,11.260067857385788,1.01347,0.000170197
1130360107_6,4.501095216193277,0.405136,0.00177819
1130360107_6,9.229526795454028,0.8310569999999999,0.0004169359999999
1130360107_7,4.4516430634068245,0.400652,0.0019807
1130360107_7,8.830554482909648,0.7949390000000001,0.000373455
1130360108_2,5.932869954281387,0.567725,0.00122517
1130360108_2,12.031733356556671,1.0829799999999998,0.000109745
1130360109_2,0,0,0
1130360109_2,0,0,0
1130360109_5,0,0,0
1130360109_5,0,0,0
1130360110_0,7.0021725112593725,0.770237,0.0006369419999999
1130360110_0,0,0,0
1130360110_1,5.867687331530871,0.55337,0.00123386
1130360110_1,11.768807746954716,1.05924,0.000140417
1130360110_3,9.027836906963444,0.812513,0.000232695
1130360110_3,0,0,0
1130360110_6,0,0,0
1130360110_6,0,0,0
1130360111_0,0,0,0
1130360111_0,0,0,0
1130360111_2,0,0,0
1130360111_2,0,0,0
1130360111_3,0,0,0
1130360111_3,0,0,0
1130360113_0,7.399836634479451,0.81395,0.000569849
1130360113_0,0,0,0
1130360113_1,5.196254900418639,0.467683,0.00125657
1130360113_1,10.537893784343142,0.948479,0.000282509
1130360130_4,0,0,0
1130360130_4,0,0,0
1130360130_5,0,0,0
1130360130_5,0,0,0
1130360130_6,0,0,0
1130360130_6,0,0,0
1130360130_8,0,0,0
1130360130_8,0,0,0
1130360130_9,0,0,0
1130360130_9,0,0,0
1130360131_0,0,0,0
1130360131_0,0,0,0
1130360131_1,0,0,0
1130360131_1,0,0,0
1130360131_2,0,0,0
1130360131_2,0,0,0
1130360131_3,0,0,0
1130360131_3,0,0,0
1130360131_4,0,0,0
1130360131_4,0,0,0
1130360131_5,0,0,0
1130360131_5,0,0,0
1130360131_6,0,0,0
1130360131_6,0,0,0
1130360131_7,0,0,0
1130360131_7,0,0,0
1130360131_8,0,0,0
1130360131_8,0,0,0
1130360132_0,0,0,0
1130360132_0,0,0,0
1130360132_1,0,0,0
1130360132_1,0,0,0
1130360132_2,0,0,0
1130360132_2,0,0,0
1130360133_0,0,0,0
1130360133_0,0,0,0
1130360134_0,0,0,0
1130360134_0,0,0,0
1130360135_1,0,0,0
1130360135_1,0,0,0
1130360137_0,0,0,0
1130360137_0,0,0,0
1130360138_0,0,0,0
1130360138_0,0,0,0
1130360138_1,0,0,0
1130360138_1,0,0,0
1130360143_1,0,0,0
1130360143_1,0,0,0
1130360144_4,0,0,0
1130360144_4,0,0,0
1130360144_5,0,0,0
1130360144_5,0,0,0
1130360145_0,0,0,0
1130360145_0,0,0,0
1130360145_2,0,0,0
1130360145_2,0,0,0
1130360145_3,0,0,0
1130360145_3,0,0,0
1130360145_4,0,0,0
1130360145_4,0,0,0
1130360146_0,0,0,0
1130360146_0,0,0,0
1130360146_1,0,0,0
1130360146_1,0,0,0
1130360146_10,0,0,0
1130360146_10,0,0,0
1130360146_4,0,0,0
1130360146_4,0,0,0
1130360146_6,0,0,0
1130360146_6,0,0,0
1130360146_7,0,0,0
1130360146_7,0,0,0
1130360146_8,0,0,0
1130360146_8,0,0,0
1130360146_9,0,0,0
1130360146_9,0,0,0
1130360147_2,0,0,0
1130360147_2,0,0,0
1130360152_0,0,0,0
1130360152_0,0,0,0
1130360152_1,0,0,0
1130360152_1,0,0,0
1130360153_0,0,0,0
1130360153_0,0,0,0
1130360155_0,0,0,0
1130360155_0,0,0,0
1130360155_1,0,0,0
1130360155_1,0,0,0
1130360156_0,0,0,0
1130360156_0,0,0,0
1130360156_1,0,0,0
1130360156_1,0,0,0
1130360156_3,0,0,0
1130360156_3,0,0,0
1130360156_5,0,0,0
1130360156_5,0,0,0
1130360156_6,0,0,0
1130360156_6,0,0,0
1130360157_0,0,0,0
1130360157_0,0,0,0
1130360157_2,0,0,0
1130360157_2,0,0,0
1130360157_3,0,0,0
1130360157_3,0,0,0
1130360157_4,0,0,0
1130360157_4,0,0,0
1130360157_5,0,0,0
1130360157_5,0,0,0
1130360158_2,0,0,0
1130360158_2,0,0,0
1130360158_3,0,0,0
1130360158_3,0,0,0
1130360160_0,0,0,0
1130360160_0,0,0,0
1130360160_1,0,0,0
1130360160_1,0,0,0
1130360160_2,0,0,0
1130360160_2,0,0,0
1130360161_0,0,0,0
1130360161_0,0,0,0
1130360181_0,0,0,0
1130360181_0,0,0,0
1130360181_2,0,0,0
1130360181_2,0,0,0
1130360181_3,0,0,0
1130360181_3,0,0,0
1130360181_5,0,0,0
1130360181_5,0,0,0
1130360181_6,0,0,0
1130360181_6,0,0,0
1130360182_0,0,0,0
1130360182_0,0,0,0
1130360182_1,0,0,0
1130360182_1,0,0,0
1130360182_2,0,0,0
1130360182_2,0,0,0
1130360182_3,0,0,0
1130360182_3,0,0,0
1130360182_4,0,0,0
1130360182_4,0,0,0
1130360182_9,0,0,0
1130360182_9,0,0,0
1130360183_0,0,0,0
1130360183_0,0,0,0
1130360183_1,0,0,0
1130360183_1,0,0,0
1130360183_2,0,0,0
1130360183_2,0,0,0
1130360183_3,0,0,0
1130360183_3,0,0,0
1130360183_4,0,0,0
1130360183_4,0,0,0
1130360183_6,0,0,0
1130360183_6,0,0,0
1130360183_7,0,0,0
1130360183_7,0,0,0
1130360183_8,0,0,0
1130360183_8,0,0,0
1130360184_0,0,0,0
1130360184_0,0,0,0
1130360184_10,0,0,0
1130360184_10,0,0,0
1130360184_11,0,0,0
1130360184_11,0,0,0
1130360184_12,0,0,0
1130360184_12,0,0,0
1130360184_13,0,0,0
1130360184_13,0,0,0
1130360184_14,0,0,0
1130360184_14,0,0,0
1130360184_15,0,0,0
1130360184_15,0,0,0
1130360184_16,0,0,0
1130360184_16,0,0,0
1130360184_17,0,0,0
1130360184_17,0,0,0
1130360184_3,0,0,0
1130360184_3,0,0,0
1130360184_4,0,0,0
1130360184_4,0,0,0
1130360184_7,0,0,0
