observation_ID,frequency,width,norm
40403-01-10-00,4.939,0.461,5.927
40403-01-10-00,0,0,0
40403-01-11-00,4.339,0.696,7.927
40403-01-11-00,0,0,0
40703-01-01-00,2.266,0.313,14.413
40703-01-01-00,0,0,0
40703-01-02-00,3.575,0.74,10.992
40703-01-02-00,0,0,0
40703-01-05-00,4.204,0.842,9.641
40703-01-05-00,0,0,0
40703-01-09-00,2.781,0.371,12.668
40703-01-09-00,0,0,0
40703-01-15-01,2.197,0.216,13.573
40703-01-15-01,0,0,0
40703-01-15-02,2.346,0.207,13.252
40703-01-15-02,0,0,0
40703-01-16-00,1.849,0.21,13.587
40703-01-16-00,0,0,0
40703-01-16-01,1.816,0.241,13.776
40703-01-16-01,0,0,0
40703-01-16-02,1.762,0.189,13.086
40703-01-16-02,0,0,0
40703-01-16-03,1.726,0.177,13.077
40703-01-16-03,0,0,0
40703-01-17-00,2.766,0.326,13.123
40703-01-17-00,0,0,0
40703-01-17-01,2.861,0.412,12.798
40703-01-17-01,0,0,0
40703-01-20-00,5.113,0.598,5.287
40703-01-20-00,0,0,0
40703-01-20-01,5.616,0.686,4.314
40703-01-20-01,0,0,0
40703-01-21-00,2.354,0.193,13.936
40703-01-21-00,0,0,0
40703-01-21-01,2.441,0.29,14.46
40703-01-21-01,0,0,0
40703-01-21-02,2.562,0.25,12.856
40703-01-21-02,0,0,0
40703-01-41-00,1.475,0.187,12.368
40703-01-41-00,0,0,0
40703-01-41-01,1.505,0.165,11.696
40703-01-41-01,0,0,0
40703-01-41-02,1.58,0.171,11.748
40703-01-41-02,0,0,0
40703-01-41-03,1.639,0.18,11.15
40703-01-41-03,0,0,0
40703-01-41-04,1.994,0.275,12.424
40703-01-41-04,0,0,0
40703-01-41-05,1.91,0.168,11.762
40703-01-41-05,0,0,0
40703-01-42-00,1.424,0.101,11.037
40703-01-42-00,0,0,0
40703-01-42-01,1.35,0.219,11.523
40703-01-42-01,0,0,0
40703-01-42-02,1.338,0.128,11.787
40703-01-42-02,0,0,0
40703-01-42-03,1.312,0.138,11.82
40703-01-42-03,0,0,0
40703-01-43-00,2.109,0.208,11.902
40703-01-43-00,0,0,0
40703-01-44-00,2.47,0.243,11.797
40703-01-44-00,0,0,0
40703-01-44-01,2.285,0.235,11.635
40703-01-44-01,0,0,0
40703-01-44-02,2.336,0.324,12.309
40703-01-44-02,0,0,0
40703-01-44-03,1.517,0.131,11.9
40703-01-44-03,0,0,0
40703-01-45-00,1.638,0.206,12.597
40703-01-45-00,0,0,0
40703-01-45-01,1.73,0.214,12.194
40703-01-45-01,0,0,0
40703-01-47-00,2.082,0.283,13.725
40703-01-47-00,0,0,0
40703-01-49-00,2.389,0.243,13.777
40703-01-49-00,0,0,0
40703-01-49-01,2.185,0.245,14.739
40703-01-49-01,0,0,0
40703-01-49-02,2.223,0.207,13.395
40703-01-49-02,0,0,0
40703-01-50-00,2.141,0.228,14.274
40703-01-50-00,0,0,0
40703-01-50-01,2.151,0.236,14.182
40703-01-50-01,0,0,0
40703-01-50-02,2.045,0.202,13.728
40703-01-50-02,0,0,0
40703-01-51-00,3.255,0.472,12.236
40703-01-51-00,0,0,0
40703-01-51-01,2.694,0.337,13.841
40703-01-51-01,0,0,0
40703-01-51-02,2.962,0.35,12.394
40703-01-51-02,0,0,0
40703-01-51-03,2.611,0.249,13.478
40703-01-51-03,0,0,0
50125-01-01-00,3.187,0.338,12.244
50125-01-01-00,0,0,0
50125-01-01-01,3.617,0.437,10.863
50125-01-01-01,0,0,0
50125-01-01-02,3.419,0.396,11.636
50125-01-01-02,0,0,0
50125-01-01-03,3.025,0.35,12.76
50125-01-01-03,0,0,0
50125-01-01-04,2.772,0.322,12.928
50125-01-01-04,0,0,0
50125-01-02-00,2.138,0.263,15.267
50125-01-02-00,0,0,0
50125-01-02-01,2.26,0.176,13.726
50125-01-02-01,0,0,0
50125-01-02-02,2.293,0.2,14.211
50125-01-02-02,0,0,0
50125-01-03-00,3.267,0.656,13.062
50125-01-03-00,0,0,0
50405-01-02-00,2.142,0.28,12.966
50405-01-02-00,0,0,0
50405-01-02-01,2.164,0.298,13.133
50405-01-02-01,0,0,0
50405-01-02-02,2.38,0.378,12.791
50405-01-02-02,0,0,0
50405-01-03-00,2.89,0.486,11.947
50405-01-03-00,0,0,0
50703-01-08-00,3.394,0.745,11.697
50703-01-08-00,0,0,0
50703-01-17-00,2.959,0.3,12.442
50703-01-17-00,0,0,0
50703-01-17-01,2.787,0.329,12.635
50703-01-17-01,0,0,0
50703-01-17-02,2.73,0.308,12.652
50703-01-17-02,0,0,0
50703-01-18-00,3.08,0.413,12.532
50703-01-18-00,0,0,0
50703-01-18-01,2.548,0.268,13.316
50703-01-18-01,0,0,0
50703-01-18-02,2.725,0.296,13.392
50703-01-18-02,0,0,0
50703-01-18-03,2.662,0.3,13.602
50703-01-18-03,0,0,0
50703-01-19-03,4.654,0.478,6.53
50703-01-19-03,0,0,0
50703-01-21-00,2.027,0.183,13.944
50703-01-21-00,0,0,0
50703-01-21-01,2.062,0.247,14.878
50703-01-21-01,0,0,0
50703-01-21-02,2.042,0.205,14.609
50703-01-21-02,0,0,0
50703-01-24-01,4.09,0.588,8.52
50703-01-24-01,0,0,0
50703-01-25-00,2.479,0.299,14.074
50703-01-25-00,0,0,0
50703-01-25-01,3.088,0.457,12.178
50703-01-25-01,0,0,0
50703-01-25-02,2.546,0.292,13.418
50703-01-25-02,0,0,0
50703-01-27-03,3.787,0.62,9.863
50703-01-27-03,0,0,0
50703-01-28-00,3.73,0.727,10.296
50703-01-28-00,0,0,0
50703-01-28-01,3.523,0.729,11.06
50703-01-28-01,0,0,0
50703-01-28-02,3.348,0.664,11.88
50703-01-28-02,0,0,0
50703-01-40-01,5.695,0.68,4.353
50703-01-40-01,0,0,0
50703-01-40-02,5.23,0.529,5.004
50703-01-40-02,0,0,0
50703-01-40-03,5.23,0.53,5.128
50703-01-40-03,0,0,0
50703-01-41-00,6.229,0.876,3.797
50703-01-41-00,0,0,0
50703-01-41-01,4.927,0.66,6.107
50703-01-41-01,0,0,0
50703-01-41-02,4.278,0.513,8.461
50703-01-41-02,0,0,0
50703-01-41-03,4.094,0.456,9.25
50703-01-41-03,0,0,0
50703-01-42-00,2.004,0.144,12.379
50703-01-42-00,0,0,0
50703-01-42-01,2.016,0.143,11.833
50703-01-42-01,0,0,0
50703-01-42-02,2.055,0.126,12.415
50703-01-42-02,0,0,0
50703-01-43-00,1.334,0.14,12.117
50703-01-43-00,0,0,0
50703-01-43-01,1.33,0.174,12.423
50703-01-43-01,0,0,0
50703-01-43-02,1.326,0.132,12.231
50703-01-43-02,0,0,0
50703-01-44-01,2.551,0.299,13.239
50703-01-44-01,0,0,0
50703-01-45-00,3.705,0.369,9.562
50703-01-45-00,0,0,0
50703-01-45-01,4.012,0.476,8.698
50703-01-45-01,0,0,0
50703-01-46-00,2.715,0.311,12.901
50703-01-46-00,0,0,0
50703-01-46-01,3.226,0.347,11.704
50703-01-46-01,0,0,0
50703-01-46-02,3.736,0.45,10.329
50703-01-46-02,0,0,0
50703-01-48-00,5.239,0.686,5.544
50703-01-48-00,0,0,0
50703-01-49-00,2.613,0.301,12.826
50703-01-49-00,0,0,0
50703-01-50-00,1.57,0.153,14.599
50703-01-50-00,0,0,0
50703-01-50-01,1.562,0.152,14.591
50703-01-50-01,0,0,0
50703-01-50-02,1.617,0.155,14.113
50703-01-50-02,0,0,0
50703-01-51-00,2.183,0.241,14.692
50703-01-51-00,0,0,0
50703-01-51-01,2.144,0.182,13.863
50703-01-51-01,0,0,0
50703-01-52-00,1.937,0.191,15.139
50703-01-52-00,0,0,0
50703-01-52-01,1.969,0.202,14.413
50703-01-52-01,0,0,0
50703-01-52-02,1.896,0.18,13.807
50703-01-52-02,0,0,0
50703-01-53-00,2.342,0.259,14.178
50703-01-53-00,0,0,0
50703-01-53-01,2.514,0.269,13.743
50703-01-53-01,0,0,0
50703-01-53-02,2.559,0.247,13.367
50703-01-53-02,0,0,0
50703-01-54-00,1.966,0.214,14.87
50703-01-54-00,0,0,0
50703-01-54-01,1.9,0.227,15.358
50703-01-54-01,0,0,0
50703-01-54-02,1.939,0.224,14.891
50703-01-54-02,0,0,0
50703-01-55-00,2.681,0.27,13.217
50703-01-55-00,0,0,0
50703-01-55-01,2.842,0.317,13.431
50703-01-55-01,0,0,0
50703-01-56-00,3.011,0.392,12.899
50703-01-56-00,0,0,0
50703-01-59-00,2.195,0.21,13.922
50703-01-59-00,0,0,0
50703-01-59-01,2.147,0.2,14.463
50703-01-59-01,0,0,0
50703-01-62-00,4.558,0.586,7.496
50703-01-62-00,0,0,0
50703-01-62-01,4.513,0.648,7.444
50703-01-62-01,0,0,0
50703-01-62-02,4.626,0.638,7.396
50703-01-62-02,0,0,0
50703-01-62-03,4.332,0.551,7.865
50703-01-62-03,0,0,0
50703-01-64-00,2.193,0.229,13.728
50703-01-64-00,0,0,0
50703-01-65-01,1.918,0.187,14.088
50703-01-65-01,0,0,0
50703-01-66-00,1.896,0.192,14.22
50703-01-66-00,0,0,0
50703-01-66-01,1.895,0.186,13.427
50703-01-66-01,0,0,0
50703-01-67-00,2.181,0.207,14.414
50703-01-67-00,0,0,0
50703-01-67-01,2.208,0.189,13.636
50703-01-67-01,0,0,0
50703-01-67-02,2.177,0.203,13.88
50703-01-67-02,0,0,0
60100-01-01-00,2.226,0.165,14.197
60100-01-01-00,0,0,0
60100-01-01-01,2.271,0.182,13.918
60100-01-01-01,0,0,0
60100-01-02-00,4.368,0.606,7.71
60100-01-02-00,0,0,0
60100-01-03-01,2.347,0.203,14.031
60100-01-03-01,0,0,0
60405-01-01-00,2.823,0.394,13.109
60405-01-01-00,0,0,0
60405-01-01-01,2.027,0.195,13.605
60405-01-01-01,0,0,0
60405-01-03-00,2.728,0.314,13.739
60405-01-03-00,0,0,0
60405-01-04-00,2.17,0.23,13.739
60405-01-04-00,0,0,0
60405-01-04-01,2.54,0.231,13.939
60405-01-04-01,0,0,0
60405-01-04-02,2.315,0.276,13.958
60405-01-04-02,0,0,0
60405-01-04-03,2.236,0.237,14.76
60405-01-04-03,0,0,0
60405-01-04-04,2.335,0.2,14.287
60405-01-04-04,0,0,0
60405-01-04-05,2.744,0.221,13.431
60405-01-04-05,0,0,0
60405-01-04-06,2.988,0.339,13.237
60405-01-04-06,0,0,0
60405-01-04-07,2.69,0.266,13.32
60405-01-04-07,0,0,0
60405-01-04-08,2.424,0.2,13.218
60405-01-04-08,0,0,0
60701-01-01-00,2.26,0.258,14.221
60701-01-01-00,0,0,0
60701-01-01-01,2.077,0.182,14.1
60701-01-01-01,0,0,0
60701-01-04-00,4.534,0.67,7.817
60701-01-04-00,0,0,0
60701-01-04-02,4.387,0.479,7.582
60701-01-04-02,0,0,0
60701-01-05-00,3.08,0.186,12.319
60701-01-05-00,0,0,0
60701-01-05-01,3.098,0.21,12.225
60701-01-05-01,0,0,0
60701-01-06-00,4.103,0.351,9.066
60701-01-06-00,0,0,0
60701-01-06-01,4.564,0.322,7.207
60701-01-06-01,0,0,0
60701-01-06-02,4.166,0.368,8.779
60701-01-06-02,0,0,0
60701-01-20-00,5.382,0.865,7.766
60701-01-20-00,0,0,0
60701-01-23-00,2.062,0.172,12.677
60701-01-23-00,0,0,0
60701-01-23-01,2.102,0.214,13.008
60701-01-23-01,0,0,0
60701-01-24-00,0.571,0.047,9.31
60701-01-24-00,0,0,0
60701-01-24-01,0.584,0.062,9.786
60701-01-24-01,0,0,0
60701-01-24-02,0.582,0.034,8.248
60701-01-24-02,0,0,0
60701-01-25-00,0.617,0.067,9.577
60701-01-25-00,0,0,0
60701-01-25-01,0.612,0.08,9.667
60701-01-25-01,0,0,0
60701-01-26-00,0.819,0.083,9.852
60701-01-26-00,0,0,0
60701-01-26-01,0.869,0.078,10.408
60701-01-26-01,0,0,0
60701-01-26-02,0.94,0.069,10.12
60701-01-26-02,0,0,0
60701-01-26-03,0.967,0.109,10.677
60701-01-26-03,0,0,0
60701-01-28-00,0.466,0.055,8.746
60701-01-28-00,0,0,0
60701-01-29-00,0.616,0.095,9.569
60701-01-29-00,0,0,0
60701-01-30-00,1.624,0.148,12.136
60701-01-30-00,0,0,0
60701-01-30-01,1.577,0.14,12.11
60701-01-30-01,0,0,0
60701-01-30-02,1.585,0.18,13.183
60701-01-30-02,0,0,0
60701-01-31-01,5.217,0.452,5.973
60701-01-31-01,0,0,0
60701-01-33-00,1.03,0.109,10.698
60701-01-33-00,0,0,0
60701-01-33-01,0.976,0.1,10.642
60701-01-33-01,0,0,0
60702-01-01-00,4.491,0.475,7.238
60702-01-01-00,0,0,0
60702-01-01-01,4.005,0.484,9.05
60702-01-01-01,0,0,0
