First Model Name,Second Model Name,t,p,% Chance First Better,% Chance Second Better
RandomForestRegressor,ExtraTreesRegressor,0.02,0.492781404896181,50.72,49.28
RandomForestRegressor,DecisionTreeRegressor,2.45,0.008778060316782613,99.2,0.7999999999999972
RandomForestRegressor,LinearRegression,8.33,1.2712671052128772e-11,100.0,0.0
ExtraTreesRegressor,DecisionTreeRegressor,2.19,0.01647783909421448,98.45,1.5499999999999972
ExtraTreesRegressor,LinearRegression,7.92,5.872508921372917e-11,100.0,0.0
DecisionTreeRegressor,LinearRegression,5.07,2.428795320217139e-06,100.0,0.0
