e,de,rate,rate_err,total,model0,model1,x,y,xerr,yerr
0.210263386,0.00406377017,0.00800584257,0.00270992308,0.0043121716,0.0022591427,0.0020530289,0.21026338,0.008005842459828922,0.004063769999999994,0.002709923007225925
0.218551099,0.00422394508,0.0111030135,0.00473449798,0.00430900138,0.00225732382,0.00205167755,0.218551095,0.011103013874574928,0.004223945000000007,0.004734497897557444
0.227165475,0.00439043483,0.0106889429,0.00357045489,0.00430558203,0.00225536223,0.0020502198,0.227165475,0.010688942682502195,0.004390434999999998,0.0035704549984053534
0.234578595,0.00302268006,0.0139871743,0.00439137546,0.00430254126,0.00225361809,0.00204892317,0.23457859,0.013987174466606557,0.00302268,0.004391375599774473
0.240702868,0.0031016001,0.0110408003,0.00523614557,0.00429995637,0.00225213566,0.00204782095,0.24070287,0.011040800023866149,0.003101599999999996,0.005236145383671777
0.248609349,0.00480487989,0.00716703758,0.0030673116,0.00429652212,0.00225016614,0.00204635598,0.24860935,0.007167037367007248,0.004804880000000011,0.0030673116159951525
0.258408517,0.00499427505,0.0100626871,0.00328738382,0.00429212442,0.00224764459,0.00204447983,0.258408505,0.01006268678528662,0.0049942749999999925,0.0032873837167532284
0.266841173,0.00343840499,0.0126394406,0.00363759953,0.00428821519,0.00224540359,0.00204281183,0.266841185,0.012639440887918893,0.0034384050000000055,0.0036375994988361807
0.273807764,0.00352817005,0.00532300863,0.00323463534,0.00428489363,0.00224349974,0.00204139412,0.27380776,0.00532300877707793,0.003528169999999997,0.0032346352799965763
0.280956209,0.00362028508,0.0138129499,0.00692290766,0.0042814021,0.00224149833,0.00203990354,0.280956215,0.01381295017082308,0.003620285000000001,0.006922907506738305
0.288291305,0.003714805,0.00696868217,0.00298562972,0.00427773176,0.00223939517,0.00203833636,0.288291305,0.006968682104050958,0.0037148049999999877,0.00298562974910115
0.295817882,0.00381178502,0.00824967399,0.00420710677,0.00427387422,0.00223718514,0.00203668908,0.295817895,0.008249673851125416,0.003811785000000012,0.004207106936111757
0.303540975,0.00391130522,0.0090626087,0.00335865305,0.00426982017,0.00223486265,0.00203495752,0.30354098500000004,0.009062609107958607,0.003911305000000004,0.003358652932092106
0.31146571,0.00401341496,0.0143956477,0.0038782116,0.0042655603,0.00223242259,0.00203313748,0.31146570500000004,0.01439564788036779,0.004013414999999992,0.0038782115052702236
0.319597334,0.00411819993,0.00239717728,0.00203747046,0.0042610839,0.00222985935,0.00203122478,0.31959731999999996,0.0023971773276461007,0.0041181999999999885,0.002037470428398645
0.327941239,0.00422571506,0.00911660306,0.00443636207,0.00425638119,0.00222716667,0.00202921452,0.327941235,0.009116602888487917,0.004225715000000019,0.0044363619619913535
0.336502999,0.00433603488,0.00842715334,0.00326253846,0.00425144099,0.00222433871,0.00202710251,0.336502985,0.008427152986795996,0.004336034999999988,0.003262538397455407
0.345288277,0.00444924505,0.0111066215,0.00537264766,0.00424625212,0.00222136872,0.0020248834,0.345288265,0.011106621755035472,0.004449244999999991,0.005372647628942816
0.354302913,0.00456540007,0.00945502892,0.00394455669,0.00424080249,0.00221825042,0.0020225523,0.35430291,0.009455029146220094,0.004565400000000025,0.003944556653586811
0.363552898,0.0046845898,0.00889892597,0.00237003178,0.00423507998,0.00221497659,0.00202010339,0.3635529,0.008898925504514262,0.0046845899999999885,0.0023700318422877117
0.373044372,0.00480689481,0.0104075959,0.00431135157,0.00422907155,0.00221154001,0.00201753154,0.37304438500000003,0.010407596208462868,0.0048068950000000055,0.004311351455539309
0.382783681,0.00493239006,0.00380585738,0.00161416444,0.0042227637,0.00220793299,0.00201483071,0.38278367,0.003805857295060349,0.004932389999999981,0.0016141644162332035
0.392777234,0.00506116496,0.0112472288,0.00370453717,0.00421614293,0.0022041481,0.00201199483,0.392777225,0.011247228676978282,0.005061165000000006,0.0037045370571431226
0.403031677,0.00519330008,0.00803732034,0.00194294727,0.00420919433,0.00220017694,0.00200901763,0.40303169,0.008037320246847056,0.005193300000000012,0.0019429472635494334
0.413553864,0.00532888016,0.00882707629,0.00469833054,0.00420190347,0.0021960109,0.00200589234,0.41355387,0.008827076107813376,0.005328880000000008,0.004698330486112815
0.424350768,0.00546800997,0.0104740309,0.00235006143,0.00419425406,0.00219164183,0.00200261222,0.42435076000000005,0.010474030539724784,0.005468009999999995,0.002350061483406127
0.435429543,0.00561076496,0.00736718765,0.00303296652,0.00418623071,0.00218706019,0.00199917029,0.43542953500000003,0.007367187757330661,0.00561076499999999,0.0030329665397818874
0.44679755,0.00575724477,0.00581942592,0.00397961214,0.00417781575,0.00218225713,0.00199555885,0.446797545,0.005819425840402096,0.005757244999999994,0.003979612311499802
0.458462358,0.00590755511,0.0084825512,0.00124876702,0.00416899333,0.00217722263,0.00199177046,0.458462345,0.008482551409077077,0.005907555000000009,0.0012487670141257752
0.470431685,0.00606179005,0.00876828376,0.00346031808,0.00415974436,0.00217194669,0.00198779744,0.47043169,0.008768283972880065,0.006061790000000011,0.0034603181208395692
0.482713521,0.00622004503,0.00992192701,0.00281319441,0.00415005069,0.00216641952,0.00198363117,0.482713525,0.009921927020555565,0.00622004499999998,0.0028131944431140383
0.495315999,0.00638243509,0.0061005773,0.00158875133,0.00413989369,0.00216062996,0.0019792635,0.49531600499999995,0.006100577248129968,0.006382434999999992,0.001588751307176442
0.508247495,0.00654907012,0.00346466806,0.00111384783,0.00412925333,0.00215456774,0.00197468535,0.5082475099999999,0.0034646681046620656,0.00654906999999999,0.0011138478805675172
