,ids,bg_count_rates,source_count_rates,source_exposures,source_bg_ratios,source_counts_master,redpgstat
0,1050360115_16,0.6693772880690253,16399.48833413865,154.196640070528,24500.61871495042,2528746.0,0.9040626020847563
1,1130360161_0,1.2179213679291414,28.646604372641026,943.6720544029961,24.520898086671615,27033.0,1.0679179916750692
2,1130360103_0,4.678911363491091,14087.544014119048,1221.13094963599,3011.859347334989,17202736.0,0.93945837335157
3,1130360183_1,0.8944143510338743,222.39034197253068,457.600807199487,249.64353050179093,101766.0,1.0256860256860258
4,1050360105_23,4.5511068899022815,7922.2184537317435,82.47045998740941,1741.7234427539106,653349.0,1.065541724296911
5,1050360110_5,2.6704720167083,12777.955126300196,189.33123305626202,4785.9050828290165,2419266.0,1.0417489327918663
6,1130360157_3,0.4488047673773456,126.0396412923714,116.034922426308,281.8340072430646,14625.0,0.9657114127702362
7,1050360115_21,1.21510750827839,16222.965037769272,787.1325599402189,13352.05324199221,12769624.0,0.9034616879147781
8,1050360116_2,1.348023780993378,16317.451210313013,840.463000210002,12105.720584594172,13714214.0,0.9190366412494243
9,1050360104_7,1.0618293595656745,7438.004219618141,145.295696008019,7005.895986922556,1080710.0,1.0626161812870674
10,1130360231_0,0.5976733659025799,70.74691358536003,1137.08140642685,119.37053083086805,80445.0,1.0929472579271553
11,1050360105_29,2.70218066738827,6874.431007848364,803.781432047486,2545.0308602654186,5525540.0,1.0648317054727974
12,1050360115_12,1.5663778982536245,16333.441881515517,698.156339779496,10428.523204793615,11403296.0,0.9062762519715726
13,1130360185_2,0.4447670667926021,155.97309377797131,425.829855593853,351.6848987330768,66418.0,1.088489125848644
14,1130360185_1,0.7680154574173647,165.8929252180792,321.870266196143,217.00206560416612,53396.0,1.0336983125080512
15,1130360186_1,1.6132696137179598,64.53313718373605,729.733622990025,41.001458302442224,47092.0,1.026486135059502
16,1050360105_15,4.961439440845836,7572.467633129024,486.063616026193,1527.2642471834854,3680701.0,1.0785601035136316
17,1130360182_4,2.9297661143057034,218.62941183213258,955.1917020219839,75.62350348193011,208833.0,0.9882339098717496
18,1130360158_1,0.7736375607058772,81.51456719022515,137.95080299890802,106.3653174696562,11245.0,1.244651786174545
