observation_ID,simpl_FracScat,net_source_count_rate,tin_before_error,diskbb_norm_before_error,gamma_before_error,nthcomp_norm_before_error,hardness_ratio
1050360113_1,0.570283,10710.0,0.2,5355820.0,2.61436,138.952,0.308784280272126
1050360113_2,0.550631,10820.0,0.2,5847970.0,2.60546,138.945,0.3104343449398279
1050360113_4,0.635778,10950.0,0.2,4080230.0,2.62896,144.53,0.3066468460971497
1050360113_7,0.906345,10720.0,0.3215949999999999,0.1,2.86036,132.042,0.2778169928210029
1050360114_1,0.906187,10600.0,0.315118,0.1,2.86703,133.787,0.2760368424864449
1050360114_2,0.906345,10540.0,0.313876,0.1,2.86732,133.52,0.2754146398942644
1050360115_10,0.905156,10440.0,0.313433,0.1,2.87013,132.658,0.2745926858636126
1050360115_12,0.906345,10520.0,0.277811,0.1,2.80386,139.509,0.281293315561794
1050360115_14,0.906345,10460.0,0.274632,0.1,2.80602,140.18,0.2807092331571002
1050360115_15,0.774182,10660.0,0.2,1777370.0,2.67566,148.539,0.2989059975984777
1050360115_16,0.810889,10640.0,0.2,1283680.0,2.68233,149.393,0.2977438874466526
1050360115_17,0.805079,10650.0,0.2,1647090.0,2.67391,148.144,0.299322317535882
1050360115_18,0.791582,10600.0,0.2,1831110.0,2.66696,146.335,0.3002825111948391
1050360115_19,0.801238,10790.0,0.2,1419460.0,2.67734,150.61700000000002,0.2987193003147865
1050360115_2,0.906345,10530.0,0.317777,0.1,2.87549,132.717,0.2747444266608605
1050360115_20,0.906345,10530.0,0.276043,0.1,2.79911,139.74200000000002,0.2821334805550156
1050360115_21,0.901828,10450.0,0.2,0.1,2.74403,157.018,0.2848715438886495
1050360115_4,0.904814,10610.0,0.313929,0.1,2.86053,133.605,0.2766376332233269
1050360115_6,0.906345,10610.0,0.287079,0.1,2.82401,139.678,0.2795622509058815
1050360116_1,0.78367,10500.0,0.2,1636070.0,2.68623,147.974,0.2969717555087339
1050360116_2,0.703306,10590.0,0.2,2833730.0,2.65956,144.798,0.3015784823563158
1050360116_3,0.906345,10300.0,0.2,0.1,2.74913,155.56799999999998,0.2837921269420453
1050360116_4,0.906345,10330.0,0.274852,0.1,2.81049,139.003,0.2804495023151444
1050360116_6,0.903291,10190.0,0.277255,0.1,2.81368,136.577,0.2791580214498015
1050360116_7,0.904751,10290.0,0.298047,0.1,2.84888,134.183,0.2761938771235993
1050360116_8,0.906345,10250.0,0.31311,0.1,2.8793900000000003,131.388,0.2732836944835249
1050360117_1,0.906345,10170.0,0.305313,0.1,2.86651,131.945,0.2741913982598696
1050360117_2,0.906345,10150.0,0.302882,0.1,2.86375,132.226,0.2738911693039397
1050360117_7,0.906345,10000.0,0.270794,0.1,2.82333,137.549,0.2772076209244736
1050360117_8,0.900336,10080.0,0.2,0.1,2.77235,156.033,0.2791350232888711
1050360118_0,0.906345,9931.0,0.295656,0.1,2.86769,132.5,0.2725264386609
1050360118_1,0.800357,10030.0,0.2,1335530.0,2.70853,144.783,0.2926588828120823
1050360118_3,0.68626,10140.0,0.2,3289780.0,2.6623900000000003,138.952,0.2997891826527228
1050360118_4,0.692256,10080.0,0.2,2905050.0,2.66817,139.067,0.2994938591325971
1050360118_5,0.697821,10020.0,0.2,2808540.0,2.67163,138.67700000000002,0.2990186190200416
1050360119_0,0.906345,9596.0,0.332842,0.1,2.9645900000000003,123.86,0.2625643173439451
1050360119_3,0.906345,9267.0,0.37527,0.1,3.09091,114.297,0.251896179991106
1050360119_4,0.906345,9209.0,0.372558,0.1,3.08766,114.316,0.2517420172849381
1050360120_0,0.906345,10190.0,0.327864,0.1,2.91125,128.197,0.270332116716699
1050360120_2,0.906345,10300.0,0.2,0.1,2.75255,156.144,0.283479730273055
