ID,name,frequency,KTin,gamma,freq_err,KTin_err,gamma_err,reduced_chi_square,exposure,number
30191-01-32-00,XTE J1550–564,5.49,1.06,2.44,0.01,0.02,0.02,1.05/74,880,62
30191-01-33-00,XTE J1550–564,5.4,1.05,2.42,0.01,0.02,0.01,1.48/74,9264,63
30191-01-34-01,XTE J1550–564,4.93,1.02,2.37,0.01,0.02,0.02,1.03/74,1136,64
40401-01-50-00,XTE J1550–564,5.75,1.06,2.37,0.03,0.01,0.02,1.40/74,3104,65
40401-01-51-01,XTE J1550–564,5.93,1.1,2.48,0.01,0.02,0.02,0.78/74,1120,66
40401-01-53-00,XTE J1550–564,6.33,1.1,2.53,0.01,0.03,0.02,0.97/74,2256,67
40401-01-55-00,XTE J1550–564,6.13,1.09,2.48,0.01,0.02,0.01,1.07/74,2448,68
40401-01-56-00,XTE J1550–564,6.14,1.08,2.46,0.02,0.03,0.03,0.86/74,544,69
40401-01-56-01,XTE J1550–564,6.16,1.05,2.48,0.04,0.03,0.04,1.01/74,192,70
40401-01-58-00,XTE J1550–564,5.52,1.04,2.39,0.01,0.02,0.02,0.96/74,1008,71
40401-01-58-01,XTE J1550–564,5.98,0.91,2.37,0.03,0.02,0.01,1.12/74,3456,72
40122-01-01-00,XTE J1859+226,5.96,1.01,2.53,0.01,0.03,0.01,0.59/74,6944,73
40122-01-01-02,XTE J1859+226,5.97,1,2.53,0.01,0.03,0.02,0.83/74,2240,74
40122-01-01-03,XTE J1859+226,5.97,1.03,2.51,0.01,0.03,0.02,0.91/74,2496,75
40124-01-13-00,XTE J1859+226,6.1,1.03,2.52,0.01,0.03,0.02,1.13/74,1760,76
40124-01-24-00,XTE J1859+226,5.82,0.98,2.47,0.02,0.04,0.02,0.81/74,2032,77
40124-01-27-00,XTE J1859+226,5.87,0.98,2.44,0.03,0.04,0.03,0.73/74,1184,78
40124-01-30-00,XTE J1859+226,5.17,0.86,2.46,0.01,0.03,0.02,0.88/74,2624,79
40124-01-36-00,XTE J1859+226,4.7,0.94,2.38,0.02,0.03,0.02,0.42/74,7520,80
40124-01-37-00,XTE J1859+226,4.71,0.92,2.38,0.01,0.03,0.02,0.98/74,2704,81
40124-01-37-01,XTE J1859+226,4.54,0.93,2.35,0.01,0.03,0.02,0.73/74,2080,82
40124-01-37-02,XTE J1859+226,4.43,0.92,2.35,0.01,0.02,0.02,0.51/74,6288,83
40124-01-39-00,XTE J1859+226,5.63,0.86,2.26,0.01,0.01,0.03,0.88/74,5840,84
40124-01-40-00,XTE J1859+226,5.25,0.86,2.24,0.01,0.01,0.05,0.64/74,1392,85
40124-01-41-00,XTE J1859+226,4.78,0.84,2.23,0.05,0.01,0.05,0.84/74,2912,86
95360-01-01-00,XTE J1752–223,3.51,0.68,2.3,0.01,0.02,0.03,0.73/74,2336,87
91110-02-05-00,XTE J1817–330,5.46,0.99,2.55,0.03,0.01,0.05,1.32/74,1728,88
91110-02-07-00,XTE J1817–330,5.41,0.98,2.56,0.02,0.01,0.05,0.96/74,3392,89
91110-02-17-00,XTE J1817–330,4.8,0.89,2.39,0.06,0.01,0.05,0.74/74,5808,90
91110-02-18-00,XTE J1817–330,5.04,0.88,2.36,0.03,0.01,0.04,0.74/74,7952,91
91110-02-24-00,XTE J1817–330,5.3,0.84,2.33,0.05,0.01,0.05,0.74/74,3888,92
91110-02-29-00,XTE J1817–330,5.58,0.87,2.48,0.02,0.02,0.03,0.85/47,1696,93
91110-02-30-00,XTE J1817–330,5.61,0.88,2.43,0.02,0.03,0.04,0.47/47,3200,94
92082-01-02-03,XTE J1817–330,4.86,0.85,2.45,0.13,0.02,0.04,0.84/47,1648,95
95118-01-01-01,MAXI J1659–152,3.88,0.89,2.29,0.01,0.03,0.03,0.73/47,3280,96
95118-01-02-00,MAXI J1659–152,3.46,0.88,2.29,0.04,0.02,0.02,0.66/47,3216,97
95118-01-07-00,MAXI J1659–152,3.28,0.83,2.19,0.02,0.03,0.05,0.81/47,3056,98
95118-01-10-00,MAXI J1659–152,3.54,0.81,2.13,0.01,0.04,0.08,1.32/47,1088,99
