ID,source,type,inclination,freq,qpo_rms,noise_rms,total_rms,freq_err,noise_err,total_err,number,class
70133-01-08-00,4U 1543-47,C,low,6.646,1.6,4.1,4.5,"(0.118, 0.116)","(0.2, 0.2)","(0.2, 0.2)",40,15
70133-01-30-00,4U 1543-47,C,low,11.102,4.8,15.8,16.6,"(0.092, 0.097)","(2.1, 2.5)","(2.0, 2.4)",41,15
70133-01-31-00,4U 1543-47,C,low,9.716000000000001,6.4,24.6,25.4,"(0.026, 0.026)","(1.8, 1.7)","(1.8, 1.7)",42,15
70133-01-31-01,4U 1543-47,C,low,9.443,6.1,21.2,22.1,"(0.028, 0.028)","(1.2, 1.2)","(1.2, 1.2)",43,15
60113-01-03-00,XTEJ1650-500,C,low,1.992,5.6,29.3,29.8,"(0.02, 0.02)","(1.3, 1.4)","(1.3, 1.4)",44,9
60113-01-04-00,XTEJ1650-500,C,low,2.23,5.9,30.5,31.0,"(0.021, 0.022)","(2.5, 2.7)","(2.4, 2.7)",45,9
60113-01-05-00,XTEJ1650-500,C,low,1.305,8.7,31.1,32.3,"(0.016, 0.016)","(1.0, 1.0)","(1.0, 1.0)",46,9
60113-01-05-01,XTEJ1650-500,C,low,2.745,4.4,33.5,33.8,"(0.035, 0.038)","(1.3, 1.3)","(1.3, 1.3)",47,9
60113-01-06-00,XTEJ1650-500,C,low,1.54,7.4,31.4,32.2,"(0.016, 0.017)","(2.2, 2.3)","(2.1, 2.3)",48,9
60113-01-07-00,XTEJ1650-500,C,low,1.9140000000000001,6.9,30.4,31.2,"(0.016, 0.016)","(1.6, 1.7)","(1.6, 1.6)",49,9
60113-01-08-00,XTEJ1650-500,C,low,2.354,5.9,30.8,31.4,"(0.018, 0.018)","(1.2, 0.6)","(1.2, 0.6)",50,9
60113-01-08-01,XTEJ1650-500,C,low,2.072,8.5,28.5,29.7,"(0.028, 0.028)","(1.0, 1.1)","(1.0, 1.1)",51,9
60113-01-09-00,XTEJ1650-500,C,low,2.8,5.5,28.1,28.7,"(0.023, 0.023)","(1.3, 1.3)","(1.2, 1.2)",52,9
60113-01-09-01,XTEJ1650-500,C,low,2.722,5.3,31.2,31.6,"(0.027, 0.027)","(0.5, 0.5)","(0.5, 0.5)",53,9
60113-01-09-02,XTEJ1650-500,C,low,2.7060000000000004,5.1,30.1,30.5,"(0.025, 0.025)","(1.4, 1.4)","(1.4, 1.4)",54,9
60113-01-10-00,XTEJ1650-500,C,low,3.025,5.8,28.2,28.8,"(0.015, 0.015)","(1.4, 1.4)","(1.3, 1.4)",55,9
60113-01-10-01,XTEJ1650-500,C,low,3.009,6.1,29.5,30.1,"(0.026, 0.025)","(0.5, 0.5)","(0.5, 0.5)",56,9
60113-01-11-00,XTEJ1650-500,C,low,3.266,5.6,28.0,28.6,"(0.021, 0.021)","(2.0, 2.0)","(2.0, 2.0)",57,9
60113-01-11-01,XTEJ1650-500,C,low,3.3510000000000004,5.5,28.5,29.0,"(0.021, 0.021)","(1.1, 1.2)","(1.1, 1.2)",58,9
60113-01-11-02,XTEJ1650-500,C,low,3.572,6.6,28.0,28.8,"(0.025, 0.024)","(0.6, 0.6)","(0.6, 0.6)",59,9
60113-01-12-00,XTEJ1650-500,C,low,4.096,6.2,26.2,26.9,"(0.015, 0.016)","(1.0, 1.1)","(0.9, 1.1)",60,9
60113-01-12-01,XTEJ1650-500,C,low,4.359,6.6,24.2,25.1,"(0.02, 0.02)","(0.9, 0.9)","(0.8, 0.9)",61,9
60113-01-12-02,XTEJ1650-500,C,low,4.848,6.9,23.6,24.6,"(0.026, 0.027)","(1.0, 1.0)","(1.0, 1.0)",62,9
60113-01-12-03,XTEJ1650-500,C,low,4.66,7.2,24.9,25.9,"(0.032, 0.032)","(0.5, 0.5)","(0.5, 0.5)",63,9
60113-01-12-04,XTEJ1650-500,C,low,5.138,6.0,22.2,23.0,"(0.026, 0.027)","(1.7, 1.8)","(1.6, 1.8)",64,9
60113-01-13-00,XTEJ1650-500,C,low,5.721,6.0,23.0,23.7,"(0.027, 0.027)","(0.3, 0.3)","(0.3, 0.3)",65,9
60113-01-13-01,XTEJ1650-500,C,low,6.35,5.8,21.4,22.2,"(0.037, 0.038)","(0.9, 0.9)","(0.8, 0.8)",66,9
60113-01-13-02,XTEJ1650-500,C,low,6.835,5.6,19.6,20.8,"(0.051, 0.05)","(0.3, 0.3)","(0.3, 0.3)",67,9
60113-01-14-00,XTEJ1650-500,C,low,5.954,2.9,14.3,15.4,"(0.097, 0.097)","(0.5, 0.4)","(0.5, 0.5)",68,9
60705-01-59-00,GX 339-4,C,low,2.8510000000000004,5.0,32.1,32.5,"(0.026, 0.026)","(1.6, 1.7)","(1.6, 1.7)",69,0
70108-03-01-00,GX 339-4,C,low,0.643,9.6,24.5,26.3,"(0.006, 0.006)","(1.5, 1.5)","(1.4, 1.4)",70,0
70109-01-06-00,GX 339-4,C,low,1.2329999999999999,7.7,24.4,25.6,"(0.01, 0.01)","(1.4, 1.7)","(1.4, 1.7)",71,0
70109-02-01-00,GX 339-4,C,low,8.043,4.1,13.6,14.2,"(0.064, 0.06)","(0.3, 0.3)","(0.3, 0.3)",72,0
70109-04-01-00,GX 339-4,C,low,5.388999999999999,9.2,14.6,17.3,"(0.01, 0.01)","(0.9, 1.0)","(0.8, 0.8)",73,0
70109-04-01-02,GX 339-4,C,low,5.318,8.3,16.0,18.0,"(0.021, 0.022)","(0.9, 1.1)","(0.8, 1.0)",74,0
70110-01-10-00,GX 339-4,C,low,2.063,7.4,23.9,25.0,"(0.013, 0.013)","(0.7, 0.8)","(0.6, 0.7)",75,0
70110-01-11-00,GX 339-4,C,low,5.797000000000001,6.7,16.5,17.8,"(0.022, 0.023)","(0.8, 0.8)","(0.7, 0.7)",76,0
70110-01-94-00,GX 339-4,C,low,6.1339999999999995,4.9,18.4,19.1,"(0.03, 0.028)","(0.9, 0.9)","(0.9, 0.9)",77,0
70110-01-95-00,GX 339-4,C,low,4.712,5.4,24.0,24.6,"(0.042, 0.039)","(2.1, 2.4)","(2.1, 2.3)",78,0
70128-02-02-00,GX 339-4,C,low,8.041,2.2,16.1,16.2,"(0.032, 0.032)","(0.8, 0.7)","(0.8, 0.7)",79,0
60705-01-68-01,GX 339-4,C,low,1.062,6.9,32.4,33.1,"(0.015, 0.015)","(1.9, 2.3)","(1.8, 2.3)",80,0
60705-01-69-00,GX 339-4,C,low,1.304,6.8,33.5,34.2,"(0.018, 0.018)","(0.7, 0.7)","(0.7, 0.7)",81,0
60705-01-70-00,GX 339-4,C,low,4.3069999999999995,4.9,24.3,24.8,"(0.019, 0.02)","(0.3, 0.3)","(0.3, 0.3)",82,0
90110-02-01-00,GX 339-4,C,low,5.706,11.0,21.6,24.2,"(0.027, 0.027)","(1.2, 0.7)","(1.1, 0.6)",83,0
