ID,source,type,inclination,freq,qpo_rms,noise_rms,total_rms,freq_err,noise_err,total_err,number,class
30191-01-28-01,XTE J1550-564,C,high,4.742,14.0,17.6,23.2,"(0.009, 0.009)","(0.5, 0.6)","(0.4, 0.5)",177,3
30191-01-28-02,XTE J1550-564,C,high,4.959,14.5,17.3,23.4,"(0.009, 0.009)","(0.9, 1.1)","(0.7, 0.8)",178,3
30191-01-29-00,XTE J1550-564,C,high,4.835,14.0,17.9,23.5,"(0.009, 0.009)","(1.0, 1.2)","(0.8, 0.9)",179,3
30191-01-29-01,XTE J1550-564,C,high,4.961,15.4,14.6,21.3,"(0.007, 0.007)","(1.5, 1.7)","(1.0, 1.2)",180,3
30191-01-30-00,XTE J1550-564,C,high,6.452000000000001,10.1,14.1,19.1,"(0.009, 0.009)","(0.4, 0.5)","(0.4, 0.4)",181,3
30191-01-31-00,XTE J1550-564,C,high,6.763999999999999,10.3,10.1,14.7,"(0.02, 0.02)","(1.2, 1.2)","(0.9, 0.9)",182,3
30191-01-31-01,XTE J1550-564,C,high,6.7170000000000005,9.8,13.7,18.3,"(0.012, 0.012)","(0.6, 0.8)","(0.5, 0.6)",183,3
40401-01-02-00,XTE J1550-564,C,high,1.535,1.1,3.3,7.4,"(0.298, 0.298)","(0.1, 0.1)","(0.1, 0.1)",184,3
40401-01-48-00,XTE J1550-564,C,high,18.061,0.5,3.7,6.2,"(0.061, 0.059)","(0.2, 0.2)","(0.1, 0.1)",185,3
40401-01-57-00,XTE J1550-564,C,high,6.69,9.7,13.5,19.8,"(0.014, 0.014)","(0.3, 0.3)","(0.4, 0.3)",186,3
50134-01-04-00,XTE J1550-564,C,high,6.915,9.9,12.8,19.9,"(0.022, 0.022)","(0.5, 0.5)","(0.7, 0.7)",187,3
50134-01-05-00,XTE J1550-564,C,high,4.476,10.6,21.0,26.3,"(0.011, 0.011)","(0.7, 0.7)","(0.9, 1.0)",188,3
50134-02-01-00,XTE J1550-564,C,high,1.2570000000000001,15.3,36.2,39.3,"(0.006, 0.006)","(0.4, 0.4)","(0.4, 0.4)",189,3
50135-01-02-00,XTE J1550-564,C,high,2.34,12.3,27.6,32.5,"(0.01, 0.01)","(1.4, 1.4)","(1.3, 1.3)",190,3
50135-01-03-00,XTE J1550-564,C,high,1.124,12.9,32.2,34.6,"(0.007, 0.007)","(2.1, 2.1)","(1.9, 1.9)",191,3
50135-01-04-00,XTE J1550-564,C,high,0.981,7.4,35.3,36.1,"(0.02, 0.02)","(0.6, 0.5)","(0.6, 0.5)",192,3
50135-01-05-00,XTE J1550-564,C,high,0.684,7.8,33.8,34.7,"(0.008, 0.008)","(0.9, 0.9)","(0.9, 0.9)",193,3
50135-01-06-00,XTE J1550-564,C,high,0.552,8.3,34.8,35.8,"(0.008, 0.009)","(1.4, 0.9)","(1.4, 0.9)",194,3
50137-02-01-00,XTE J1550-564,C,high,0.237,10.7,40.6,42.0,"(0.002, 0.002)","(2.3, 2.6)","(2.3, 2.5)",195,3
50137-02-02-00,XTE J1550-564,C,high,0.257,10.5,39.5,40.8,"(0.003, 0.003)","(1.6, 1.6)","(1.5, 1.6)",196,3
50137-02-02-01,XTE J1550-564,C,high,0.265,9.4,39.5,40.6,"(0.002, 0.002)","(1.3, 1.2)","(1.3, 1.2)",197,3
50137-02-03-00,XTE J1550-564,C,high,0.239,12.6,41.0,42.9,"(0.002, 0.002)","(1.0, 1.1)","(1.0, 1.1)",198,3
50137-02-03-01G,XTE J1550-564,C,high,0.24,11.3,40.4,42.0,"(0.002, 0.002)","(1.6, 1.6)","(1.6, 1.6)",199,3
50137-02-04-00,XTE J1550-564,C,high,0.233,15.6,36.5,39.7,"(0.003, 0.003)","(1.6, 1.8)","(1.5, 1.7)",200,3
50137-02-04-01,XTE J1550-564,C,high,0.249,11.9,40.6,42.4,"(0.002, 0.002)","(1.2, 1.4)","(1.2, 1.4)",201,3
50137-02-05-00,XTE J1550-564,C,high,0.27899999999999997,9.7,37.7,39.2,"(0.003, 0.003)","(1.9, 1.9)","(1.8, 3.3)",202,3
50137-02-05-01,XTE J1550-564,C,high,0.314,12.4,41.4,43.2,"(0.002, 0.002)","(1.1, 1.1)","(1.1, 1.0)",203,3
50137-02-06-00,XTE J1550-564,C,high,0.32,14.5,41.4,43.8,"(0.002, 0.002)","(1.2, 0.8)","(1.2, 0.8)",204,3
50137-02-07-00,XTE J1550-564,C,high,0.42,13.7,36.6,39.1,"(0.003, 0.003)","(1.8, 1.5)","(1.7, 1.4)",205,3
70417-01-09-00,4U 1630-47,C,high,12.51,1.9,7.8,9.4,"(0.163, 0.168)","(0.4, 0.4)","(0.4, 0.4)",206,14
80117-01-02-01,4U 1630-47,C,high,12.415999999999999,2.2,6.2,9.7,"(0.108, 0.108)","(0.2, 0.2)","(0.3, 0.3)",207,14
80117-01-02-04,4U 1630-47,C,high,12.453,2.2,9.0,9.2,"(0.138, 0.138)","(0.4, 0.4)","(0.4, 0.4)",208,14
80117-01-04-00,4U 1630-47,C,high,11.543,2.9,9.0,11.1,"(0.032, 0.032)","(0.5, 0.4)","(0.5, 0.5)",209,14
80117-01-05-00,4U 1630-47,C,high,12.325999999999999,2.1,13.0,13.4,"(0.055, 0.056)","(0.4, 0.4)","(0.4, 0.4)",210,14
80117-01-06-01,4U 1630-47,C,high,7.795,2.2,25.3,26.8,"(0.031, 0.033)","(1.6, 1.5)","(1.6, 1.5)",211,14
80117-01-07-00,4U 1630-47,C,high,7.5,2.9,24.4,25.9,"(0.053, 0.051)","(1.7, 1.3)","(1.6, 1.2)",212,14
80117-01-07-01,4U 1630-47,C,high,14.8,2.2,4.4,9.5,"(0.287, 0.28)","(0.1, 0.1)","(0.4, 0.4)",213,14
80117-01-07-02,4U 1630-47,C,high,14.484000000000002,2.2,4.4,8.8,"(0.157, 0.162)","(0.1, 0.1)","(0.2, 0.2)",214,14
80117-01-08-00,4U 1630-47,C,high,11.467,2.4,8.3,11.2,"(0.041, 0.041)","(0.3, 0.3)","(0.5, 0.5)",215,14
80117-01-08-01,4U 1630-47,C,high,13.799000000000001,2.0,4.9,9.6,"(0.244, 0.245)","(0.2, 0.2)","(0.3, 0.3)",216,14
80117-01-10-00,4U 1630-47,C,high,14.048,2.5,9.2,9.6,"(0.355, 0.337)","(0.3, 0.3)","(0.3, 0.3)",217,14
80117-01-11-02,4U 1630-47,C,high,14.039000000000001,2.3,5.7,10.6,"(0.275, 0.265)","(0.2, 0.2)","(0.3, 0.3)",218,14
80117-01-12-01,4U 1630-47,C,high,11.661,2.4,8.0,11.8,"(0.075, 0.075)","(0.5, 0.6)","(0.5, 0.5)",219,14
80117-01-16-00,4U 1630-47,C,high,13.335,1.7,7.7,7.9,"(0.233, 0.249)","(0.4, 0.4)","(0.4, 0.4)",220,14
80117-01-17-00,4U 1630-47,C,high,13.14,1.7,7.7,9.7,"(0.199, 0.199)","(0.5, 0.5)","(0.5, 0.5)",221,14
80117-01-21-01,4U 1630-47,C,high,0.794,8.4,12.1,13.1,"(0.061, 0.061)","(0.8, 1.0)","(0.8, 0.9)",222,14
80117-01-22-00,4U 1630-47,C,high,4.024,6.7,13.2,14.8,"(0.009, 0.009)","(1.0, 1.0)","(0.9, 0.9)",223,14
80417-01-01-00,4U 1630-47,C,high,12.257,2.3,11.4,13.6,"(0.144, 0.144)","(0.2, 0.2)","(0.3, 0.3)",224,14
10255-01-03-00,GRO J1655-40,C,high,19.471,1.1,6.0,8.9,"(0.129, 0.129)","(0.1, 0.1)","(0.2, 0.2)",225,10
10255-01-06-00,GRO J1655-40,C,high,20.104,1.0,6.8,6.8,"(0.26, 0.258)","(0.4, 0.5)","(0.4, 0.5)",226,10
10255-01-07-00,GRO J1655-40,C,high,18.279,1.3,5.4,9.0,"(0.144, 0.147)","(0.1, 0.1)","(0.1, 0.1)",227,10
10255-01-09-00,GRO J1655-40,C,high,18.180999999999997,1.4,7.4,7.6,"(0.127, 0.127)","(0.1, 0.1)","(0.1, 0.1)",228,10
10255-01-10-00,GRO J1655-40,C,high,17.889,1.5,6.1,9.3,"(0.111, 0.111)","(0.1, 0.1)","(0.1, 0.1)",229,10
10255-01-11-00,GRO J1655-40,C,high,20.934,1.0,6.8,9.4,"(0.22, 0.22)","(0.2, 0.2)","(0.2, 0.2)",230,10
10255-01-16-00,GRO J1655-40,C,high,21.516,0.9,8.3,8.4,"(0.233, 0.218)","(0.3, 0.3)","(0.3, 0.3)",231,10
10255-01-17-00,GRO J1655-40,C,high,17.423,1.7,6.4,6.6,"(0.099, 0.1)","(0.6, 0.6)","(0.6, 0.5)",232,10
10255-01-18-00,GRO J1655-40,C,high,9.875,3.9,15.0,15.6,"(0.043, 0.042)","(0.5, 0.5)","(0.5, 0.5)",233,10
20187-01-01-00,GRO J1655-40,C,high,11.05,1.4,5.0,5.2,"(0.134, 0.134)","(0.1, 0.1)","(0.1, 0.1)",234,10
20402-02-25-00,GRO J1655-40,C,high,6.44,10.0,22.4,27.9,"(0.012, 0.012)","(1.3, 1.6)","(1.2, 1.5)",235,10
20402-02-26-00,GRO J1655-40,C,high,0.77,6.3,31.4,32.1,"(0.013, 0.013)","(2.7, 2.7)","(2.7, 2.7)",236,10
90058-16-05-00,GRO J1655-40,C,high,0.106,6.7,40.5,41.0,"(0.001, 0.001)","(1.5, 1.6)","(1.5, 1.6)",237,10
90058-16-07-00,GRO J1655-40,C,high,0.122,5.8,42.3,42.6,"(0.002, 0.002)","(1.1, 1.2)","(1.1, 1.2)",238,10
90428-01-01-01,GRO J1655-40,C,high,0.11,7.3,39.5,40.2,"(0.003, 0.003)","(1.3, 1.4)","(1.3, 1.4)",239,10
90428-01-01-02,GRO J1655-40,C,high,0.129,7.0,38.7,39.3,"(0.001, 0.001)","(1.7, 1.6)","(1.7, 1.6)",240,10
90428-01-01-03,GRO J1655-40,C,high,0.11199999999999999,8.1,40.1,40.9,"(0.003, 0.003)","(2.1, 2.2)","(2.1, 2.1)",241,10
90428-01-01-04,GRO J1655-40,C,high,0.122,6.9,39.8,40.4,"(0.001, 0.001)","(1.0, 1.0)","(1.0, 1.0)",242,10
90428-01-01-09,GRO J1655-40,C,high,0.129,7.9,36.5,37.4,"(0.002, 0.002)","(3.3, 2.7)","(3.3, 2.6)",243,10
90428-01-01-10,GRO J1655-40,C,high,0.161,7.6,36.7,37.5,"(0.001, 0.001)","(2.6, 1.9)","(2.5, 1.9)",244,10
90704-04-01-00,GRO J1655-40,C,high,2.31,22.2,32.7,39.5,"(0.004, 0.004)","(1.4, 1.4)","(1.2, 1.2)",245,10
90704-04-01-01,GRO J1655-40,C,high,2.044,21.8,32.9,39.5,"(0.004, 0.004)","(1.0, 1.1)","(0.9, 0.9)",246,10
91404-01-01-00,GRO J1655-40,C,high,0.16899999999999998,7.1,40.2,40.9,"(0.002, 0.002)","(0.8, 0.8)","(0.8, 0.8)",247,10
91404-01-01-01,GRO J1655-40,C,high,0.377,10.1,38.7,40.0,"(0.004, 0.004)","(2.2, 1.9)","(2.1, 1.9)",248,10
91404-01-01-02,GRO J1655-40,C,high,0.24600000000000002,8.1,40.9,41.7,"(0.002, 0.002)","(0.6, 0.6)","(0.6, 0.6)",249,10
91404-01-01-03,GRO J1655-40,C,high,0.313,9.0,39.3,40.3,"(0.004, 0.004)","(1.5, 1.5)","(1.5, 1.4)",250,10
91404-01-01-04,GRO J1655-40,C,high,0.41700000000000004,11.8,38.8,40.5,"(0.005, 0.005)","(1.5, 1.6)","(1.4, 1.6)",251,10
91404-01-01-05,GRO J1655-40,C,high,0.466,9.7,36.8,38.0,"(0.006, 0.006)","(1.9, 2.3)","(1.9, 2.2)",252,10
91702-01-01-00,GRO J1655-40,C,high,0.491,12.5,44.4,46.2,"(0.003, 0.003)","(0.6, 0.6)","(0.6, 0.6)",253,10
91702-01-01-01,GRO J1655-40,C,high,0.504,13.3,38.4,40.7,"(0.005, 0.005)","(0.8, 0.8)","(0.8, 0.8)",254,10
91702-01-01-02,GRO J1655-40,C,high,0.519,13.6,38.4,40.7,"(0.005, 0.005)","(1.8, 1.7)","(1.7, 1.6)",255,10
91702-01-01-03,GRO J1655-40,C,high,0.889,17.9,34.9,39.2,"(0.005, 0.005)","(1.2, 1.3)","(1.1, 1.2)",256,10
91702-01-01-04,GRO J1655-40,C,high,1.3330000000000002,20.8,33.2,39.1,"(0.005, 0.005)","(3.2, 4.5)","(2.8, 3.8)",257,10
91702-01-01-05,GRO J1655-40,C,high,1.526,20.9,32.2,38.4,"(0.005, 0.005)","(2.5, 3.0)","(2.1, 2.5)",258,10
91702-01-71-03,GRO J1655-40,C,high,9.857999999999999,9.4,16.8,19.3,"(0.014, 0.015)","(1.7, 1.7)","(1.5, 1.5)",259,10
91702-01-71-04,GRO J1655-40,C,high,10.373,7.9,13.4,19.9,"(0.022, 0.022)","(0.6, 0.6)","(1.9, 1.9)",260,10
91702-01-76-00,GRO J1655-40,C,high,13.177999999999999,4.1,9.9,10.7,"(0.052, 0.053)","(0.3, 0.3)","(0.2, 0.3)",261,10
91702-01-76-01,GRO J1655-40,C,high,12.690999999999999,4.7,11.8,12.7,"(0.065, 0.065)","(0.9, 1.0)","(0.8, 0.9)",262,10
91702-01-79-00,GRO J1655-40,C,high,8.679,10.3,19.1,25.5,"(0.015, 0.015)","(0.5, 0.5)","(0.6, 0.6)",263,10
91702-01-79-01,GRO J1655-40,C,high,9.736,8.1,15.8,22.9,"(0.015, 0.015)","(0.5, 0.5)","(1.4, 1.4)",264,10
91702-01-80-00,GRO J1655-40,C,high,7.7620000000000005,11.2,18.7,27.8,"(0.017, 0.017)","(1.8, 2.4)","(1.3, 1.7)",265,10
91702-01-80-01,GRO J1655-40,C,high,4.739,11.5,29.7,34.7,"(0.008, 0.008)","(0.8, 0.8)","(1.1, 1.4)",266,10
91702-01-80-02,GRO J1655-40,C,high,1.443,9.8,31.3,32.8,"(0.02, 0.02)","(0.5, 0.5)","(0.5, 0.5)",267,10
91702-01-81-00,GRO J1655-40,C,high,2.149,12.4,29.8,32.3,"(0.017, 0.017)","(1.3, 1.3)","(1.3, 1.3)",268,10
91702-01-81-01,GRO J1655-40,C,high,1.304,9.2,33.8,48.3,"(0.006, 0.006)","(2.7, 4.7)","(2.1, 3.5)",269,10
91702-01-81-02,GRO J1655-40,C,high,0.584,8.0,26.3,27.5,"(0.004, 0.004)","(1.6, 1.7)","(1.5, 1.6)",270,10
91702-01-82-00,GRO J1655-40,C,high,0.419,7.7,29.4,30.4,"(0.007, 0.007)","(1.8, 1.9)","(1.7, 1.9)",271,10
91702-01-87-03,GRO J1655-40,C,high,0.456,7.1,34.1,34.8,"(0.007, 0.007)","(2.8, 2.7)","(2.7, 2.7)",272,10
91704-01-01-01,GRO J1655-40,C,high,0.316,7.9,30.7,31.7,"(0.002, 0.002)","(1.3, 1.5)","(1.3, 1.5)",273,10
91702-01-58-00,GRO J1655-40,C,high,18.797,1.6,7.6,10.3,"(0.19, 0.192)","(0.5, 0.5)","(0.3, 0.4)",274,10
95360-14-01-00,H1743-322,C,high,1.006,17.1,33.4,37.5,"(0.001, 0.001)","(2.9, 2.1)","(2.6, 1.9)",275,7
95360-14-02-00,H1743-322,C,high,1.173,17.5,30.9,35.5,"(0.002, 0.002)","(2.4, 2.4)","(2.1, 2.1)",276,7
95360-14-02-01,H1743-322,C,high,1.038,17.5,28.6,33.5,"(0.003, 0.004)","(0.9, 0.9)","(1.0, 1.0)",277,7
95360-14-02-02,H1743-322,C,high,2.9560000000000004,14.9,25.5,29.5,"(0.009, 0.009)","(0.5, 0.5)","(0.5, 0.5)",278,7
95360-14-02-03,H1743-322,C,high,1.766,17.9,26.1,31.7,"(0.004, 0.004)","(3.0, 3.3)","(2.5, 2.7)",279,7
95360-14-03-00,H1743-322,C,high,1.4769999999999999,17.7,31.8,36.4,"(0.002, 0.002)","(2.6, 2.6)","(2.3, 2.2)",280,7
95360-14-03-01,H1743-322,C,high,4.792,9.4,22.5,24.3,"(0.017, 0.017)","(0.9, 1.1)","(0.9, 1.0)",281,7
95360-14-23-01,H1743-322,C,high,2.557,13.8,14.8,20.2,"(0.037, 0.036)","(2.4, 2.8)","(1.9, 2.2)",282,7
95360-14-24-00,H1743-322,C,high,1.565,9.1,25.8,27.3,"(0.022, 0.023)","(1.9, 1.3)","(1.8, 1.2)",283,7
95368-01-01-00,H1743-322,C,high,0.92,18.8,24.5,30.8,"(0.002, 0.002)","(2.3, 3.2)","(1.8, 2.6)",284,7
95405-01-02-02,H1743-322,C,high,3.0610000000000004,10.9,19.9,22.7,"(0.017, 0.017)","(1.6, 1.6)","(1.4, 1.4)",285,7
95405-01-02-06,H1743-322,C,high,3.823,9.4,21.3,23.3,"(0.024, 0.024)","(1.5, 1.9)","(1.4, 1.8)",286,7
95405-01-03-00,H1743-322,C,high,2.04,13.5,19.3,23.5,"(0.015, 0.015)","(1.1, 1.2)","(1.0, 1.1)",287,7
95405-01-03-01,H1743-322,C,high,2.201,11.8,23.8,26.6,"(0.012, 0.012)","(1.5, 1.7)","(1.3, 1.6)",288,7
95405-01-03-02,H1743-322,C,high,1.339,9.8,26.4,28.2,"(0.017, 0.017)","(0.8, 0.8)","(0.8, 0.8)",289,7
95405-01-03-04,H1743-322,C,high,2.218,13.2,22.3,25.9,"(0.018, 0.018)","(1.8, 2.0)","(1.6, 1.8)",290,7
95405-01-04-01,H1743-322,C,high,0.893,7.6,23.2,24.4,"(0.016, 0.016)","(1.0, 1.0)","(1.0, 1.0)",291,7
93427-01-03-01,H1743-322,C,high,6.989,16.3,16.5,23.2,"(0.037, 0.036)","(0.6, 0.6)","(0.7, 0.7)",292,7
93427-01-04-00,H1743-322,C,high,3.7889999999999997,10.4,15.8,18.9,"(0.03, 0.03)","(0.9, 1.1)","(0.9, 1.1)",293,7
93427-01-04-02,H1743-322,C,high,2.449,11.2,44.5,45.9,"(0.036, 0.037)","(1.8, 1.8)","(1.8, 1.7)",294,7
93427-01-04-03,H1743-322,C,high,2.307,8.7,19.9,26.4,"(0.03, 0.03)","(1.4, 1.8)","(2.0, 2.2)",295,7
93427-01-09-00,H1743-322,C,high,0.332,15.4,32.1,35.6,"(0.003, 0.003)","(0.9, 0.9)","(0.9, 0.9)",296,7
93427-01-09-01,H1743-322,C,high,0.376,16.0,36.2,39.6,"(0.002, 0.002)","(0.8, 0.8)","(0.7, 0.7)",297,7
93427-01-09-02,H1743-322,C,high,0.469,14.3,33.8,36.7,"(0.002, 0.002)","(1.9, 2.5)","(1.8, 2.3)",298,7
93427-01-09-03,H1743-322,C,high,0.43200000000000005,15.6,31.6,35.3,"(0.002, 0.002)","(1.9, 2.1)","(1.7, 1.9)",299,7
93427-01-10-00,H1743-322,C,high,0.58,14.4,34.5,37.4,"(0.005, 0.005)","(0.9, 0.9)","(0.9, 0.9)",300,7
93427-01-10-01,H1743-322,C,high,0.6759999999999999,16.8,32.5,64.1,"(0.004, 0.004)","(1.4, 1.5)","(1.5, 1.6)",301,7
93427-01-10-02,H1743-322,C,high,0.745,14.8,33.6,36.8,"(0.006, 0.006)","(1.4, 1.5)","(1.3, 1.4)",302,7
93427-01-11-00,H1743-322,C,high,0.858,15.2,35.7,38.8,"(0.003, 0.003)","(0.5, 0.5)","(0.5, 0.5)",303,7
93427-01-11-01,H1743-322,C,high,1.0270000000000001,17.1,32.8,37.0,"(0.004, 0.004)","(2.4, 2.8)","(2.1, 2.5)",304,7
93427-01-11-03,H1743-322,C,high,5.582000000000001,5.9,21.5,25.9,"(0.026, 0.027)","(0.5, 0.5)","(1.1, 1.2)",305,7
93427-01-12-02,H1743-322,C,high,3.2969999999999997,11.7,24.2,26.8,"(0.018, 0.018)","(1.8, 2.0)","(1.7, 1.8)",306,7
93427-01-12-04,H1743-322,C,high,3.845,11.1,18.1,23.4,"(0.012, 0.012)","(0.9, 1.0)","(1.2, 1.6)",307,7
93427-01-12-05,H1743-322,C,high,2.9330000000000003,12.5,22.5,25.7,"(0.016, 0.016)","(1.1, 1.4)","(1.0, 1.3)",308,7
93427-01-13-00,H1743-322,C,high,2.595,12.9,23.1,26.4,"(0.009, 0.009)","(1.1, 1.3)","(1.0, 1.2)",309,7
93427-01-13-01,H1743-322,C,high,2.204,11.2,27.3,29.5,"(0.015, 0.015)","(0.8, 0.8)","(0.8, 0.8)",310,7
93427-01-13-02,H1743-322,C,high,2.242,12.5,23.5,26.6,"(0.012, 0.012)","(1.3, 1.4)","(1.1, 1.2)",311,7
93427-01-13-03,H1743-322,C,high,1.8130000000000002,12.0,24.4,27.3,"(0.011, 0.011)","(1.4, 1.4)","(1.2, 1.3)",312,7
93427-01-13-04,H1743-322,C,high,2.377,12.4,23.6,26.6,"(0.009, 0.009)","(1.4, 1.4)","(1.3, 1.3)",313,7
93427-01-13-05,H1743-322,C,high,2.275,11.8,28.7,31.0,"(0.008, 0.008)","(0.4, 0.4)","(0.4, 0.4)",314,7
93427-01-13-06,H1743-322,C,high,2.106,12.6,26.7,29.5,"(0.01, 0.01)","(2.2, 2.4)","(2.0, 2.2)",315,7
93427-01-14-00,H1743-322,C,high,1.88,11.8,24.7,27.3,"(0.014, 0.014)","(1.6, 1.7)","(1.5, 1.5)",316,7
93427-01-14-01,H1743-322,C,high,1.79,11.1,24.2,26.6,"(0.024, 0.024)","(2.0, 2.7)","(1.9, 2.5)",317,7
93427-01-14-02,H1743-322,C,high,1.526,11.1,29.5,31.5,"(0.011, 0.011)","(0.5, 0.5)","(0.5, 0.5)",318,7
93427-01-14-03,H1743-322,C,high,1.47,10.3,31.1,32.8,"(0.015, 0.015)","(1.1, 1.1)","(1.1, 1.1)",319,7
93427-01-14-04,H1743-322,C,high,1.716,10.5,30.5,32.3,"(0.011, 0.01)","(0.7, 0.7)","(0.7, 0.7)",320,7
93427-01-14-05,H1743-322,C,high,2.191,11.6,23.9,26.6,"(0.016, 0.016)","(1.7, 1.9)","(1.5, 1.7)",321,7
93427-01-14-06,H1743-322,C,high,2.081,10.6,28.0,29.9,"(0.019, 0.019)","(0.6, 0.6)","(0.6, 0.6)",322,7
93427-01-15-00,H1743-322,C,high,1.796,9.7,28.6,30.2,"(0.014, 0.014)","(0.6, 0.6)","(0.6, 0.6)",323,7
93427-01-15-01,H1743-322,C,high,1.9180000000000001,12.6,20.3,23.9,"(0.021, 0.021)","(1.4, 1.5)","(1.2, 1.3)",324,7
93427-01-15-02,H1743-322,C,high,1.758,9.1,28.6,30.0,"(0.013, 0.013)","(0.5, 0.5)","(0.5, 0.5)",325,7
93427-01-15-03,H1743-322,C,high,1.5330000000000001,8.4,26.7,28.0,"(0.019, 0.019)","(1.4, 1.1)","(1.4, 1.0)",326,7
93427-01-15-04,H1743-322,C,high,1.0090000000000001,6.5,21.7,22.7,"(0.013, 0.013)","(1.1, 1.2)","(1.1, 1.2)",327,7
93427-01-15-05,H1743-322,C,high,0.85,8.1,20.5,22.0,"(0.022, 0.022)","(1.4, 1.6)","(1.4, 1.5)",328,7
93427-01-15-06,H1743-322,C,high,1.026,9.5,26.4,28.1,"(0.022, 0.022)","(1.2, 1.1)","(1.1, 1.1)",329,7
94413-01-02-00,H1743-322,C,high,0.909,18.0,34.4,38.8,"(0.002, 0.002)","(0.7, 0.7)","(0.7, 0.7)",330,7
94413-01-02-01,H1743-322,C,high,1.193,17.8,31.6,36.3,"(0.002, 0.002)","(2.3, 2.5)","(2.0, 2.2)",331,7
94413-01-02-02,H1743-322,C,high,1.004,18.4,31.9,36.8,"(0.001, 0.001)","(1.3, 1.5)","(1.2, 1.3)",332,7
94413-01-02-03,H1743-322,C,high,3.5789999999999997,14.1,23.6,34.3,"(0.005, 0.006)","(0.9, 0.9)","(0.7, 0.7)",333,7
94413-01-02-04,H1743-322,C,high,2.017,17.9,26.9,32.4,"(0.003, 0.003)","(1.7, 1.7)","(1.5, 1.5)",334,7
94413-01-02-05,H1743-322,C,high,1.2770000000000001,18.1,32.9,37.6,"(0.002, 0.002)","(1.7, 1.8)","(1.5, 1.6)",335,7
94413-01-07-00,H1743-322,C,high,4.965,6.6,16.6,17.9,"(0.038, 0.035)","(2.3, 2.8)","(2.1, 2.6)",336,7
94413-01-07-01,H1743-322,C,high,3.431,8.8,18.7,20.6,"(0.032, 0.032)","(1.1, 1.2)","(1.0, 1.1)",337,7
94413-01-07-02,H1743-322,C,high,3.766,7.1,18.6,19.9,"(0.036, 0.036)","(1.3, 1.3)","(1.2, 1.2)",338,7
80137-01-20-00,H1743-322,C,high,7.846,3.7,9.7,10.4,"(0.073, 0.073)","(0.7, 0.7)","(0.6, 0.6)",339,7
80137-01-25-00,H1743-322,C,high,6.952999999999999,5.0,12.3,13.3,"(0.043, 0.043)","(0.6, 0.7)","(0.6, 0.7)",340,7
80137-01-26-00,H1743-322,C,high,5.82,7.4,19.8,21.1,"(0.086, 0.086)","(1.1, 1.1)","(1.1, 1.1)",341,7
80137-01-27-00,H1743-322,C,high,5.837999999999999,5.8,14.1,15.2,"(0.073, 0.073)","(1.0, 1.0)","(1.0, 1.0)",342,7
80137-01-28-00,H1743-322,C,high,2.9730000000000003,9.0,17.7,19.9,"(0.057, 0.06)","(2.5, 2.7)","(2.3, 2.5)",343,7
80137-02-01-00,H1743-322,C,high,2.34,8.3,15.3,17.4,"(0.036, 0.037)","(0.6, 0.7)","(0.7, 0.8)",344,7
80138-01-02-00G,H1743-322,C,high,0.161,12.3,31.1,33.4,"(0.003, 0.003)","(1.5, 1.9)","(1.5, 1.8)",345,7
80138-01-03-00G,H1743-322,C,high,2.2159999999999997,13.9,16.4,21.5,"(0.005, 0.005)","(0.8, 1.0)","(0.7, 0.8)",346,7
80138-01-04-00G,H1743-322,C,high,3.6639999999999997,12.4,14.2,18.8,"(0.013, 0.013)","(0.7, 0.9)","(0.8, 0.9)",347,7
80138-01-05-00G,H1743-322,C,high,2.072,13.3,15.9,20.7,"(0.006, 0.006)","(1.0, 1.1)","(0.8, 0.8)",348,7
80138-01-06-00,H1743-322,C,high,3.136,14.1,13.1,19.3,"(0.017, 0.017)","(0.7, 1.0)","(1.3, 1.5)",349,7
80138-01-07-00,H1743-322,C,high,7.143,7.2,12.8,14.7,"(0.018, 0.018)","(0.8, 0.8)","(0.7, 0.7)",350,7
80146-01-01-00,H1743-322,C,high,8.517000000000001,4.6,14.6,15.3,"(0.01, 0.01)","(0.4, 0.4)","(0.4, 0.3)",351,7
80146-01-02-00,H1743-322,C,high,5.672000000000001,9.5,12.7,15.8,"(0.025, 0.029)","(1.3, 1.7)","(1.1, 1.4)",352,7
80146-01-03-00,H1743-322,C,high,4.756,11.8,14.6,18.8,"(0.008, 0.008)","(0.5, 0.5)","(0.4, 0.4)",353,7
80146-01-03-01,H1743-322,C,high,7.016,6.7,14.7,16.1,"(0.018, 0.018)","(0.4, 0.4)","(0.4, 0.4)",354,7
80146-01-29-00,H1743-322,C,high,5.527,10.0,16.0,18.8,"(0.02, 0.02)","(0.3, 0.3)","(0.5, 0.5)",355,7
80146-01-30-00,H1743-322,C,high,4.431,12.3,12.8,17.7,"(0.004, 0.004)","(0.3, 0.3)","(0.2, 0.2)",356,7
80146-01-31-00,H1743-322,C,high,5.301,12.2,13.9,18.5,"(0.018, 0.018)","(0.9, 0.8)","(0.9, 0.9)",357,7
80146-01-32-00,H1743-322,C,high,4.862,12.6,16.2,20.5,"(0.007, 0.007)","(0.3, 0.3)","(0.3, 0.3)",358,7
80146-01-33-00,H1743-322,C,high,6.22,8.4,17.4,19.3,"(0.013, 0.013)","(0.3, 0.3)","(0.3, 0.3)",359,7
80146-01-33-01,H1743-322,C,high,5.879,8.8,16.9,19.1,"(0.03, 0.03)","(0.4, 0.4)","(0.5, 0.5)",360,7
