observation_ID,A,B,C,D,E,F
1050360110_6,8386.0,0.6603701829806105,2.4796400000000003,91.9482,0.2,14584800.0
1050360111_2,10720.0,0.6609444352105925,2.59049,135.69299999999998,0.2,4083820.0
1050360111_3,10100.0,0.6644225321101037,2.56902,124.022,0.2,8709270.0
1050360111_6,10640.0,0.6661297858181934,2.60279,136.246,0.2,5522010.0
1050360112_1,11120.0,0.6580254965471308,2.56732,137.043,0.2,5177500.0
1050360112_3,10520.0,0.6642666365926051,2.57348,129.916,0.2,8048730.0
1050360113_0,10490.0,0.6647801739866641,2.57411,129.644,0.2,8162670.0
1050360113_1,10710.0,0.6681536799134006,2.61436,138.952,0.2,5355820.0
1050360113_2,10820.0,0.6670509537786953,2.60546,138.945,0.2,5847970.0
1050360113_4,10950.0,0.6691852075022562,2.62896,144.53,0.2,4080230.0
1050360113_7,10720.0,0.690657648471463,2.86036,132.042,0.3215949999999999,0.1
1050360114_1,10600.0,0.6927622680827533,2.86703,133.787,0.315118,0.1
1050360114_2,10540.0,0.6933143492229756,2.86732,133.52,0.313876,0.1
1050360115_10,10440.0,0.6939065778136724,2.87013,132.658,0.313433,0.1
1050360115_12,10520.0,0.6885110983408157,2.80386,139.509,0.277811,0.1
1050360115_14,10460.0,0.6891992512448762,2.80602,140.18,0.274632,0.1
1050360115_15,10660.0,0.6748077239427069,2.67566,148.539,0.2,1777370.0
1050360115_16,10640.0,0.675342486459555,2.68233,149.393,0.2,1283680.0
1050360115_17,10650.0,0.6742391000092643,2.67391,148.144,0.2,1647090.0
1050360115_18,10600.0,0.6730852075697336,2.66696,146.335,0.2,1831110.0
1050360115_19,10790.0,0.6743784866759777,2.67734,150.61700000000002,0.2,1419460.0
1050360115_2,10530.0,0.6939225364709433,2.87549,132.717,0.317777,0.1
1050360115_20,10530.0,0.6879657934217964,2.79911,139.74200000000002,0.276043,0.1
1050360115_21,10450.0,0.6860962230543474,2.74403,157.018,0.2,0.1
1050360115_4,10610.0,0.6921752706121687,2.86053,133.605,0.313929,0.1
1050360115_6,10610.0,0.6903287039925095,2.82401,139.678,0.287079,0.1
1050360116_1,10500.0,0.6765459571534426,2.68623,147.974,0.2,1636070.0
1050360116_2,10590.0,0.6728655716249526,2.65956,144.798,0.2,2833730.0
1050360116_3,10300.0,0.6871586465177544,2.74913,155.56799999999998,0.2,0.1
