observation_ID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
1050360103_0,2030.2393864199278,28024.057753645713,82258.46625526063,69316.18680073437,54348.63429879608,47534.81717998948,38545.74357573294,28807.746049088633,21375.123089900608,15590.331413526023,11459.33062677432,8496.412774675178,6342.014913058337,4226.354495702932,2990.72935054325,2072.949901887666,1426.3325630621412,917.7794486555838,650.5904100318262
1050360103_1,2289.1672387558106,32192.470413193416,94162.00681484008,78568.23536820473,62334.33204933375,54551.36223628208,43095.58610659875,32673.563310960595,24115.278497375042,17671.218050629963,12932.850605059422,9556.25437837532,7046.420562544482,4656.859971155438,3257.316995832736,2327.9329887825043,1639.0954306158626,1058.6031738058787,722.633340241196
1050360103_2,2290.160815896022,31473.80732401547,92344.96973923098,76958.94575083924,61563.975821760425,53154.791575892225,42366.98110066674,32378.341326821628,23585.47562481806,17497.265990545868,12756.91141979581,9396.21970167756,7024.551426188015,4785.084274185526,3275.208284886021,2272.2689345218346,1531.7438443124004,1032.7591526544995,702.7533406417047
1050360104_0,8103.462902447567,114432.0459103861,354111.3737228278,292620.6247598818,217636.71410408875,175998.45374072608,130113.34168917652,92392.41873627227,63076.59864397792,43447.10460092373,30466.63128581147,21280.051965936018,14777.371415716423,9611.66269325937,6523.586289894214,4460.88664199847,2965.628499556671,1916.359470173411,1207.555344062518
1050360104_1,4195.254065920123,60431.09295711838,188976.81083940406,155635.8942791194,116134.46873477394,93995.10858732309,69399.67556790721,48569.16329732106,33216.972632551195,22835.429245601616,16089.904922639053,11270.965012364462,7704.354547908144,5117.39688825662,3373.2579371922143,2300.399298731904,1528.9722925192223,989.5683190234654,631.6182557294063
1050360104_11,20324.76725180047,289609.46716616186,900563.2667001599,740356.7475019488,552156.5097310658,445901.1579014734,329576.2523916844,230513.7240969351,158701.2766377694,108815.66162238621,75507.67820104599,52941.017851929726,36723.72615465038,23827.350902059177,15970.74334686217,10816.185931662405,7429.390170668446,4653.475342691964,3039.4320931997063
1050360104_12,31132.171341378165,445060.50343259884,1378442.3337165064,1129382.9653486407,838660.8830344958,676945.1890639316,501161.13764387247,352387.13394473935,243311.16835921523,168580.57297307602,117580.90443411843,82616.26681416643,58018.36557819094,37423.72857065537,25103.303356631826,17053.825707680415,11495.40119888098,7550.068438816695,4731.402856816336
1050360104_13,30316.098146012573,437825.5049326481,1344652.5945103683,1097172.672728213,811955.4413732901,655405.8353204671,487652.4972926897,343639.0452933263,237952.2049854098,164500.19056923894,115434.29687772862,80326.87286171003,57647.730646918215,37461.636039283985,25086.291547023317,17309.50121476008,11489.39367994144,7429.201963957615,4708.424046530814
1050360104_14,32898.97391430476,464519.0883411032,1437110.9237827398,1181924.8790731276,878132.0162686126,708480.1074306238,521847.8252573835,367451.28359288274,252810.79013365757,173115.90499838008,120224.03975005206,84994.75930685659,60006.64167579843,38458.547913364186,25943.013919793477,17534.73258237302,11526.676958164891,7580.238425954364,4789.464126031251
1050360104_5,25386.378905026613,357144.66461282835,1124838.7475106285,929751.5398024783,691519.9689680272,557145.3972213379,410764.0916955749,286760.74188345834,196076.70235888302,134151.91048824997,93142.29969622429,64751.49152373553,45926.13113532366,29432.223834158092,19745.959851555803,13443.547908644185,9080.186028016205,5730.282341630196,3683.396333555287
1050360104_6,9134.30119784723,125406.96582420474,393688.9790308257,326156.4836040559,244075.21892691066,195722.36640117984,144404.40062417483,101212.11961669575,68675.52766735503,47206.83326709537,32588.36692887943,22946.27266247954,15875.005264712912,10395.818487761386,6925.899185984886,4555.202526722375,3021.8665942300354,2026.1939107934506,1246.5821996626044
1050360104_7,5361.841294351197,77335.05157110984,240927.32218664885,198114.0274655005,147941.73219033427,119290.29278636463,87914.73212467962,61765.94877956628,42572.96029009949,29225.461309532693,20342.025418076602,14480.646029437821,10092.059869086286,6523.788750248752,4308.1436441740125,2953.531396443871,2015.0353743727685,1344.6810728934097,762.7142274609594
1050360104_8,5909.708096979162,82966.41979323268,256009.19064095948,211027.64816037143,157676.33752091447,126362.23696736834,93844.93256287371,65442.962882267406,45285.57252054695,31085.58124246588,21373.510521556113,14884.55564909967,10681.787449667616,6907.244567955471,4616.090083820644,3172.444175126844,2161.991395263392,1367.1416175930274,865.3926954386098
1050360104_9,23120.8919226394,326332.136221475,1014050.6319550556,837042.3786676096,623729.9622524437,501865.819908777,370928.63184668776,260741.24376387816,179363.3715587664,123227.89459403703,85795.59087852937,59707.58937455726,42096.615951034706,27391.85248419436,18465.56487763454,12422.525074200183,8220.450973315463,5376.138995786224,3438.332906497262
1050360105_1,5365.392460946205,74219.11158696853,231454.39451833486,191429.85723334854,142387.88699457218,114699.2853455116,84832.76120629079,59608.96427148172,40510.94659226912,27965.55715259509,19183.387476000997,13373.277934110503,9300.34448965865,5970.922414910531,4007.4170887770265,2741.7602177860163,1816.5898618929798,1230.9133490422378,792.1523004320206
1050360105_15,18777.28901777543,264297.12893525086,826919.2354945339,681148.7537707099,508347.99726290035,408973.8655079545,301521.38795162214,211096.8059368661,144008.11499309546,98718.48342986719,68620.53292093295,47879.29275589017,33553.82592711858,21604.460562596745,14505.096506875312,9749.899750407416,6416.771278927296,4310.114331833125,2679.476031713809
1050360105_16,32365.655978459046,457266.27058963024,1406964.1509255879,1150402.103383221,857220.4395855073,692255.8752909048,512423.9245860024,362080.03897960775,249583.3153388893,172160.03971951347,120346.4239966841,83710.82667431961,59731.23561362202,38676.17981724143,25873.347502345485,17739.983206808145,11868.93871102422,7741.828153593261,5076.985228320805
1050360105_17,34350.2670829282,492512.98669030133,1516311.3695400169,1242892.71315779,922774.3552403187,743879.8664026806,549268.6420095352,388558.17847076966,268263.3193921436,185087.68576430294,129318.94634241503,91047.98604381586,64156.525646598515,41517.39417144775,27960.286318432103,19005.12334302059,12563.199636558917,8180.014456848291,5251.231652173827
1050360105_18,31530.695652381015,449344.3752315814,1374112.2711421489,1121736.8595459212,833311.0995531717,673099.647660826,501138.09745200136,354944.0613853499,246613.22890430607,171298.33486692206,119246.91752871468,84303.25979307889,60099.89508677832,38944.923789343266,26180.02609429038,17822.91349534614,12259.495642337955,7852.709364515317,5020.060705425335
