mse,mae,fold
0.016551457876646452,0.0831604858309929,0
0.022224259418213613,0.09821322870546928,1
0.016305926893748945,0.08494958531396612,2
0.015985632756677477,0.08156260436700818,3
0.01866287999544716,0.09262164538041308,4
0.0141219597491285,0.07211173422328593,5
0.019569656289470234,0.0932109068610032,6
0.014900481356388573,0.07774225925542878,7
0.016324806622721906,0.08144627552028079,8
0.015530707210656277,0.07622018471827845,9
0.02046984232707091,0.09475257734618321,10
0.021855828413150983,0.09436087341885568,11
0.01357469205059516,0.0787649559831688,12
0.019373991150605632,0.0842286967287131,13
0.013063673013236335,0.07635205927702952,14
0.013651482265815163,0.06891352238483606,15
0.01976201105859509,0.09304738130208974,16
0.018403008353771715,0.09074126483306032,17
0.0166069751737168,0.08867791444763501,18
0.019542530596797284,0.09567358222074197,19
