mse,mae,fold
0.018328846061686447,0.1071358355649626,0
0.020881602502802504,0.11439498623606188,1
0.02465901771328821,0.12258353433297065,2
0.022030271837671162,0.11523197218962845,3
0.02019974310043817,0.11093017710546706,4
0.023492273696697874,0.11739994955455853,5
0.018606621666180958,0.10847629664743362,6
0.02027293503570226,0.11246922833983397,7
0.022709455282167085,0.11472274160291078,8
0.018302168821523333,0.10598064409871644,9
0.022726554750093924,0.11703003139511958,10
0.02138807168830271,0.11709043174128303,11
0.02039175273002442,0.1138124680668375,12
0.020038413004109905,0.11221941755135593,13
0.012621928379271272,0.08716817646330123,14
0.023006272203036998,0.12207270036067085,15
0.024845110636817186,0.12025391666839629,16
0.021063282464857086,0.11050760509823038,17
0.02081115914832284,0.10906506356850543,18
0.022215441056928506,0.11838244993788988,19
