mse,mae,fold
0.008627048404077443,0.06448022916036887,0
0.010617228261367538,0.06824094239972471,1
0.011443882034938934,0.07520324663113441,2
0.00769354693140835,0.06403042207270286,3
0.008375614821464173,0.06533973886280266,4
0.008636346540244188,0.06352108420466925,5
0.008889259186832173,0.06605871065302416,6
0.006858289130275845,0.056824392514889736,7
0.010442836425148788,0.0640278800125404,8
0.009352223724451941,0.06062741916459319,9
0.007459321854670042,0.05878392955268111,10
0.011995073876810461,0.07857251779064331,11
0.006690203630868263,0.060054793957952234,12
0.009518259823433017,0.06502617182755413,13
0.007870290504689776,0.05994656714717275,14
0.00583702772964012,0.05424145284988837,15
0.011360059473082182,0.07546525223935646,16
0.009778420778622456,0.0668154055313178,17
0.009800159181979044,0.06495373512946011,18
0.012295900867033522,0.07467754248678132,19
