mse,mae,fold
0.020542407902130685,0.0973485600876055,0
0.022533301121708465,0.09889657847807377,1
0.018461494711583395,0.09269507667753339,2
0.013527644507784478,0.08231375766830921,3
0.017368662533123497,0.08955012517855121,4
0.016244218537306492,0.08694037336076482,5
0.013857408732403792,0.08081949952494354,6
0.013708133679198995,0.0787704957333023,7
0.0179439214939443,0.08801936149820488,8
0.018316243400046905,0.08521760649314408,9
0.018005192949072824,0.08646737693513507,10
0.02453396907886322,0.10261918136990432,11
0.010019364695440734,0.06667308835365822,12
0.016898130437611923,0.08551403019633524,13
0.01556187636910563,0.07965676386819244,14
0.013766924926792053,0.07436138698615069,15
0.012433257553572252,0.0773500668727884,16
0.015570713911288647,0.08659260802714237,17
0.01878188869220974,0.0904394878070417,18
0.015291960430985756,0.08352510298954481,19
