mse,mae,fold
0.011129301774100193,0.07885581683803526,0
0.01279511529805736,0.07598167925808996,1
0.015132146982269898,0.08802569910378415,2
0.012211578228877988,0.08003347661084226,3
0.01007116924708242,0.07004713405441136,4
0.015084387547430201,0.08786594863398621,5
0.011620289767412318,0.07397214447142499,6
0.009312158357916229,0.06639085249200094,7
0.012725613401531307,0.07892330751832376,8
0.011183330574834343,0.07252741062135425,9
0.01144367332166287,0.07466043861953854,10
0.01541609730382163,0.08784009857174307,11
0.010536499280512672,0.07707550815919723,12
0.012715490728585617,0.07683222209883672,13
0.00976489138956369,0.07235026976803773,14
0.007133720771516327,0.06411122062074769,15
0.012778708468490467,0.08214448697492246,16
0.013645776617438675,0.0817243940525416,17
0.01480695867819169,0.07680058562610713,18
0.013160077665087151,0.0832635098830548,19
