filename_code,MET_start,MET_end,MJD_mid,interval_time(s),ObsID(RXTE),number_PCUs,which_PCUs(string),spec_filename,spec_MJD,spec_exposure(s),PCA_crate_raw(c/s/PCU),PCA_crate_normalized(c/s/PCU),soft_color(3.6-5.0/2.2-3.6_keV),err_soft_col,hard_color(8.6-18.0/5.0-8.6_keV),err_hard_col,PDS_name,PDS_integrated_rms_(0.1_10Hz),err_PDS_rms,PDS_low_chan_PCU2_0_255,PDS_high_chan_PCU2_0_255,PDS_source_crate(c/s/PCU),sample_std_dev_PDS_source_crate(c/s/PCU),deadtime_correction,average_pointing_offset(deg)
d1159_b,100208371.4,100211751.4,50512.83867,3380,20402-02-02-00,5,1234,bs.s1655_1159_b.2.pha,50512.83865,3376,2582.95,2544.31,0.849,0.005,0.083,0.005,seg1159_b_rsfft.asc,0.0305,0.0005,1,94,2535.974,88.816,1.044,0.001
d1164_a,100629027.4,100631752.4,50517.70359,2725,20402-02-03-00,4,124,bs.s1655_1164_a.2.pha,50517.70374,2688,2617.39,2578.76,0.855,0.005,0.091,0.005,seg1164_a_rsfft.asc,0.0296,0.0006,1,94,2581.381,93.64,1.045,0.002
d1164_b,100634787.4,100637882.4,50517.77239,3095,20402-02-03-00,4,123,bs.s1655_1164_b.2.pha,50517.77226,3072,2596.56,2558.23,0.85,0.005,0.092,0.005,seg1164_b_rsfft.asc,0.0316,0.0006,1,94,2575.413,100.65,1.045,0.001
d1174_a,101507732.4,101508193.4,50527.86068,461,20402-02-04-00,5,1234,bs.s1655_1174_a.2.pha,50527.86068,432,2816.5,2772.42,0.853,0.005,0.105,0.005,seg1174_a_rsfft.asc,0.0255,0.0011,1,94,2763.253,83.214,1.047,0.002
d1174_b,101510565.4,101513955.4,50527.91042,3390,20402-02-04-00,5,1234,bs.s1655_1174_b.2.pha,50527.91041,3360,2706.91,2663.83,0.847,0.005,0.106,0.005,seg1174_b_rsfft.asc,0.0281,0.0005,1,94,2657.135,104.061,1.05,0.002
d1174_c,101517267.4,101519716.4,50527.98255,2449,20402-02-04-00,5,1234,bs.s1655_1174_c.2.pha,50527.98253,2416,2734.99,2691.18,0.847,0.005,0.11,0.005,seg1174_c_rsfft.asc,0.0284,0.0006,1,94,2684.124,106.142,1.05,0.002
d1178_a,101839971.4,101842443.4,50531.71768,2472,20402-02-05-00,5,1234,bs.s1655_1178_a.2.pha,50531.71781,2432,2424.03,2389.39,0.851,0.005,0.075,0.005,seg1178_a_rsfft.asc,0.0342,0.0006,1,94,2381.699,79.847,1.045,0.003
d1178_b,101844691.4,101848203.4,50531.77833,3512,20402-02-05-00,5,1234,bs.s1655_1178_b.2.pha,50531.77828,3504,2461.39,2425.7,0.852,0.005,0.076,0.005,seg1178_b_rsfft.asc,0.0317,0.0005,1,94,2417.74,81.723,1.047,0.002
d1189_a,102786003.4,102787503.4,50542.6615,1500,20402-02-06-00,4,124,bs.s1655_1189_a.2.pha,50542.66142,1488,2737.5,2695.76,0.855,0.005,0.11,0.005,seg1189_a_rsfft.asc,0.0282,0.0008,1,94,2696.323,102.262,1.052,0.004
d1189_b,102789747.4,102791403.4,50542.70573,1656,20402-02-06-00,4,124,bs.s1655_1189_b.2.pha,50542.70568,1648,2699.88,2659.46,0.85,0.005,0.104,0.005,seg1189_b_rsfft.asc,0.0296,0.0008,1,94,2656.221,105.708,1.05,0.003
