first_model_name,second_model_name,t_value,p_value,first_better_probability,second_better_probability
Decision Tree,Random Forest,4.529329734752301,1.6533702423628525e-05,0.9998852986150061,0.00011470138499392046
Decision Tree,Extra Trees,-0.6353795798185528,0.26393215706971995,0.26637965917317996,0.73362034082682
Random Forest,Extra Trees,-5.239098157935154,1.3664159122697214e-06,2.336840659744599e-05,0.9999766315934026
