First Model Name,Second Model Name,t,p,% Chance First Better,% Chance Second Better
ET,RF,4.07,7.694416498622805e-05,99.97,0.030000000000001137
ET,DT,6.61,8.697408918109471e-09,100.0,0.0
ET,Linear,13.49,3.0854435244215903e-19,100.0,0.0
RF,DT,4.6,1.2837282387671722e-05,99.99,0.010000000000005116
RF,Linear,14.09,4.9368507060303775e-20,100.0,0.0
DT,Linear,5.95,1.0253034320210188e-07,100.0,0.0
