mse,mae,fold
0.02196727715632658,0.0909242836809145,0
0.01141653077040017,0.06878290110119414,1
0.0140111050900823,0.07855772739702689,2
0.01076447414021374,0.06785834986470078,3
0.014392324149041262,0.07608554878630583,4
0.009469263003978842,0.06727155042201079,5
0.011624226232149667,0.07205750542391408,6
0.009831402279289322,0.06418492124848522,7
0.009162340115517606,0.061425397871436554,8
0.00919116113063649,0.06621305916616028,9
0.016071602046132442,0.08009718305821359,10
0.016506834235875147,0.07983828840103957,11
0.00820288831908975,0.06216087312416574,12
0.011522981155449167,0.07108695413391501,13
0.008324863390202596,0.06487920267218218,14
0.006241949048999875,0.058663944416989085,15
0.014212218055333653,0.07630970798710379,16
0.01549444323183406,0.07815599327348234,17
0.01833567290718126,0.08485720862738667,18
0.007599414390528088,0.05627562293449584,19
