mse,mae,fold
0.011963549147587405,0.05316445124183297,0
0.004712033494868403,0.03260853576274673,1
0.008260890078221497,0.05300675276949251,2
0.0042665261096772045,0.037928016542552234,3
0.012114984388537647,0.0611473625579668,4
0.007082230999250916,0.04398841192804631,5
0.012137406246063678,0.05458427546015494,6
0.007563697175401025,0.04885280615628546,7
0.007072233152716024,0.04959272907705295,8
0.00841657803996062,0.057834166449879494,9
0.010315241895233281,0.057708342047057715,10
0.007357541357015401,0.05152311202056426,11
0.008580967731165406,0.05573076093664155,12
0.008293630885119186,0.05012758252698792,13
0.007446908215511822,0.04473265995060058,14
0.006347282374062935,0.045797179868428205,15
0.003935597387324613,0.03889879004203683,16
0.019153445283719615,0.0687961404672531,17
0.009563537219707369,0.04868799290591316,18
0.004566515192294111,0.03477138366737322,19
