mse,mae,fold
0.007114231557780861,0.037631835230889456,0
0.0033086449317131362,0.019307217506627613,1
0.011537355257726171,0.05872838060462615,2
0.002081303941095876,0.0189770225554759,3
0.008601661894110756,0.047215325915963925,4
0.018611277910432298,0.055411681035061035,5
0.0073659752836705205,0.038392451592777876,6
0.0056421178778414795,0.03108064253806811,7
0.0076742431651670995,0.03465149158788746,8
0.008282259127494399,0.04183259327688349,9
0.008060745087946365,0.03975306766046627,10
0.009858038518239512,0.04004172696142139,11
0.009070146237074582,0.0420489046796205,12
0.00985473256286334,0.044444369423724296,13
0.007099741803962755,0.029976529486879882,14
0.005951754445018202,0.03685773799522184,15
0.0036690460844088953,0.028221718273019992,16
0.012520316200369105,0.050558964233988285,17
0.007343134686553061,0.03868918793456086,18
0.006083875264205359,0.02941241581462108,19
