mse,mae,fold
0.005683543010673133,0.03307799290537469,0
0.003893248305344427,0.02036210245885022,1
0.011283525894546528,0.057349749300885454,2
0.002282616156059583,0.020171437081262216,3
0.008652829891502904,0.04700919163210773,4
0.018918362248902015,0.05564554283770706,5
0.006604343590662896,0.03637600197004026,6
0.005053980559529383,0.028690441297237492,7
0.007902877404099895,0.036088437490600325,8
0.008310334382672441,0.04220564555019449,9
0.008418685709686506,0.039800020203465535,10
0.010255501446847382,0.04107117815022507,11
0.009166948617797136,0.04242942239766254,12
0.009118991967312634,0.04248388528577895,13
0.007281924172453556,0.03160628304531558,14
0.0059164566939938,0.03697201194029833,15
0.004148552434220891,0.028555723085990522,16
0.01218759636390241,0.050271780092200215,17
0.008413632575232774,0.03926025470463977,18
0.0057662551501131525,0.02728307385748979,19
