mse,mae,fold
0.0021135061393642834,0.011718802186817636,0
0.0014810734084996539,0.009835461979063475,1
0.0051618211446139,0.01914231549214002,2
0.004982836183771269,0.019133401081797907,3
0.0015074793157344923,0.01006318646376755,4
0.001859979904728042,0.012913339257157585,5
0.013086606654172772,0.03460710327315391,6
0.0003244971672862984,0.0059014032729796636,7
0.0005507016695267959,0.006737890498354785,8
0.0021487893602264805,0.01094225203239453,9
0.0011516718965583288,0.011646075886021625,10
0.005049551074716792,0.015361247486387598,11
0.0004507396614714659,0.006914329184601678,12
0.005869089557130403,0.020854452991476074,13
0.00446343866509592,0.015548359614521121,14
0.0037756493223253286,0.014997182441620141,15
0.005093994693839495,0.0188787100524986,16
0.0021360787530958305,0.013814364222570088,17
0.003015870206027261,0.014808085794122737,18
0.0011201585949513464,0.008701069504218449,19
