accuracy,precision,recall,f1
0.7777777777777778,1.0,0.3333333333333333,0.5
0.9259259259259259,1.0,0.7777777777777778,0.8750000000000001
0.8518518518518519,1.0,0.5,0.6666666666666666
0.8518518518518519,1.0,0.5,0.6666666666666666
0.8518518518518519,1.0,0.5,0.6666666666666666
0.7777777777777778,0.75,0.375,0.5
0.8148148148148148,0.8,0.5,0.6153846153846154
0.8888888888888888,0.8571428571428571,0.75,0.7999999999999999
0.8888888888888888,1.0,0.625,0.7692307692307693
0.9259259259259259,0.875,0.875,0.875
0.8518518518518519,0.8571428571428571,0.6666666666666666,0.75
0.8148148148148148,0.8333333333333334,0.5555555555555556,0.6666666666666667
0.8518518518518519,1.0,0.5,0.6666666666666666
0.8148148148148148,0.7142857142857143,0.625,0.6666666666666666
0.8888888888888888,1.0,0.625,0.7692307692307693
0.9629629629629629,0.8888888888888888,1.0,0.9411764705882353
0.8148148148148148,1.0,0.375,0.5454545454545454
0.8518518518518519,1.0,0.5,0.6666666666666666
0.7407407407407407,1.0,0.125,0.2222222222222222
0.9259259259259259,1.0,0.75,0.8571428571428571
