mse,mae,fold
0.010441767916115135,0.042623077587361786,0
0.007252228221480893,0.03557022854326933,1
0.006712713104078811,0.03663477283507808,2
0.007506330502624145,0.03875518760215634,3
0.008732310338236978,0.03374185915611264,4
0.011299277495467103,0.04696059105413769,5
0.013756724256325509,0.049523427596212956,6
0.0116016943680573,0.04047004033827525,7
0.00552005059980249,0.03551699943141374,8
0.009575004671659509,0.03410674603973582,9
0.009081359114472925,0.038746662596389286,10
0.004222638221303711,0.02494249412210602,11
0.009599914453389735,0.04114687512921633,12
0.005033126223640368,0.027872041550917725,13
0.00536486892952337,0.030240259531821478,14
0.014677478358861046,0.0453799101670746,15
0.009523436960156671,0.042580651963681736,16
0.007712198464196767,0.03475712719456608,17
0.01475269964674826,0.054174848720118636,18
0.009401016841477925,0.034796722023699156,19
