mse,mae,fold
0.0016694125918771223,0.010464927936704725,0
0.0009885433522713884,0.008079975185893352,1
0.007178560869120182,0.02428006930303729,2
0.004915554043193066,0.018746011143078768,3
0.0020918200962521945,0.012081524232781927,4
0.004248821357576003,0.016043401845219366,5
0.013407588721081944,0.031812116859037176,6
0.00043575664956360167,0.006506696969808577,7
0.0018367613816964834,0.011536219121803437,8
0.0010577968861295308,0.007536416785973899,9
0.0012848957329098423,0.010963585496075519,10
0.004304262418811567,0.014316552024705225,11
0.0008691017937130712,0.008844748539778626,12
0.0075599220706994595,0.021879728397451694,13
0.007037099428181759,0.019819778221272417,14
0.0038836947336043978,0.015017903380367353,15
0.004544395276700555,0.018378826443914902,16
0.005380776471749682,0.020687456511862743,17
0.0032412980196262916,0.014440763139061832,18
0.0019206917009681331,0.009609104719185657,19
