mse,mae,fold
0.005207233762779378,0.03172477930406811,0
0.0017368023215231763,0.01424707542666064,1
0.0073214558413162946,0.04646261559521129,2
0.002155465115763147,0.018267785848675357,3
0.009058311622462185,0.04827328825991111,4
0.0130133444417466,0.04340986355367899,5
0.007443800976248953,0.03494980598215907,6
0.005558870661739127,0.031122937910777842,7
0.0037221703986040993,0.026082793067215105,8
0.007212930661367508,0.0350471049447079,9
0.003959871804289183,0.028098747496519087,10
0.007187439134131514,0.033564700902194766,11
0.009001387497604296,0.04834929983264492,12
0.006971949670857691,0.037565270505762756,13
0.004859262782692172,0.0250672705504295,14
0.0024336781317770098,0.022186659382117054,15
0.0031613973673298708,0.02373922055936335,16
0.012426039044824129,0.04938001538397858,17
0.006183846283306112,0.03210611851688676,18
0.006486872497818839,0.029884937189041713,19
