filename_code,MET_start,MET_end,MJD_mid,interval_time(s),ObsID(RXTE),number_PCUs,which_PCUs(string),spec_filename,spec_MJD,spec_exposure(s),PCA_crate_raw(c/s/PCU),PCA_crate_normalized(c/s/PCU),soft_color(3.6-5.0/2.2-3.6_keV),err_soft_col,hard_color(8.6-18.0/5.0-8.6_keV),err_hard_col,PDS_name,PDS_integrated_rms_(0.1_10Hz),err_PDS_rms,PDS_low_chan_PCU2_0_255,PDS_high_chan_PCU2_0_255,PDS_source_crate(c/s/PCU),sample_std_dev_PDS_source_crate(c/s/PCU),deadtime_correction,average_pointing_offset(deg)
day1933_d,167050707.4,167051464.4,51286.46164,757,40401-01-82-03,4,123,bs.s1550_day1933_d.2.pha,51286.46198,688,115.14,121.1,0.389,0.005,0.515,0.01,seg1933_d_rsfft.asc,0.0485,0.0073,1,94,117.208,6.3,1.023,0.049
day1934_a,167119791.4,167120514.4,51287.26103,723,40401-01-82-00,4,123,bs.s1550_day1934_a.2.pha,51287.26115,672,101.86,107.95,0.383,0.005,0.526,0.011,seg1934_a_rsfft.asc,0.061,0.0082,1,94,103.312,5.456,1.019,0.045
day1934_b,167142627.4,167143138.4,51287.52411,511,40401-01-82-04,4,123,bs.s1550_day1934_b.2.pha,51287.52411,480,106.19,111.93,0.397,0.005,0.522,0.012,seg1934_b_rsfft.asc,0.0635,0.0082,1,94,107.005,6.343,1.021,0.045
day1935_a,167217028.4,167217964.4,51288.38769,936,40401-01-83-01,5,1234,bs.s1550_day1935_a.2.pha,51288.38791,880,82.92,87.53,0.357,0.005,0.529,0.012,seg1935_a_rsfft.asc,0.044,0.0078,1,94,83.738,4.795,1.02,0.046
day1936_a,167283028.4,167284384.4,51289.15401,1356,40401-01-83-00,3,23,bs.s1550_day1936_a.2.pha,51289.1542,1296,116.03,121.94,0.493,0.005,0.53,0.006,seg1936_a_rsfft.asc,0.0923,0.006,1,94,115.174,7.369,1.013,0.047
day1937_a,167441860.4,167442418.4,51290.98772,558,40401-01-84-00,3,23,bs.s1550_day1937_a.2.pha,51290.98781,512,112.76,116.91,0.563,0.007,0.557,0.009,seg1937_a_rsfft.asc,0.117,0.0084,1,94,112.8,7.364,1.014,0.045
day1938_a,167459012.4,167460605.4,51291.19223,1593,40401-01-85-00,3,24,bs.s1550_day1938_a.2.pha,51291.19244,1536,103.69,107.57,0.548,0.005,0.546,0.006,seg1938_a_rsfft.asc,0.1076,0.0055,1,94,103.413,7.107,1.016,0.045
day1938_b,167464659.4,167465570.4,51291.25364,911,40401-01-85-01,3,23,bs.s1550_day1938_b.2.pha,51291.25374,848,101.58,104.77,0.522,0.005,0.562,0.008,seg1938_b_rsfft.asc,0.1087,0.0075,1,94,101.787,6.893,1.02,0.045
day1938_c,167470403.4,167471330.4,51291.32022,927,40401-01-85-02,3,23,bs.s1550_day1938_c.2.pha,51291.3205,848,97.69,100.49,0.519,0.005,0.559,0.008,seg1938_c_rsfft.asc,0.1008,0.0077,1,94,97.959,6.64,1.021,0.048
day1938_d,167475331.4,167477164.4,51291.3825,1833,40401-01-85-03,3,23,bs.s1550_day1938_d.2.pha,51291.38272,1760,83.77,87.14,0.464,0.005,0.555,0.007,seg1938_d_rsfft.asc,0.0896,0.0068,1,94,83.948,6.28,1.018,0.046
day1939_a,167568580.4,167572466.4,51292.47365,3886,40401-01-86-00,3,23,bs.s1550_day1939_a.2.pha,51292.47365,3840,47.11,49.93,0.343,0.005,0.549,0.008,seg1939_a_rsfft.asc,0.063,0.0084,1,94,46.716,4.802,1.015,0.045
day1940_a,167654852.4,167658690.4,51293.47189,3838,40401-01-87-00,3,24,bs.s1550_day1940_a.2.pha,51293.47198,3776,59.49,62.26,0.434,0.005,0.571,0.006,seg1940_a_rsfft.asc,0.0856,0.0066,1,94,59.501,5.454,1.014,0.045
day1942_a,167833652.4,167837234.4,51295.53985,3582,40401-01-88-00,4,234,bs.s1550_day1942_a.2.pha,51295.54041,3456,30.3,32.91,0.343,0.005,0.534,0.012,seg1942_a_rsfft.asc,0.0711,0.0114,1,94,32.056,3.725,1.012,0.062
day1942_b,167839523.4,167840104.4,51295.59044,581,40401-01-88-00,4,234,bs.s1550_day1942_b.2.pha,51295.59041,576,29.95,32.81,0.362,0.009,0.493,0.031,seg1942_b_rsfft.asc,0.1049,0.0147,1,94,39.506,4.043,1.015,0.044
day1944_a,167994084.4,167997794.4,51297.39745,3710,40401-01-89-00,3,23,bs.s1550_day1944_a.2.pha,51297.39744,3680,19.95,21.55,0.305,0.005,0.419,0.018,seg1944_a_rsfft.asc,0.1133,0.0166,1,94,19.655,3.837,1.013,0.045
day1945_a,168052468.4,168053585.4,51298.05818,1117,40401-01-90-01,4,234,bs.s1550_day1945_a.2.pha,51298.05837,1056,15.6,17.18,0.277,0.007,0.38,0.046,seg1945_a_rsfft.asc,0.1439,0.0245,1,94,16.131,3.147,1.014,0.045
day1945_b,168055699.4,168059165.4,51298.10917,3466,40401-01-90-00,4,234,bs.s1550_day1945_b.2.pha,51298.1092,3440,16.2,17.54,0.284,0.005,0.405,0.025,seg1945_b_rsfft.asc,0.1015,0.0188,1,94,16.541,3.389,1.014,0.045
day1945_c,168063571.4,168064444.4,51298.18528,873,40401-01-90-02,4,234,bs.s1550_day1945_c.2.pha,51298.18522,864,15.19,17.21,0.284,0.008,0.318,0.048,seg1945_c_rsfft.asc,0.1719,0.0283,1,94,15.132,3.022,1.012,0.044
day1946_a,168166771.4,168167405.4,51299.37834,634,40401-01-91-00,4,123,bs.s1550_day1946_a.2.pha,51299.37828,624,12.42,13.13,0.261,0.011,0.471,0.09,seg1946_a_rsfft.asc,0.192,0.0322,1,94,13.47,2.998,1.015,0.045
day1946_b,168167971.4,168170354.4,51299.40235,2383,40401-01-91-00,4,123,bs.s1550_day1946_b.2.pha,51299.40226,2368,11.69,12.99,0.252,0.006,0.352,0.044,seg1946_b_rsfft.asc,0.1605,0.0244,1,94,11.938,2.87,1.012,0.044
day1946_c,168179779.4,168180724.4,51299.53069,945,40401-01-91-01,4,123,bs.s1550_day1946_c.2.pha,51299.53087,912,10.67,12.89,0.266,0.01,0.249,0.072,seg1946_c_rsfft.asc,0.165,0.029,1,94,14.679,2.893,1.011,0.044
day1947_a,168260308.4,168262818.4,51300.4718,2510,40401-01-92-00,2,2,bs.s1550_day1947_a.2.pha,51300.47179,2480,10.48,11.64,0.273,0.006,0.325,0.044,seg1947_a_rsfft.asc,0.194,0.0327,1,94,11.976,3.87,1.011,0.044
day1949_a,168433172.4,168435634.4,51302.47226,2462,40401-01-93-00,3,23,bs.s1550_day1949_a.2.pha,51302.47226,2432,8.18,8.96,0.291,0.008,0.292,0.053,seg1949_a_rsfft.asc,0.2218,0.035,1,94,9.705,3.044,1.011,0.044
day1950_a,168513812.4,168515714.4,51303.40235,1902,40401-01-94-00,3,23,bs.s1550_day1950_a.2.pha,51303.40235,1872,8.01,8.93,0.318,0.01,0.38,0.054,seg1950_a_rsfft.asc,0.2433,0.0387,1,94,8.937,3.075,1.012,0.044
day1952_a,168663508.4,168664722.4,51305.13097,1214,40401-01-95-00,3,23,bs.s1550_day1952_a.2.pha,51305.13105,1152,12.73,12.4,0.438,0.014,0.638,0.042,seg1952_a_rsfft.asc,0.209,0.0293,1,94,13.205,3.608,1.019,0.044
